Time,barycenter_x,barycenter_y,bow_x,bow_y,bow_z,left_shoulder_positions_x,left_shoulder_positions_y,right_shoulder_positions_x,right_shoulder_positions_y,left_elbow_positions_x,left_elbow_positions_y,right_elbow_positions_x,right_elbow_positions_y,left_wrist_positions_x,left_wrist_positions_y,right_wrist_positions_x,right_wrist_positions_y
1687266374.2451465,-0.1140562891960144,-0.08801762014627457,1.0,0.9902680516242981,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.5,-0.0
1687266374.4244277,-0.1140562891960144,-0.08801762014627457,1.0,0.9902680516242981,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.5,-0.0
1687266374.4264412,-0.12224210798740387,-0.09376245737075806,1.0,0.9902680516242981,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.5,-0.0
1687266374.4264412,-0.12224210798740387,-0.09376245737075806,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.49542999267578,-0.5235722064971924
1687266374.42742,-0.13302817940711975,-0.10172424465417862,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.49542999267578,-0.5235722064971924
1687266374.42742,-0.13302817940711975,-0.10172424465417862,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.49542999267578,-0.5235722064971924
1687266374.4284174,-0.14090889692306519,-0.11035618185997009,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.49542999267578,-0.5235722064971924
1687266374.429415,-0.14090889692306519,-0.11035618185997009,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.5,-0.0
1687266374.429415,-0.14976181089878082,-0.11677391827106476,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.5,-0.0
1687266374.4304154,-0.14976181089878082,-0.11677391827106476,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.5,-0.0
1687266374.4304154,-0.15878793597221375,-0.12732450664043427,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.5,-0.0
1687266374.431889,-0.15878793597221375,-0.12732450664043427,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.49542999267578,-0.5235722064971924
1687266374.431889,-0.14939461648464203,-0.1197289377450943,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.49542999267578,-0.5235722064971924
1687266374.4328904,-0.14939461648464203,-0.1197289377450943,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.49542999267578,-0.5235722064971924
1687266374.4338868,-0.1660294085741043,-0.12597902119159698,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.49542999267578,-0.5235722064971924
1687266374.4338868,-0.1660294085741043,-0.12597902119159698,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.48172760009766,-1.0469849109649658
1687266374.434884,-0.17484422028064728,-0.12280648201704025,1.0,0.9925461411476135,0.0,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.48172760009766,-1.0469849109649658
1687266374.434884,-0.17484422028064728,-0.12280648201704025,0.9998477101325989,0.9925461411476135,-0.017452234402298927,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.4588851928711,-1.570078730583191
1687266374.4358816,-0.17097139358520508,-0.12991642951965332,0.9998477101325989,0.9925461411476135,-0.017452234402298927,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.4588851928711,-1.570078730583191
1687266374.4368796,-0.17097139358520508,-0.12991642951965332,0.9998477101325989,0.9925461411476135,-0.017452234402298927,-24.5,0.0,24.5,0.0,-56.5,-2.7651265099848388e-06,56.5,-0.0,-86.5,-2.5923061457433505e-06,86.4588851928711,-1.570078730583191
