Time,barycenter_x,barycenter_y,bow_x,bow_y,bow_z,left_shoulder_positions_x,left_shoulder_positions_y,right_shoulder_positions_x,right_shoulder_positions_y,left_elbow_positions_x,left_elbow_positions_y,right_elbow_positions_x,right_elbow_positions_y,left_wrist_positions_x,left_wrist_positions_y,right_wrist_positions_x,right_wrist_positions_y
1686756284.79828,-0.0512744002044201,-0.10572050511837,0.998629570007324,0.99619472026825,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,48,0,-74,-2.24666541726037E-06,74,0
1686756284.91298,-0.0512744002044201,-0.10572050511837,0.998629570007324,0.99619472026825,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9954299926758,-0.523572206497192,-74,-2.24666541726037E-06,73.9914703369141,-0.977334797382355
1686756284.91397,-0.0588539652526379,-0.109427370131016,0.998629570007324,0.99619472026825,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9954299926758,-0.523572206497192,-74,-2.24666541726037E-06,73.9914703369141,-0.977334797382355
1686756284.91497,-0.0588539652526379,-0.109427370131016,0.998629570007324,0.994521915912628,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9954299926758,-0.523572206497192,-73.9960403442383,-0.453760325908661,73.9914703369141,-0.977334797382355
1686756284.91497,-0.0540268793702126,-0.115373998880386,0.998629570007324,0.994521915912628,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9954299926758,-0.523572206497192,-73.9960403442383,-0.453760325908661,73.9914703369141,-0.977334797382355
1686756284.91597,-0.0540268793702126,-0.115373998880386,0.998629570007324,0.994521915912628,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9954299926758,-0.523572206497192,-73.9960403442383,-0.453760325908661,73.9914703369141,-0.977334797382355
1686756284.91697,-0.0453174114227295,-0.104618914425373,0.998629570007324,0.994521915912628,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9954299926758,-0.523572206497192,-73.9960403442383,-0.453760325908661,73.9914703369141,-0.977334797382355
1686756284.91796,-0.0453174114227295,-0.104618914425373,0.998629570007324,0.990268051624298,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9817237854004,-1.04698491096497,-73.9960403442383,-0.453760325908661,73.9658889770508,-1.95437180995941
1686756284.91896,-0.0509654507040978,-0.11865921318531,0.998629570007324,0.990268051624298,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9817237854004,-1.04698491096497,-73.9960403442383,-0.453760325908661,73.9658889770508,-1.95437180995941
1686756284.91996,-0.0509654507040978,-0.11865921318531,0.998629570007324,0.984807789325714,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9817237854004,-1.04698491096497,-74,-2.24666541726037E-06,73.9777679443359,-1.50074756145477
1686756284.91996,-0.033048253506422,-0.0986612141132355,0.998629570007324,0.984807789325714,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9817237854004,-1.04698491096497,-74,-2.24666541726037E-06,73.9777679443359,-1.50074756145477
1686756284.92096,-0.033048253506422,-0.0986612141132355,0.998629570007324,0.984807789325714,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9817237854004,-1.04698491096497,-74,-2.24666541726037E-06,73.9777679443359,-1.50074756145477
1686756284.92195,-0.0428089313209057,-0.106772273778915,0.998629570007324,0.984807789325714,-0.0523357838392258,-18,0,18,0,-48,-2.59230614574335E-06,47.9817237854004,-1.04698491096497,-74,-2.24666541726037E-06,73.9777679443359,-1.50074756145477
