Format Version,1.23,Take Name,Alberto_013,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-19 02.56.09.952 PM,Capture Start Frame,544298,Total Frames in Take,8501,Total Exported Frames,8501,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Arcere_5:BackLeft,Arcere_5:BackLeft,Arcere_5:BackLeft,Arcere_5:BackRight,Arcere_5:BackRight,Arcere_5:BackRight,Arcere_5:BackTop,Arcere_5:BackTop,Arcere_5:BackTop,Arcere_5:Chest,Arcere_5:Chest,Arcere_5:Chest,Arcere_5:HeadFront,Arcere_5:HeadFront,Arcere_5:HeadFront,Arcere_5:HeadSide,Arcere_5:HeadSide,Arcere_5:HeadSide,Arcere_5:HeadTop,Arcere_5:HeadTop,Arcere_5:HeadTop,Arcere_5:LElbowOut,Arcere_5:LElbowOut,Arcere_5:LElbowOut,Arcere_5:LHandOut,Arcere_5:LHandOut,Arcere_5:LHandOut,Arcere_5:LShoulderBack,Arcere_5:LShoulderBack,Arcere_5:LShoulderBack,Arcere_5:LShoulderTop,Arcere_5:LShoulderTop,Arcere_5:LShoulderTop,Arcere_5:LUArmHigh,Arcere_5:LUArmHigh,Arcere_5:LUArmHigh,Arcere_5:LWristIn,Arcere_5:LWristIn,Arcere_5:LWristIn,Arcere_5:LWristOut,Arcere_5:LWristOut,Arcere_5:LWristOut,Arcere_5:RElbowOut,Arcere_5:RElbowOut,Arcere_5:RElbowOut,Arcere_5:RHandOut,Arcere_5:RHandOut,Arcere_5:RHandOut,Arcere_5:RShoulderBack,Arcere_5:RShoulderBack,Arcere_5:RShoulderBack,Arcere_5:RShoulderTop,Arcere_5:RShoulderTop,Arcere_5:RShoulderTop,Arcere_5:RUArmHigh,Arcere_5:RUArmHigh,Arcere_5:RUArmHigh,Arcere_5:RWristIn,Arcere_5:RWristIn,Arcere_5:RWristIn,Arcere_5:RWristOut,Arcere_5:RWristOut,Arcere_5:RWristOut,Arcere_5:WaistLBack,Arcere_5:WaistLBack,Arcere_5:WaistLBack,Arcere_5:WaistLFront,Arcere_5:WaistLFront,Arcere_5:WaistLFront,Arcere_5:WaistRBack,Arcere_5:WaistRBack,Arcere_5:WaistRBack,Arcere_5:WaistRFront,Arcere_5:WaistRFront,Arcere_5:WaistRFront
,ID,"139260","139260","139260","139220","139220","139220","13CC10","13CC10","13CC10","13BED0","13BED0","13BED0","139130","139130","139130","13CBE0","13CBE0","13CBE0","139150","139150","139150","1391E0","1391E0","1391E0","13AED0","13AED0","13AED0","139250","139250","139250","139230","139230","139230","13AE30","13AE30","13AE30","13ABF0","13ABF0","13ABF0","139730","139730","139730","13C6C0","13C6C0","13C6C0","13CDC0","13CDC0","13CDC0","1391F0","1391F0","1391F0","139340","139340","139340","13B9A0","13B9A0","13B9A0","13C5D0","13C5D0","13C5D0","13C470","13C470","13C470","139210","139210","139210","13B940","13B940","13B940","1391D0","1391D0","1391D0","13CBA0","13CBA0","13CBA0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-108.940147,163.687164,-41.718544,-109.543060,162.955887,-19.741232,-110.139610,178.305374,-32.274364,-82.141609,169.522720,-31.788912,-78.867126,194.295639,-27.310810,-92.496613,196.827438,-20.224539,-85.048141,205.403519,-28.816593,-97.004410,165.321304,-77.603142,-89.093712,167.516647,-106.665657,-105.998459,174.072723,-49.941624,-103.055000,183.513565,-42.614162,-100.690987,169.141144,-64.658760,-83.103470,172.830505,-100.202499,-91.377914,166.957687,-99.179100,-105.307175,163.775040,16.966551,-101.886223,163.679565,45.720909,-108.785309,175.812836,-15.765865,-101.909996,182.461685,-21.138697,-106.829216,168.226822,0.239447,-99.670464,173.633392,38.603485,-102.937469,164.488525,39.005108,-103.658470,135.751083,-43.775059,-84.988121,133.902359,-49.104492,-103.865395,134.543686,-20.351830,-82.959297,132.413452,-22.143654
3,0.008333,-108.941689,163.687759,-41.717903,-109.549644,162.958603,-19.727486,-110.140549,178.305298,-32.273041,-82.144211,169.523788,-31.788380,-78.841682,194.245316,-27.327370,-92.495003,196.827835,-20.221966,-85.049889,205.402893,-28.813330,-97.004150,165.320175,-77.602127,-89.093826,167.513733,-106.665817,-105.999123,174.073578,-49.938225,-103.056046,183.515289,-42.612793,-100.691429,169.140640,-64.657463,-83.104477,172.828934,-100.202133,-91.379181,166.957169,-99.178444,-105.309891,163.776550,16.965744,-101.888084,163.680954,45.720257,-108.787247,175.813568,-15.765728,-101.910080,182.460663,-21.138561,-106.832733,168.227539,0.240425,-99.648529,173.530762,38.566788,-102.938545,164.486618,39.005005,-103.660454,135.751160,-43.776131,-84.988243,133.902954,-49.104572,-103.865753,134.544510,-20.351665,-82.958603,132.413269,-22.148006
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-108.943703,163.687515,-41.717957,-109.549950,162.955170,-19.735741,-110.141983,178.305893,-32.273041,-82.147095,169.526321,-31.787210,-78.844009,194.246597,-27.323664,-92.494911,196.824707,-20.217846,-85.052071,205.403259,-28.807167,-97.005188,165.318634,-77.598763,-89.096725,167.509735,-106.663254,-106.013298,174.060974,-49.919617,-103.058754,183.514755,-42.611526,-100.693810,169.140335,-64.654709,-83.085091,172.879227,-100.273933,-91.380707,166.952820,-99.175797,-105.311760,163.774094,16.970345,-101.890709,163.680267,45.720577,-108.790459,175.812088,-15.764241,-101.914047,182.458588,-21.136322,-106.835052,168.226273,0.238824,-99.655113,173.532471,38.570221,-102.941658,164.486740,39.006214,-103.663017,135.753662,-43.781971,-84.989929,133.904846,-49.106018,-103.868279,134.544083,-20.355644,-82.956657,132.415375,-22.161411
6,0.016667,-108.945480,163.687485,-41.718422,-109.552559,162.953568,-19.734610,-110.143753,178.305725,-32.271606,-82.147865,169.526031,-31.786324,-78.871109,194.291519,-27.305275,-92.495979,196.824631,-20.215298,-85.052147,205.402832,-28.802984,-97.004501,165.318100,-77.595665,-89.099190,167.509277,-106.661942,-106.016373,174.060638,-49.919067,-103.061226,183.515305,-42.610596,-100.692963,169.139206,-64.653625,-83.083855,172.878403,-100.273010,-91.382248,166.951645,-99.174965,-105.312393,163.772766,16.968750,-101.893929,163.680725,45.721481,-108.791878,175.811630,-15.763572,-101.916206,182.457962,-21.133795,-106.835411,168.222839,0.240259,-99.655624,173.530014,38.571808,-102.944305,164.487625,39.010555,-103.664253,135.751816,-43.779648,-84.991730,133.903961,-49.106865,-103.870033,134.545883,-20.359802,-82.963470,132.412720,-22.156433
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-108.945992,163.687592,-41.714306,-109.552895,162.952774,-19.734066,-110.145844,178.303329,-32.271671,-82.147583,169.529037,-31.785688,-78.872665,194.292587,-27.300135,-92.496986,196.823776,-20.211462,-85.052834,205.399582,-28.797314,-97.004601,165.317551,-77.594604,-89.100983,167.504471,-106.662331,-106.017578,174.059250,-49.921406,-103.063133,183.513184,-42.608868,-100.693985,169.137497,-64.650520,-83.086586,172.876724,-100.273277,-91.386032,166.949005,-99.172653,-105.314049,163.770889,16.968191,-101.897095,163.680603,45.719814,-108.793770,175.810699,-15.762341,-101.918945,182.458023,-21.132475,-106.840111,168.222076,0.240921,-99.660400,173.525864,38.570889,-102.944542,164.482468,39.006760,-103.666458,135.751846,-43.784760,-84.992638,133.907776,-49.109035,-103.871964,134.543427,-20.362776,-82.960091,132.416153,-22.165997
9,0.025000,-108.948982,163.685745,-41.715034,-109.554504,162.953110,-19.733732,-110.145058,178.301666,-32.269535,-82.149628,169.529861,-31.785330,-78.848488,194.243378,-27.315414,-92.495148,196.821182,-20.211668,-85.055756,205.399826,-28.794088,-97.004967,165.316711,-77.592461,-89.103012,167.502213,-106.661270,-106.020164,174.058395,-49.919022,-103.064056,183.512787,-42.607891,-100.693573,169.137268,-64.649307,-83.089645,172.874405,-100.271240,-91.384903,166.945786,-99.171974,-105.314064,163.769028,16.970137,-101.901413,163.680618,45.718731,-108.795807,175.809784,-15.762215,-101.921509,182.457764,-21.133268,-106.841454,168.222549,0.241754,-99.661797,173.525833,38.572613,-102.947845,164.482574,39.010124,-103.666855,135.753555,-43.785549,-84.991852,133.908875,-49.110676,-103.873428,134.546494,-20.362747,-82.959656,132.415955,-22.170006
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-108.950256,163.684601,-41.714939,-109.557251,162.952682,-19.732307,-110.147514,178.299500,-32.268414,-82.154091,169.527969,-31.781895,-78.876518,194.287003,-27.293257,-92.495308,196.819336,-20.206230,-85.055580,205.399185,-28.784594,-97.006149,165.316223,-77.591660,-89.106354,167.499313,-106.661049,-106.022430,174.055496,-49.918411,-103.069237,183.510880,-42.605736,-100.695526,169.134674,-64.646744,-83.091988,172.871124,-100.269905,-91.389297,166.943375,-99.170395,-105.314705,163.764923,16.971773,-101.893066,163.674744,45.720135,-108.798889,175.809341,-15.760458,-101.924278,182.457169,-21.130730,-106.845078,168.221603,0.243989,-99.664192,173.523193,38.572784,-102.948425,164.476196,39.014069,-103.669586,135.751572,-43.785130,-84.994789,133.912201,-49.111221,-103.876518,134.547623,-20.368307,-82.963120,132.418304,-22.172520
12,0.033333,-108.953049,163.684616,-41.715771,-109.559235,162.952423,-19.731956,-110.148453,178.297775,-32.267223,-82.154030,169.528336,-31.781281,-78.889175,194.336227,-27.278498,-92.494293,196.817932,-20.203547,-85.057739,205.396408,-28.782146,-97.005447,165.315170,-77.593010,-89.108955,167.497604,-106.661034,-106.023895,174.054153,-49.919556,-103.071594,183.510513,-42.605232,-100.695351,169.133133,-64.645981,-83.092651,172.869400,-100.270256,-91.389725,166.941757,-99.170456,-105.313454,163.763458,16.973612,-101.896431,163.673828,45.722355,-108.800980,175.810150,-15.760692,-101.926682,182.457458,-21.132263,-106.847557,168.221451,0.244339,-99.667114,173.521774,38.575451,-102.946243,164.473129,39.013039,-103.669914,135.749680,-43.786121,-84.996597,133.911621,-49.111305,-103.883492,134.549408,-20.376373,-82.963737,132.418243,-22.175310
13,0.036111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
