Time,LElbowOutX,LElbowOutY,LHandOutX,LHandOutY,LShoulderTopX,LShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY,RShoulderTopX,RShoulderTopY
0.000000,,,,,,,,,,,,
0.002778,,,,,,,,,,,,
0.005556,-96.017059,-75.613998,-87.195869,-104.132339,-101.695145,-40.523720,-105.412888,19.163168,-102.163300,48.316399,-101.069794,-18.954185
0.008333,,,,,,,,,,,,
0.011111,,,,,,,,,,,,
0.013889,-96.016228,-75.612305,-87.191513,-104.127815,-101.691582,-40.522766,-105.405495,19.162693,-102.157890,48.316429,-101.069084,-18.953241
0.016667,-96.016159,-75.611664,-87.191719,-104.126511,-101.695122,-40.521286,-105.403648,19.162632,-102.155533,48.317451,-101.069031,-18.951555
0.019444,,,,,,,,,,,,
0.022222,-96.015381,-75.609924,-87.188507,-104.124741,-101.694397,-40.520584,-105.400833,19.165224,-102.153000,48.317299,-101.068771,-18.946232
0.025000,-95.901230,-75.720406,-87.185989,-104.122803,-101.693085,-40.519405,-105.397667,19.165245,-102.150177,48.318939,-101.069603,-18.947674
0.027778,,,,,,,,,,,,
0.030556,-95.901283,-75.727112,-87.183586,-104.120148,-101.671303,-40.519310,-105.393982,19.162182,-102.145958,48.319771,-101.068054,-18.949049
0.033333,-95.900993,-75.726959,-87.181435,-104.119217,-101.693558,-40.517605,-105.393860,19.164431,-102.143990,48.319550,-101.067078,-18.948416
0.036111,,,,,,,,,,,,
0.038889,-95.899071,-75.722694,-87.178802,-104.117653,-101.672447,-40.518425,-105.391457,19.166014,-102.138054,48.318752,-101.065613,-18.943497
0.041667,-95.901367,-75.724159,-87.179008,-104.115974,-101.672104,-40.517818,-105.392754,19.165936,-102.136337,48.318596,-101.065514,-18.943096
0.044444,,,,,,,,,,,,
0.047222,-95.899948,-75.723701,-87.175819,-104.113579,-101.511124,-40.756371,-105.388870,19.165560,-102.133499,48.318203,-101.063309,-18.942167
0.050000,-95.900093,-75.723587,-87.175880,-104.113174,-101.510727,-40.754581,-105.390457,19.166998,-102.131180,48.318874,-101.062263,-18.942375
0.052778,,,,,,,,,,,,
0.055556,-95.899658,-75.720009,-87.171654,-104.111954,-101.512459,-40.752781,-105.388092,19.168011,-102.129509,48.318542,-101.062416,-18.939699
0.058333,-95.895042,-75.717232,-87.171280,-104.110298,-101.515404,-40.751827,-105.388245,19.168388,-102.128174,48.318775,-101.061478,-18.938383
0.061111,,,,,,,,,,,,
0.063889,-95.893303,-75.716179,-87.155777,-104.088608,-101.514862,-40.750359,-105.386208,19.166819,-102.128372,48.318737,-101.059761,-18.935165
0.066667,-95.892914,-75.715836,-87.152481,-104.088089,-101.513634,-40.748108,-105.384895,19.166002,-102.126228,48.318123,-101.059219,-18.934076
0.069444,,,,,,,,,,,,
0.072222,-95.891663,-75.714348,-87.150032,-104.084000,-101.671959,-40.509773,-105.385986,19.168444,-102.124046,48.318684,-101.057434,-18.932652
0.075000,-95.888863,-75.713570,-87.151184,-104.085899,-101.672127,-40.507687,-105.382622,19.169222,-102.122116,48.318935,-101.057121,-18.933777
0.077778,,,,,,,,,,,,
0.080556,-95.886116,-75.711029,-87.148071,-104.081665,-101.673698,-40.506126,-105.380249,19.165833,-102.118469,48.319553,-101.054291,-18.930296
0.083333,-95.884880,-75.709991,-87.147560,-104.080757,-101.671669,-40.504898,-105.378326,19.168451,-102.115036,48.320377,-101.054398,-18.929832
0.086111,,,,,,,,,,,,
0.088889,-95.879868,-75.706032,-87.145248,-104.077339,-101.674080,-40.503300,-105.377235,19.169643,-102.108429,48.321663,-101.052582,-18.928314
0.091667,-95.876587,-75.707283,-87.143646,-104.075836,-101.673996,-40.501881,-105.374886,19.169680,-102.105675,48.323246,-101.052773,-18.926975
0.094444,,,,,,,,,,,,
0.097222,-95.874733,-75.703880,-87.142860,-104.071960,-101.674416,-40.500977,-105.368790,19.167856,-102.065102,48.309086,-101.050148,-18.925997
0.100000,-95.875511,-75.702812,-87.141724,-104.069923,-101.673485,-40.499733,-105.367661,19.169731,-102.062141,48.306286,-101.049400,-18.922527
0.102778,,,,,,,,,,,,
0.105556,-95.871422,-75.699684,-87.140144,-104.068031,-101.670433,-40.498997,-105.362740,19.167349,-102.077148,48.338669,-101.046928,-18.922594
0.108333,-95.871422,-75.702072,-87.137352,-104.067421,-101.672104,-40.497482,-105.358902,19.167828,-102.074287,48.340462,-101.046478,-18.921263
0.111111,,,,,,,,,,,,
0.113889,-95.871063,-75.700172,-87.135605,-104.064903,-101.510048,-40.740265,-105.354057,19.167297,-102.070824,48.340370,-101.045395,-18.919966
0.116667,-95.869362,-75.700546,-87.135605,-104.064392,-101.510002,-40.739346,-105.333450,19.143763,-102.068832,48.341515,-101.044777,-18.919504
0.119444,,,,,,,,,,,,
0.122222,-95.869072,-75.696564,-87.134048,-104.061684,-101.507637,-40.737545,-105.329025,19.145819,-102.065590,48.342148,-101.045319,-18.920033
0.125000,-95.869194,-75.697777,-87.134621,-104.060959,-101.505836,-40.735775,-105.329277,19.145891,-102.064514,48.342377,-101.043144,-18.920156
0.127778,,,,,,,,,,,,
0.130556,-95.871613,-75.696274,-87.135010,-104.058578,-101.506927,-40.738678,-105.323807,19.146839,-102.061775,48.342602,-101.041733,-18.915363
0.133333,-95.873154,-75.697708,-87.132599,-104.058609,-101.665543,-40.492237,-105.324173,19.145063,-102.059006,48.344196,-101.040314,-18.914587
0.136111,,,,,,,,,,,,
0.138889,-95.870430,-75.693680,-87.131538,-104.056297,-101.665154,-40.490498,-105.321526,19.146252,-102.057289,48.344795,-101.037537,-18.911276
0.141667,-95.871773,-75.693336,-87.129875,-104.055084,-101.664352,-40.489090,-105.320213,19.158941,-102.060066,48.345764,-101.035545,-18.908300
0.144444,-95.870300,-75.692657,-87.129639,-104.054512,-101.664482,-40.487099,-105.321228,19.158195,-102.056801,48.346024,-101.035522,-18.908073
0.147222,-95.870872,-75.692513,-87.127716,-104.053329,-101.663254,-40.486908,-105.321648,19.159592,-102.055550,48.346222,-101.032722,-18.908230
0.150000,,,,,,,,,,,,
0.152778,-95.870689,-75.693008,-87.124924,-104.051163,-101.663635,-40.484585,-105.315331,19.158104,-102.054550,48.346443,-101.028130,-18.905203
0.155556,-95.868301,-75.690750,-87.123634,-104.049576,-101.662018,-40.483093,-105.315872,19.160498,-102.051376,48.347820,-101.027122,-18.905308
0.158333,,,,,,,,,,,,
0.161111,-95.868973,-75.689766,-87.121948,-104.046951,-101.658783,-40.482201,-105.314598,19.164158,-102.051842,48.348057,-101.021751,-18.904160
0.163889,-95.867249,-75.687943,-87.120995,-104.046181,-101.659897,-40.481483,-105.312141,19.161242,-102.048805,48.349564,-101.021431,-18.902838
0.166667,,,,,,,,,,,,
0.169444,-95.867065,-75.685242,-87.121162,-104.042877,-101.655472,-40.480377,-105.311584,19.163671,-102.080872,48.354446,-101.016762,-18.901283
0.172222,-95.867256,-75.684425,-87.120148,-104.042313,-101.656792,-40.479324,-105.311501,19.164593,-102.046036,48.351582,-101.017746,-18.895838
0.175000,,,,,,,,,,,,
0.177778,-95.787018,-75.609497,-87.120285,-104.040863,-101.654884,-40.477882,-105.309402,19.165525,-102.044968,48.352642,-101.015007,-18.895649
0.180556,-95.866325,-75.683128,-87.119469,-104.039909,-101.492905,-40.726898,-105.308739,19.164579,-102.075890,48.357372,-101.014816,-18.897921
0.183333,,,,,,,,,,,,
0.186111,-95.867470,-75.682198,-87.119102,-104.037605,-101.654648,-40.475262,-105.306335,19.163137,,,-101.014778,-18.892412
0.188889,-95.785065,-75.605629,-87.118980,-104.037544,-101.490692,-40.725552,-105.305992,19.165754,,,-101.013435,-18.894096
0.191667,,,,,,,,,,,,
0.194444,-95.785675,-75.605484,-87.116173,-104.036247,-101.489426,-40.721703,-105.302719,19.162680,,,-101.015564,-18.891603
0.197222,,,,,,,,,,,,
0.200000,,,,,,,,,,,,
0.202778,-95.785271,-75.606316,-87.114731,-104.034401,-101.658920,-40.457962,-105.303276,19.156878,,,-101.012779,-18.891552
0.205556,-95.782364,-75.601852,-87.115814,-104.033508,-101.662102,-40.456642,-105.298210,19.165861,,,-101.012650,-18.889746
0.208333,,,,,,,,,,,,
0.211111,-95.782501,-75.601257,-87.114990,-104.032944,-101.661209,-40.455009,-105.295479,19.169403,,,-101.010727,-18.887262
0.213889,-95.781998,-75.601997,-87.114120,-104.032837,-101.662186,-40.455662,-105.293060,19.169565,,,-101.012245,-18.886154
0.216667,,,,,,,,,,,,
0.219444,-95.780060,-75.601074,-87.112968,-104.032692,-101.661743,-40.454018,-105.290375,19.169460,,,-101.008865,-18.886438
0.222222,-95.778885,-75.603401,-87.112244,-104.032196,-101.659607,-40.454674,-105.288765,19.173162,,,-101.010719,-18.888447
0.225000,,,,,,,,,,,,
0.227778,-95.755836,-75.558380,-87.109871,-104.032639,-101.661369,-40.454971,-105.286201,19.174116,,,-101.008522,-18.884140
0.230556,,,,,,,,,,,,
0.233333,,,,,,,,,,,,
0.236111,-95.749626,-75.558716,-87.107559,-104.033913,-101.663208,-40.453957,-105.281593,19.170578,,,-101.006340,-18.883087
0.238889,-95.748398,-75.558411,-87.108101,-104.033920,-101.661995,-40.454983,-105.281364,19.171888,,,-101.006195,-18.882551
0.241667,,,,,,,,,,,,
0.244444,-95.744728,-75.559593,-87.107407,-104.034843,-101.666000,-40.455212,-105.278137,19.173283,,,-101.006020,-18.882408
0.247222,-95.742821,-75.560135,-87.106812,-104.036201,-101.663445,-40.455853,-105.277458,19.174334,,,-101.006409,-18.881989
0.250000,,,,,,,,,,,,
0.252778,-95.735184,-75.564026,-87.105553,-104.036621,-101.497437,-40.719353,-105.277061,19.174368,,,-101.006866,-18.883165
0.255556,-95.734047,-75.562538,-87.104492,-104.037643,-101.499702,-40.717636,-105.275581,19.175934,,,-101.005760,-18.882530
0.258333,,,,,,,,,,,,
0.261111,-95.727081,-75.564919,-87.102837,-104.038795,-101.500366,-40.719666,-105.273529,19.179235,,,-101.005188,-18.883488
