Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-103.65567,-76.780678,-107.113243,-50.094158,-111.196411,-15.029776,-109.04882,7.764739,-116.853119,38.814991,-112.003586,63.558155
0.002778,,,,,,,,,,,,
0.005556,-103.653336,-76.783737,-107.113335,-50.10321,-111.196854,-15.031338,-109.032616,7.778918,-116.836227,38.823734,-112.003937,63.557713
0.008333,-103.651932,-76.787735,-107.114265,-50.106644,-111.393188,-15.389954,-109.030876,7.777657,-116.834137,38.824718,-112.003342,63.558811
0.011111,,,,,,,,,,,,
0.013889,-103.668175,-76.822754,-107.114937,-50.112404,-111.201096,-15.033234,-109.024521,7.775422,-116.833626,38.826389,-111.866043,63.372112
0.016667,-103.667198,-76.825401,-107.114624,-50.116467,-111.201942,-15.032983,-109.024811,7.773744,-116.83242,38.825272,-111.969421,63.394432
0.019444,,,,,,,,,,,,
0.022222,-103.658554,-76.829185,-107.116676,-50.126446,-111.401512,-15.393909,-109.019974,7.775502,-116.830383,38.828636,-111.869034,63.37487
0.025,-103.660927,-76.836411,-107.118187,-50.131035,-111.209831,-15.037405,-109.014954,7.773836,-116.831291,38.830822,-112.0075,63.563198
0.027778,,,,,,,,,,,,
0.030556,-103.638145,-76.824402,-107.117935,-50.132648,-111.211166,-15.038431,-109.010101,7.723293,-116.828499,38.832371,-112.008224,63.565571
0.033333,,,,,,,,,,,,
0.036111,,,,,,,,,,,,
0.038889,-103.638733,-76.834503,-107.122719,-50.142185,-111.19574,-15.172172,-109.002243,7.724747,-116.824615,38.838123,-112.008789,63.569469
0.041667,,,,,,,,,,,,
0.044444,,,,,,,,,,,,
0.047222,-103.635193,-76.838364,-107.122383,-50.141724,-111.241699,-15.137081,-109.001289,7.725754,-116.823387,38.843323,-111.96048,63.407146
0.05,,,,,,,,,,,,
0.052778,,,,,,,,,,,,
0.055556,-103.63163,-76.845078,-107.122711,-50.141853,-111.247185,-15.136873,-108.995987,7.723186,-116.822754,38.850445,-111.981476,63.389103
0.058333,-103.629791,-76.846008,-107.121185,-50.142883,-111.248276,-15.137521,-108.996689,7.720602,-116.825211,38.854511,-111.967468,63.415051
0.061111,,,,,,,,,,,,
