Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-113.411629,-81.992699,-115.86013,-53.445267,-118.884789,-16.684034,-111.867317,5.544186,-107.694832,40.237904,-104.327499,67.313652
0.002778,,,,,,,,,,,,
0.005556,-113.410042,-81.988945,-115.856255,-53.4422,-118.695053,-16.325415,-111.872017,5.541894,-107.686493,40.244236,-104.305161,67.303246
0.008333,-113.408363,-81.988548,-115.856468,-53.444748,-118.698135,-16.328896,-111.867989,5.548495,-107.684235,40.247406,-104.28611,67.302216
0.011111,,,,,,,,,,,,
0.013889,-113.398064,-81.973099,-115.854286,-53.444244,-118.703651,-16.330265,-111.873154,5.549106,-107.67733,40.252228,-104.226837,67.298668
0.016667,,,,,,,,,,,,
0.019444,-113.392975,-81.96846,-115.848579,-53.439392,-118.708351,-16.331398,-111.878822,5.554929,-107.672539,40.258133,-104.16787,67.321381
0.022222,,,,,,,,,,,,
0.025,,,,,,,,,,,,
0.027778,-113.388588,-81.97287,-115.839294,-53.436588,-118.715263,-16.337263,-111.889412,5.55442,-107.664787,40.263195,-104.112541,67.328903
0.030556,,,,,,,,,,,,
0.033333,,,,,,,,,,,,
0.036111,-113.392784,-81.96862,-115.818748,-53.411747,-118.721008,-16.340637,-111.895493,5.551779,-107.659874,40.267067,-104.057121,67.33223
0.038889,,,,,,,,,,,,
0.041667,,,,,,,,,,,,
0.044444,-113.388397,-81.966362,-115.81237,-53.408932,-118.728149,-16.346348,-111.901413,5.553308,-107.656952,40.269405,-104.002296,67.331245
0.047222,-113.385788,-81.962646,-115.810585,-53.406715,-118.728317,-16.343296,-111.911011,5.549779,-107.654831,40.271221,-103.983963,67.333069
0.05,,,,,,,,,,,,
0.052778,-113.380478,-81.963814,-115.806458,-53.404308,-118.734406,-16.347027,-111.916115,5.551133,-107.651863,40.27372,-103.940674,67.333939
0.055556,,,,,,,,,,,,
0.058333,,,,,,,,,,,,
0.061111,-113.37233,-81.974098,-115.798988,-53.40239,-118.922714,-16.685289,-111.918259,5.548823,-107.645905,40.279396,-103.868988,67.336868
0.063889,-113.370155,-81.981644,-115.801834,-53.402519,-118.922409,-16.682852,-111.9179,5.549252,-107.643471,40.281662,-103.845848,67.338219
0.066667,,,,,,,,,,,,
0.069444,-113.363525,-81.986061,-115.805801,-53.40699,-118.745491,-16.346539,-111.918106,5.547413,-107.639709,40.285908,-103.80368,67.341072
