Format Version,1.23,Take Name,Elena_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-19 05.16.06.064 PM,Capture Start Frame,3566884,Total Frames in Take,8554,Total Exported Frames,8554,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,aaaiu:BackLeft,aaaiu:BackLeft,aaaiu:BackLeft,aaaiu:BackRight,aaaiu:BackRight,aaaiu:BackRight,aaaiu:BackTop,aaaiu:BackTop,aaaiu:BackTop,aaaiu:Chest,aaaiu:Chest,aaaiu:Chest,aaaiu:HeadFront,aaaiu:HeadFront,aaaiu:HeadFront,aaaiu:HeadSide,aaaiu:HeadSide,aaaiu:HeadSide,aaaiu:HeadTop,aaaiu:HeadTop,aaaiu:HeadTop,aaaiu:LElbowOut,aaaiu:LElbowOut,aaaiu:LElbowOut,aaaiu:LHandOut,aaaiu:LHandOut,aaaiu:LHandOut,aaaiu:LShoulderBack,aaaiu:LShoulderBack,aaaiu:LShoulderBack,aaaiu:LShoulderTop,aaaiu:LShoulderTop,aaaiu:LShoulderTop,aaaiu:LUArmHigh,aaaiu:LUArmHigh,aaaiu:LUArmHigh,aaaiu:LWristIn,aaaiu:LWristIn,aaaiu:LWristIn,aaaiu:LWristOut,aaaiu:LWristOut,aaaiu:LWristOut,aaaiu:RElbowOut,aaaiu:RElbowOut,aaaiu:RElbowOut,aaaiu:RHandOut,aaaiu:RHandOut,aaaiu:RHandOut,aaaiu:RShoulderBack,aaaiu:RShoulderBack,aaaiu:RShoulderBack,aaaiu:RShoulderTop,aaaiu:RShoulderTop,aaaiu:RShoulderTop,aaaiu:RUArmHigh,aaaiu:RUArmHigh,aaaiu:RUArmHigh,aaaiu:RWristIn,aaaiu:RWristIn,aaaiu:RWristIn,aaaiu:RWristOut,aaaiu:RWristOut,aaaiu:RWristOut,aaaiu:WaistLBack,aaaiu:WaistLBack,aaaiu:WaistLBack,aaaiu:WaistLFront,aaaiu:WaistLFront,aaaiu:WaistLFront,aaaiu:WaistRBack,aaaiu:WaistRBack,aaaiu:WaistRBack,aaaiu:WaistRFront,aaaiu:WaistRFront,aaaiu:WaistRFront
,ID,"304280","304280","304280","3090B0","3090B0","3090B0","30C200","30C200","30C200","30C1C0","30C1C0","30C1C0","30B730","30B730","30B730","30B510","30B510","30B510","2F6D60","2F6D60","2F6D60","30CE50","30CE50","30CE50","309040","309040","309040","309C20","309C20","309C20","30A480","30A480","30A480","308E90","308E90","308E90","308F10","308F10","308F10","30A9E0","30A9E0","30A9E0","30A1A0","30A1A0","30A1A0","30DA20","30DA20","30DA20","303F00","303F00","303F00","30DAC0","30DAC0","30DAC0","2F6110","2F6110","2F6110","30BE50","30BE50","30BE50","30BF00","30BF00","30BF00","30CDB0","30CDB0","30CDB0","30BF90","30BF90","30BF90","308E30","308E30","308E30","30BFC0","30BFC0","30BFC0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-115.753677,160.122604,-43.976959,-113.060547,158.565445,-23.178257,-116.748795,169.964828,-34.213833,-93.258934,164.025742,-34.428154,-97.500160,194.886459,-43.782207,-94.363983,193.375366,-29.385757,-103.984573,201.653595,-34.803093,-104.397644,169.618042,-78.244034,-100.822685,174.648453,-105.216743,-113.504265,170.904190,-51.061970,-110.439590,178.224274,-43.074642,-107.953033,171.491699,-65.387413,-94.627968,180.513702,-99.019798,-102.065781,173.952133,-97.871872,-108.042656,163.288361,13.010457,-105.356148,166.628220,39.831249,-113.436874,169.261475,-17.829416,-108.829285,176.876556,-22.960922,-109.747353,165.837158,-3.401810,-104.520103,176.684845,32.903301,-106.348923,167.290634,34.043823,-109.792877,132.396164,-49.974163,-90.388184,129.933136,-51.718815,-109.660042,131.457260,-27.368605,-90.294075,129.935974,-25.120390
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-115.755447,160.121948,-43.982174,-113.062561,158.565308,-23.177797,-116.751030,169.963791,-34.216465,-93.257240,164.026718,-34.431129,-97.492775,194.880493,-43.783485,-94.363365,193.375778,-29.386011,-103.982079,201.649551,-34.805782,-104.394112,169.639221,-78.262001,-100.810692,174.652328,-105.220436,-113.505051,170.902130,-51.065834,-110.441032,178.222794,-43.080914,-107.948326,171.488968,-65.392097,-94.618515,180.517059,-99.021500,-102.055885,173.956223,-97.875809,-108.046509,163.289001,13.006146,-105.377342,166.620224,39.817307,-113.622192,169.218063,-17.597544,-108.826538,176.878601,-22.959158,-109.749077,165.837051,-3.402273,-104.523109,176.688126,32.900566,-106.350639,167.291397,34.041397,-109.788940,132.392624,-49.978642,-90.385948,129.933121,-51.720905,-109.660423,131.456833,-27.371126,-90.287170,129.931396,-25.121939
3,0.008333,-115.754868,160.122787,-43.983158,-113.062706,158.564056,-23.178923,-116.751160,169.963364,-34.216824,-93.258957,164.025604,-34.432991,-97.485451,194.876251,-43.785667,-94.364319,193.377625,-29.385958,-103.980598,201.646347,-34.808167,-104.388557,169.641113,-78.264389,-100.804070,174.652206,-105.220284,-113.504837,170.901169,-51.067265,-110.438141,178.221878,-43.083870,-107.945778,171.488693,-65.393982,-94.613350,180.519241,-99.024620,-102.053795,173.958801,-97.876831,-108.050140,163.289734,13.004616,-105.379524,166.623291,39.821144,-113.436493,169.260574,-17.832884,-108.826653,176.877258,-22.957760,-109.750542,165.837494,-3.404265,-104.525848,176.688461,32.897339,-106.353142,167.293701,34.039700,-109.784630,132.392609,-49.982071,-90.385498,129.932480,-51.721035,-109.657310,131.457108,-27.375057,-90.285217,129.929001,-25.123882
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-115.754822,160.120316,-43.981041,-113.064049,158.564209,-23.180307,-116.751648,169.961868,-34.221249,-93.259087,164.022995,-34.436913,-97.467865,194.867462,-43.788383,-94.363289,193.376465,-29.391542,-103.989700,201.731537,-34.828201,-104.381989,169.647644,-78.267197,-100.784218,174.650955,-105.240082,-113.504852,170.899796,-51.069431,-110.439537,178.218140,-43.083858,-107.944038,171.491577,-65.399567,-94.469177,180.338593,-98.947144,-102.044189,173.963440,-97.880081,-108.051575,163.289139,13.003586,-105.382248,166.624390,39.820759,-113.436302,169.260742,-17.834305,-108.824715,176.876678,-22.960005,-109.751213,165.837753,-3.404782,-104.529366,176.693390,32.896790,-106.357018,167.294067,34.041084,-109.777092,132.388718,-49.986012,-90.382347,129.940674,-51.735626,-109.657631,131.455353,-27.376280,-90.280930,129.925110,-25.128395
6,0.016667,-115.755226,160.118790,-43.982304,-113.063896,158.562851,-23.180731,-116.750427,169.960648,-34.221378,-93.261429,164.022400,-34.434471,-97.464211,194.864502,-43.788620,-94.362801,193.376282,-29.393419,-103.987846,201.730942,-34.829979,-104.375542,169.648926,-78.269547,-100.777008,174.651962,-105.238953,-113.502930,170.898926,-51.071667,-110.440231,178.217712,-43.088661,-107.940041,171.492142,-65.401993,-94.465340,180.340729,-98.947266,-102.038124,173.964798,-97.881973,-108.050468,163.288635,12.999225,-105.383240,166.628906,39.822239,-113.437653,169.261475,-17.833691,-108.823868,176.876801,-22.961117,-109.751717,165.837967,-3.405713,-104.532913,176.694321,32.894890,-106.356934,167.296707,34.037243,-109.776375,132.388763,-49.989723,-90.392075,129.942902,-51.702614,-109.658661,131.454514,-27.379292,-90.335693,130.065323,-25.104315
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-115.753853,160.118347,-43.984669,-113.063965,158.562927,-23.181074,-116.748764,169.960266,-34.224224,-93.263206,164.023148,-34.434868,-97.454826,194.859772,-43.791344,-94.362328,193.376022,-29.394993,-103.989410,201.730728,-34.833714,-104.365852,169.654724,-78.271851,-100.762794,174.654312,-105.242767,-113.502357,170.898758,-51.073803,-110.441360,178.217316,-43.090317,-107.933975,171.496689,-65.407654,-94.454666,180.343658,-98.947929,-102.029510,173.970886,-97.885178,-108.050774,163.290771,13.002875,-105.381180,166.629654,39.818401,-113.623871,169.219208,-17.602169,-108.826256,176.874863,-22.959280,-109.751602,165.837234,-3.407551,-104.535797,176.695511,32.891647,-106.356750,167.298203,34.035076,-109.771690,132.385284,-49.993607,-90.391090,129.942108,-51.702427,-109.657417,131.455460,-27.383671,-90.334633,130.066223,-25.104214
9,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-115.753510,160.118393,-43.988777,-113.062965,158.562607,-23.181841,-116.747894,169.957428,-34.229820,-93.263748,164.019592,-34.437126,-97.449455,194.859558,-43.794140,-94.361740,193.372604,-29.398464,-103.987732,201.728897,-34.838112,-104.324188,169.651642,-78.281166,-100.741127,174.659912,-105.246307,-113.498985,170.903320,-51.075542,-110.439888,178.217560,-43.099518,-107.922600,171.509521,-65.417305,-94.565811,180.529449,-99.033218,-102.014091,173.976440,-97.888268,-108.049057,163.291199,12.996927,-105.383888,166.631882,39.816044,-113.439056,169.262070,-17.837597,-108.827881,176.876038,-22.965891,-109.753059,165.838196,-3.410261,-104.541206,176.698273,32.888008,-106.358360,167.299973,34.031727,-109.768257,132.383224,-49.997364,-90.377838,129.931580,-51.722198,-109.654846,131.450668,-27.385448,-90.332649,130.064545,-25.106346
