Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-97.529182,-105.84726,-100.617935,-78.178024,-105.339119,-43.376232,-103.741142,-21.501429,-105.186607,11.705062,-101.894997,38.832657
0.002778,,,,,,,,,,,,
0.005556,-97.528267,-105.849167,-100.616264,-78.180069,-105.333267,-43.388451,-103.741753,-21.502892,-105.183731,11.705628,-101.89328,38.832863
0.008333,-97.529083,-105.849686,-100.616631,-78.180855,-105.333778,-43.38863,-103.743347,-21.503328,-105.181908,11.703142,-101.892044,38.833229
0.011111,,,,,,,,,,,,
0.013889,-97.527367,-105.850174,-100.685211,-78.300201,-105.337944,-43.389847,-103.742027,-21.505932,-105.178452,11.702332,-101.887665,38.833763
0.016667,-97.526176,-105.850342,-100.608887,-78.192543,-105.339264,-43.389893,-103.740356,-21.506792,-105.177628,11.703194,-101.885735,38.834942
0.019444,,,,,,,,,,,,
0.022222,-97.524414,-105.852379,-100.603828,-78.191772,-105.339981,-43.390762,-103.738228,-21.506807,-105.172859,11.704198,-101.880028,38.835506
0.025,,,,,,,,,,,,
0.027778,,,,,,,,,,,,
0.030556,-97.520721,-105.855194,-100.60141,-78.196739,-105.340866,-43.39217,-103.75428,-21.533136,-105.170525,11.701075,-101.872147,38.837856
0.033333,-97.520561,-105.855095,-100.598785,-78.19278,-105.340912,-43.392967,-103.754486,-21.534225,-105.166542,11.701454,-101.872131,38.836716
0.036111,-97.518311,-105.85791,-100.598648,-78.192451,-105.341812,-43.393303,-103.754112,-21.53422,-105.164993,11.704018,-101.866867,38.836922
0.038889,-97.518967,-105.858315,-100.596474,-78.195801,-105.338394,-43.395138,-103.754517,-21.53705,-105.165268,11.701852,-101.865005,38.837658
0.041667,,,,,,,,,,,,
0.044444,-97.517563,-105.861214,-100.594711,-78.196289,-105.33931,-43.395744,-103.753975,-21.536781,-105.1604,11.702781,-101.860687,38.838745
0.047222,-97.516701,-105.860733,-100.593689,-78.194328,-105.338814,-43.395199,-103.754196,-21.534983,-105.159309,11.704099,-101.859352,38.840038
0.05,,,,,,,,,,,,
0.052778,-97.514702,-105.863235,-100.592361,-78.19619,-105.337677,-43.396973,-103.754387,-21.536572,-105.151474,11.700666,-101.855934,38.840912
0.055556,,,,,,,,,,,,
0.058333,,,,,,,,,,,,
0.061111,-97.512253,-105.865898,-100.590096,-78.196373,-105.338524,-43.398357,-103.738556,-21.515678,-105.148445,11.720692,-101.843193,38.839157
0.063889,,,,,,,,,,,,
0.066667,,,,,,,,,,,,
0.069444,-97.509026,-105.869186,-100.58696,-78.201469,-105.338074,-43.400669,-103.738579,-21.51775,-105.14209,11.724164,-101.83374,38.840496
0.072222,,,,,,,,,,,,
0.075,,,,,,,,,,,,
0.077778,-97.502937,-105.873039,-100.583336,-78.204575,-105.337738,-43.403912,-103.737816,-21.520128,-105.135765,11.730186,-101.825043,38.842499
0.080556,-97.50267,-105.873703,-100.585022,-78.207214,-105.338547,-43.404793,-103.732391,-21.533562,-105.135002,11.729865,-101.822159,38.842773
0.083333,,,,,,,,,,,,
0.086111,-97.49852,-105.876778,-100.581154,-78.209785,-105.204979,-43.597019,-103.729561,-21.534515,-105.128738,11.730342,-101.815178,38.844402
0.088889,,,,,,,,,,,,
0.091667,,,,,,,,,,,,
0.094444,-97.4636,-105.945946,-100.578461,-78.212311,-105.205788,-43.595993,-103.755463,-21.589502,-105.123222,11.735081,-101.801872,38.846638
0.097222,-97.480896,-105.887756,-100.577774,-78.212334,-105.207893,-43.598438,-103.743935,-21.572763,-105.120102,11.734805,-101.796509,38.847775
0.1,,,,,,,,,,,,
0.102778,-97.477318,-105.890205,-100.575996,-78.215408,-105.208717,-43.599777,-103.754738,-21.598253,-105.118073,11.735387,-101.789474,38.847931
0.105556,,,,,,,,,,,,
0.108333,,,,,,,,,,,,
0.111111,-97.471596,-105.893326,-100.570976,-78.217201,-105.211624,-43.602734,-103.754166,-21.600836,-105.111885,11.739183,-101.767029,38.847134
0.113889,-97.470131,-105.894402,-100.569847,-78.217026,-105.211212,-43.601673,-103.753471,-21.601938,-105.111969,11.737151,-101.760902,38.846199
0.116667,,,,,,,,,,,,
0.119444,-97.467514,-105.895195,-100.56633,-78.217735,-105.21048,-43.603191,-103.753136,-21.609678,-105.107292,11.740514,-101.753471,38.845463
0.122222,,,,,,,,,,,,
0.125,,,,,,,,,,,,
