Format Version,1.23,Take Name,Eleonora_007,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-22 12.38.06.110 PM,Capture Start Frame,3927946,Total Frames in Take,8336,Total Exported Frames,8336,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,assss:BackLeft,assss:BackLeft,assss:BackLeft,assss:BackRight,assss:BackRight,assss:BackRight,assss:BackTop,assss:BackTop,assss:BackTop,assss:Chest,assss:Chest,assss:Chest,assss:HeadFront,assss:HeadFront,assss:HeadFront,assss:HeadTop,assss:HeadTop,assss:HeadTop,assss:LElbowOut,assss:LElbowOut,assss:LElbowOut,assss:LHandOut,assss:LHandOut,assss:LHandOut,assss:LShoulderBack,assss:LShoulderBack,assss:LShoulderBack,assss:LShoulderTop,assss:LShoulderTop,assss:LShoulderTop,assss:LUArmHigh,assss:LUArmHigh,assss:LUArmHigh,assss:LWristIn,assss:LWristIn,assss:LWristIn,assss:LWristOut,assss:LWristOut,assss:LWristOut,assss:RElbowOut,assss:RElbowOut,assss:RElbowOut,assss:RHandOut,assss:RHandOut,assss:RHandOut,assss:RShoulderBack,assss:RShoulderBack,assss:RShoulderBack,assss:RShoulderTop,assss:RShoulderTop,assss:RShoulderTop,assss:RUArmHigh,assss:RUArmHigh,assss:RUArmHigh,assss:RWristIn,assss:RWristIn,assss:RWristIn,assss:RWristOut,assss:RWristOut,assss:RWristOut,assss:WaistLBack,assss:WaistLBack,assss:WaistLBack,assss:WaistLFront,assss:WaistLFront,assss:WaistLFront,assss:WaistRBack,assss:WaistRBack,assss:WaistRBack,assss:WaistRFront,assss:WaistRFront,assss:WaistRFront
,ID,"2FBCE0","2FBCE0","2FBCE0","2FBC80","2FBC80","2FBC80","2FBC90","2FBC90","2FBC90","2FD7B0","2FD7B0","2FD7B0","2FED90","2FED90","2FED90","2FBBD0","2FBBD0","2FBBD0","2FE9B0","2FE9B0","2FE9B0","2FBC50","2FBC50","2FBC50","2FBCC0","2FBCC0","2FBCC0","2FBC60","2FBC60","2FBC60","2FDEB0","2FDEB0","2FDEB0","2FDF80","2FDF80","2FDF80","2FCB80","2FCB80","2FCB80","2FBC10","2FBC10","2FBC10","2FDE30","2FDE30","2FDE30","2FBC40","2FBC40","2FBC40","2FBBE0","2FBBE0","2FBBE0","2FC260","2FC260","2FC260","2FBB60","2FBB60","2FBB60","2FDD40","2FDD40","2FDD40","2FDDA0","2FDDA0","2FDDA0","2FBBF0","2FBBF0","2FBBF0","2FDDC0","2FDDC0","2FDDC0","2FBBC0","2FBBC0","2FBBC0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-92.945953,142.938934,8.785171,-94.033165,141.274704,32.619732,-99.660133,153.949371,21.813702,-72.451347,153.200745,22.178053,-78.178772,175.928040,29.771618,-85.139183,187.038010,24.005033,-83.892403,155.550644,-18.143595,-85.151207,160.923203,-47.187275,-95.746613,156.107925,6.082705,-90.740929,162.670776,13.182009,-88.753029,153.889420,-7.077760,-80.986992,167.214661,-38.582489,-84.673187,159.745529,-39.362568,-90.028076,148.988419,61.905434,-89.700806,153.117935,93.563530,-95.669380,155.277496,35.431873,-89.134453,161.681686,32.948906,-92.064049,150.819275,49.885933,-86.340866,159.863998,83.518814,-91.128502,152.930359,85.210709,-90.101563,125.770248,10.069818,-74.606407,125.316582,6.587631,-90.242043,124.051132,31.229141,-72.999641,123.468994,31.292233
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-92.942780,142.941040,8.783108,-94.029266,141.274567,32.619423,-99.657562,153.950958,21.814634,-72.451881,153.199615,22.178703,-78.174805,175.928925,29.772938,-85.134048,187.037003,24.007950,-83.887344,155.552704,-18.141666,-85.147324,160.927658,-47.187077,-95.747604,156.110550,6.081099,-90.737091,162.671814,13.179183,-88.751213,153.892487,-7.079756,-80.989799,167.217575,-38.583408,-84.671867,159.748810,-39.362503,-90.022415,148.985870,61.904694,-89.691124,153.115051,93.562927,-95.665565,155.278168,35.431053,-89.130333,161.680023,32.949673,-92.059586,150.820618,49.887947,-86.332497,159.859619,83.519272,-91.117378,152.926300,85.209206,-90.100067,125.770447,10.068190,-74.606224,125.313210,6.588609,-90.235146,124.049759,31.227648,-72.998444,123.469139,31.289682
3,0.008333,-92.942848,142.942123,8.784276,-94.027573,141.274506,32.619320,-99.656036,153.950623,21.814632,-72.449890,153.200928,22.177574,-78.172028,175.927444,29.774015,-85.132385,187.035477,24.008265,-83.882965,155.553238,-18.139935,-85.147644,160.929459,-47.186680,-95.744705,156.112076,6.081459,-90.738419,162.670731,13.185173,-88.753906,153.895218,-7.080424,-80.987198,167.217896,-38.583382,-84.670425,159.750229,-39.362209,-90.021111,148.987061,61.903912,-89.686668,153.113220,93.561729,-95.662140,155.277435,35.431416,-89.131630,161.677139,32.951080,-92.054008,150.817795,49.886696,-86.328545,159.856125,83.517860,-91.112465,152.924759,85.208488,-90.098343,125.770775,10.069182,-74.606316,125.313438,6.589297,-90.231178,124.049210,31.228706,-72.995117,123.469376,31.290600
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-92.939545,142.941513,8.782827,-94.024925,141.273911,32.619732,-99.653534,153.949371,21.815432,-72.449478,153.201157,22.176908,-78.168648,175.926163,29.773813,-85.131004,187.029922,24.012302,-83.889565,155.552826,-18.142582,-85.147934,160.935684,-47.185532,-95.742729,156.111923,6.080997,-90.740707,162.670486,13.185596,-88.750549,153.896835,-7.081568,-80.990562,167.215912,-38.580555,-84.668610,159.751724,-39.362122,-90.013771,148.983353,61.904324,-89.637337,153.085510,93.586159,-95.657906,155.276520,35.431702,-89.127632,161.675385,32.949986,-92.050842,150.817642,49.889099,-86.320892,159.851593,83.517311,-91.103470,152.920532,85.208687,-90.096588,125.770363,10.068062,-74.606613,125.313553,6.589569,-90.225639,124.047531,31.228138,-72.988716,123.473183,31.290194
