Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-83.317162,-49.978172,-82.590302,-20.628094,-89.138199,10.962307,-86.556282,31.458265,-84.636154,59.054928,-81.802216,90.516861
0.002778,,,,,,,,,,,,
0.005556,-83.333153,-49.980705,-82.582642,-20.62858,-89.136223,10.957846,-86.552902,31.453917,-84.636002,59.052128,-81.80735,90.515358
0.008333,,,,,,,,,,,,
0.011111,,,,,,,,,,,,
0.013889,-83.355606,-49.986267,-82.583633,-20.63438,-89.134613,10.948542,-86.551109,31.449923,-84.639236,59.049953,-81.817886,90.513573
0.016667,-83.363968,-49.987488,-82.577629,-20.634338,-89.131042,10.944661,-86.551529,31.449186,-84.640953,59.048809,-81.82106,90.512505
0.019444,,,,,,,,,,,,
0.022222,-83.385155,-49.990871,-82.591644,-20.639219,-89.131668,10.93697,-86.552338,31.443214,-84.641609,59.049297,-81.82682,90.512253
0.025,-83.39502,-49.992188,-82.599579,-20.640627,-89.13063,10.932854,-86.551735,31.443447,-84.6427,59.047306,-81.829926,90.513458
0.027778,,,,,,,,,,,,
0.030556,-83.413849,-49.994873,-82.577065,-20.646698,-89.121208,10.913044,-86.553253,31.439915,-84.644958,59.045422,-81.836761,90.511131
0.033333,,,,,,,,,,,,
0.036111,,,,,,,,,,,,
0.038889,-83.443222,-50.001305,-82.581207,-20.656384,-89.11647,10.898932,-86.555603,31.437355,-84.64933,59.042419,-81.885948,90.520493
0.041667,,,,,,,,,,,,
0.044444,-83.462372,-50.005974,-82.561928,-20.642181,-89.116219,10.889688,-86.559509,31.434664,-84.652557,59.040165,-81.895157,90.517586
0.047222,,,,,,,,,,,,
0.05,,,,,,,,,,,,
0.052778,-83.488556,-50.020622,-82.568184,-20.652155,-89.115173,10.874668,-86.56292,31.428572,-84.690987,59.016808,-81.909004,90.514839
0.055556,-83.497665,-50.026287,-82.568489,-20.655098,-89.112595,10.870441,-86.562508,31.422611,-84.693321,59.014847,-81.911423,90.51387
0.058333,,,,,,,,,,,,
0.061111,-83.513252,-50.036133,-82.573692,-20.665707,-89.112701,10.858634,-86.562225,31.416405,-84.679054,59.014587,-81.919243,90.509743
0.063889,-83.545563,-50.044216,-83.687782,-20.128107,-89.11203,10.853246,-86.562859,31.411827,-84.679329,59.013103,-81.923363,90.508995
0.066667,,,,,,,,,,,,
0.069444,-83.574532,-50.05529,-83.692886,-20.143127,-89.107559,10.84289,-86.56514,31.403837,-84.678581,59.009953,-81.930283,90.506126
0.072222,-83.589241,-50.062008,-83.690475,-20.155382,-89.107079,10.837734,-86.566116,31.401052,-84.679298,59.007263,-81.905899,90.511635
0.075,,,,,,,,,,,,
0.077778,-83.613388,-50.072468,-83.692642,-20.173336,-89.103477,10.827446,-86.564857,31.392387,-84.683022,59.016788,-81.914246,90.509003
0.080556,-83.615677,-50.092243,-83.694908,-20.181297,-89.099655,10.821229,-86.567154,31.387991,-84.684578,59.014236,-81.917091,90.507927
0.083333,,,,,,,,,,,,
0.086111,-83.623634,-50.105595,-83.673492,-20.510841,-89.098724,10.808537,-86.562881,31.375944,-84.684448,59.010231,-81.926384,90.505493
0.088889,-83.634026,-50.107819,-83.673157,-20.514626,-89.096542,10.80232,-86.564812,31.372446,-84.683792,59.009254,-81.930672,90.503975
0.091667,,,,,,,,,,,,
0.094444,-83.654762,-50.110352,-83.679398,-20.521063,-89.092346,10.792232,-86.562622,31.361893,-84.6838,59.005154,-81.984192,90.478882
0.097222,,,,,,,,,,,,
0.1,,,,,,,,,,,,
0.102778,-83.701233,-50.11636,-83.669853,-20.565922,-89.089409,10.77835,-86.577209,31.347799,-84.681633,58.99995,-82.00383,90.474548
0.105556,-83.709099,-50.118603,-83.674088,-20.571608,-89.089737,10.774305,-86.575752,31.342157,-84.683434,58.998596,-82.009552,90.473587
0.108333,,,,,,,,,,,,
0.111111,-83.714737,-50.117702,-83.678574,-20.578831,-89.086166,10.76852,-86.578041,31.337309,-84.684349,58.995674,-82.024254,90.471825
0.113889,-83.723488,-50.120533,-83.680931,-20.583321,-89.088036,10.766334,-86.578621,31.332626,-84.684143,58.9944,-82.030128,90.469833
0.116667,,,,,,,,,,,,
0.119444,-83.757759,-50.131912,-83.68737,-20.590645,-89.085335,10.761812,-86.577339,31.32785,-84.687599,58.992516,-82.059517,90.461555
0.122222,-83.768776,-50.134705,-83.690605,-20.593697,-89.084953,10.759097,-86.58268,31.317007,-84.687057,58.991402,-82.063148,90.461563
0.125,,,,,,,,,,,,
0.127778,-83.790588,-50.137203,-83.751892,-20.31703,-89.079277,10.744649,-86.553795,31.279987,-84.689835,58.989861,-82.083496,90.467957
0.130556,-83.799873,-50.138325,-83.750725,-20.320749,-89.07888,10.742778,-86.551872,31.277126,-84.693375,58.988525,-82.088837,90.469284
0.133333,,,,,,,,,,,,
0.136111,-83.815727,-50.141884,-83.756783,-20.327068,-89.079025,10.738179,-86.55024,31.270948,-84.696457,58.988232,-82.097656,90.469345
0.138889,-83.822754,-50.141979,-83.758949,-20.332836,-89.077675,10.736174,-86.54895,31.269323,-84.699142,58.987896,-82.093361,90.464363
0.141667,,,,,,,,,,,,
0.144444,-83.837379,-50.144325,-83.767532,-20.332766,-89.079735,10.733229,-86.568542,31.235138,-84.702065,58.986294,-82.101234,90.465637
0.147222,-83.84391,-50.146137,-83.766846,-20.33782,-89.080902,10.732451,-86.567841,31.231543,-84.703781,58.986092,-82.102928,90.465286
