Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-113.538528,-88.651428,-114.105583,-58.279945,-115.224876,-20.9403,-110.457588,1.950762,-109.633408,39.017799,-107.233704,68.616104
0.002778,,,,,,,,,,,,
0.005556,-113.537254,-88.651596,-114.107582,-58.282852,-115.227127,-20.938713,-110.457436,1.951554,-109.634224,39.016445,-107.227257,68.61776
0.008333,,,,,,,,,,,,
0.011111,,,,,,,,,,,,
0.013889,-113.534378,-88.648132,-114.109375,-58.282341,-115.231071,-20.935844,-110.444664,1.975059,-109.635521,39.018833,-107.221535,68.61898
0.016667,-113.534523,-88.648201,-114.110031,-58.280098,-115.234291,-20.937342,-110.445366,1.976685,-109.63504,39.01981,-107.218826,68.620071
0.019444,,,,,,,,,,,,
0.022222,-113.534309,-88.646683,-114.113007,-58.279133,-115.235519,-20.933863,-110.448441,1.977135,-109.633957,39.021107,-107.195412,68.627098
0.025,,,,,,,,,,,,
0.027778,,,,,,,,,,,,
0.030556,-113.537506,-88.64666,-114.115738,-58.277367,-115.241089,-20.932379,-110.453461,1.977574,-109.632362,39.018909,-107.189438,68.626472
0.033333,,,,,,,,,,,,
0.036111,,,,,,,,,,,,
0.038889,-113.53949,-88.64801,-114.116982,-58.276409,-115.243446,-20.930683,-110.454178,1.978438,-109.630272,39.025261,-107.181992,68.626114
0.041667,-113.540497,-88.64711,-114.117004,-58.276428,-115.245018,-20.92705,-110.453293,1.977392,-109.628021,39.023258,-107.178162,68.624908
0.044444,,,,,,,,,,,,
0.047222,-113.542343,-88.647102,-114.118835,-58.274811,-115.247238,-20.929321,-110.455788,1.977864,-109.625031,39.023388,-107.171753,68.623329
0.05,,,,,,,,,,,,
0.052778,,,,,,,,,,,,
0.055556,-113.544044,-88.648033,-114.120758,-58.276142,-115.249023,-20.928999,-110.469795,1.956651,-109.620575,39.02359,-107.165077,68.620392
0.058333,,,,,,,,,,,,
0.061111,,,,,,,,,,,,
0.063889,-113.548569,-88.6465,-114.125572,-58.273346,-115.251648,-20.92433,-110.471977,1.955062,-109.614494,39.022125,-107.160126,68.617195
0.066667,-113.552498,-88.645935,-114.127495,-58.271919,-115.252495,-20.922474,-110.471405,1.955178,-109.616699,39.024387,-107.157623,68.617081
0.069444,,,,,,,,,,,,
0.072222,-113.555077,-88.646606,-114.129547,-58.268593,-115.005943,-20.70223,-110.470726,1.955619,-109.617317,39.026215,-107.156281,68.616104
0.075,-113.556931,-88.646324,-114.131805,-58.270866,-115.006363,-20.701281,-110.471642,1.955336,-109.617249,39.024208,-107.154655,68.615936
0.077778,,,,,,,,,,,,
0.080556,-113.561737,-88.647041,-114.135338,-58.270241,-115.006699,-20.701584,-110.472198,1.954877,-109.61721,39.024616,-107.153793,68.615395
0.083333,,,,,,,,,,,,
0.086111,,,,,,,,,,,,
0.088889,-113.571098,-88.648613,-114.140083,-58.270657,-115.253021,-20.922937,-110.471283,1.953429,-109.620461,39.024597,-107.152092,68.616585
0.091667,,,,,,,,,,,,
0.094444,,,,,,,,,,,,
0.097222,-113.581154,-88.647812,-114.14782,-58.273071,-115.252937,-20.922972,-110.457275,1.976779,-109.619232,39.022358,-107.151604,68.616661
0.1,-113.584732,-88.647873,-114.149895,-58.273464,-115.251938,-20.924652,-110.455391,1.977889,-109.620354,39.024712,-107.151878,68.616875
0.102778,,,,,,,,,,,,
0.105556,-113.594437,-88.648178,-114.154564,-58.273186,-115.251228,-20.92391,-110.456825,1.979402,-109.616341,39.023048,-107.150589,68.617668
0.108333,,,,,,,,,,,,
0.111111,-113.603577,-88.648895,-114.158646,-58.275826,-115.252472,-20.925314,-110.4552,1.978794,-109.618271,39.027058,-107.147812,68.61718
0.113889,,,,,,,,,,,,
0.116667,,,,,,,,,,,,
0.119444,-113.616562,-88.648979,-114.163994,-58.273483,-115.252174,-20.923088,-110.453125,1.980094,-109.613213,39.025776,-107.149033,68.615562
0.122222,-113.622704,-88.648438,-114.165916,-58.274071,-115.252342,-20.922693,-110.452995,1.981531,-109.612831,39.030468,-107.144821,68.629059
0.125,,,,,,,,,,,,
