Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-97.951698,-106.539688,-98.40242,-74.07621,-106.430031,-43.728317,-99.186203,-20.889772,-96.592316,10.3854,-92.584267,39.52747
0.002778,,,,,,,,,,,,
0.005556,-97.963104,-106.539024,-98.411064,-74.073967,-106.436089,-43.728973,-99.196732,-20.889721,-96.584473,10.385233,-92.564804,39.519196
0.008333,-97.967667,-106.539825,-98.406425,-73.959846,-106.442329,-43.730057,-99.198753,-20.892128,-96.579514,10.38242,-92.548416,39.513474
0.011111,,,,,,,,,,,,
0.013889,-97.981064,-106.539772,-98.415962,-73.959747,-106.449699,-43.730057,-99.206589,-20.912254,-96.573235,10.379174,-92.522476,39.508759
0.016667,-97.986046,-106.539154,-98.460953,-74.031029,-106.45269,-43.72641,-99.211342,-20.910988,-96.569649,10.378599,-92.510056,39.505215
0.019444,,,,,,,,,,,,
0.022222,-97.996582,-106.536636,-98.242386,-74.332954,-106.282631,-43.417622,-99.21833,-20.915323,-96.562263,10.375267,-92.485779,39.503052
0.025,-98.000282,-106.537018,-98.434273,-73.962578,-106.295311,-43.43145,-99.220726,-20.913321,-96.557381,10.375401,-92.471252,39.50174
0.027778,,,,,,,,,,,,
0.030556,-98.026451,-106.503273,-98.443497,-73.961159,-106.304932,-43.432438,-99.227646,-20.914925,-96.550346,10.370028,-92.438339,39.493942
0.033333,-98.030922,-106.501709,-98.450233,-73.957047,-106.310509,-43.435635,-99.229477,-20.914188,-96.548775,10.370681,-92.427574,39.495544
0.036111,,,,,,,,,,,,
0.038889,-98.041603,-106.502686,-98.462471,-73.959908,-106.317886,-43.438995,-99.233566,-20.896158,-96.541039,10.366469,-92.391518,39.493023
0.041667,-98.205444,-106.682625,-98.469582,-73.951622,-106.323242,-43.439899,-99.252213,-20.900206,-96.538719,10.365802,-92.382736,39.493488
0.044444,,,,,,,,,,,,
0.047222,-98.216812,-106.682274,-98.483727,-73.951332,-106.334999,-43.439686,-99.257919,-20.903666,-96.533546,10.362482,-92.365089,39.483215
0.05,-98.055267,-106.518494,-98.490646,-73.947731,-106.340836,-43.442345,-99.260971,-20.90188,-96.529671,10.360712,-92.355278,39.478348
0.052778,,,,,,,,,,,,
0.055556,-98.06662,-106.523445,-98.501907,-73.945145,-106.531334,-43.711166,-99.265427,-20.906055,-96.534554,10.358852,-92.343468,39.474678
0.058333,-98.071823,-106.523933,-98.508034,-73.947449,-106.35775,-43.443455,-99.270241,-20.908947,-96.531189,10.356358,-92.340591,39.472176
0.061111,,,,,,,,,,,,
0.063889,-98.082695,-106.528404,-98.33242,-74.314034,-106.369591,-43.446922,-99.283249,-20.927252,-96.528915,10.35476,-92.321991,39.462749
0.066667,-98.087921,-106.531189,-98.524734,-73.939133,-106.375328,-43.446087,-99.284973,-20.928961,-96.527222,10.352993,-92.314041,39.45591
0.069444,,,,,,,,,,,,
0.072222,-98.10228,-106.534805,-98.537689,-73.936165,-106.386269,-43.448616,-99.292679,-20.932636,-96.493156,10.300573,-92.294609,39.448792
0.075,-98.107819,-106.536064,-98.347809,-74.320251,-106.568703,-43.716885,-99.296646,-20.935152,-96.489761,10.299423,-92.284286,39.440865
0.077778,,,,,,,,,,,,
