Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-107.998535,-53.201771,,,-122.057747,9.865248,-118.969902,33.684635,-116.881859,71.552101,-105.981277,96.295059
0.002778,,,,,,,,,,,,
0.005556,-108.002899,-53.196098,-115.354202,-25.50593,-122.059967,9.865111,-118.97477,33.687748,-116.879272,71.552254,-105.981636,96.296478
0.008333,-108.004784,-53.194523,-115.353416,-25.505686,-122.063782,9.866076,-118.975555,33.68475,-116.876984,71.552261,-105.983032,96.295677
0.011111,,,,,,,,,,,,
0.013889,-108.010628,-53.183937,-115.351746,-25.506586,-122.067238,9.866274,-118.979225,33.688427,-116.875031,71.554176,-105.980835,96.295593
0.016667,-108.014824,-53.176262,-115.354362,-25.507563,-121.746758,9.854291,-118.978165,33.687984,-116.873215,71.551819,-105.980835,96.294876
0.019444,-108.018257,-53.171158,-115.353416,-25.506592,-122.071907,9.866542,-118.978119,33.686913,-116.873383,71.552536,-105.978943,96.294571
0.022222,,,,,,,,,,,,
0.025,,,,,,,,,,,,
0.027778,-108.01799,-53.174782,-115.352608,-25.506861,-122.077774,9.870052,-118.981621,33.688702,-116.871025,71.550369,-105.975616,96.292137
0.030556,-108.017349,-53.173256,-115.3563,-25.50683,-122.121834,9.875512,-118.979874,33.685989,-116.872429,71.550667,-105.97348,96.291527
0.033333,,,,,,,,,,,,
0.036111,-108.017059,-53.180408,-115.35643,-25.505167,-122.117821,9.87094,-118.983925,33.688347,-116.874733,71.551254,-105.971024,96.289803
0.038889,-108.013535,-53.185844,-115.357399,-25.505394,-122.122574,9.876365,-118.985245,33.688427,-116.874207,71.552101,-105.968307,96.290527
0.041667,,,,,,,,,,,,
0.044444,-108.009048,-53.199532,-115.362503,-25.50382,-122.121559,9.87553,-118.98568,33.687584,-116.875526,71.553291,-105.965302,96.28968
0.047222,-108.008957,-53.200912,-115.364906,-25.504177,-122.121536,9.878182,-118.98819,33.689419,-116.875526,71.550804,-105.962944,96.290718
0.05,,,,,,,,,,,,
0.052778,-108.009026,-53.202965,-115.374329,-25.503517,-122.12397,9.877289,-118.988892,33.691216,-116.879181,71.554253,-105.962494,96.290718
0.055556,-108.008507,-53.207062,-115.376854,-25.503218,-122.124207,9.879994,-118.989517,33.692818,-116.878784,71.552917,-105.962219,96.291054
0.058333,,,,,,,,,,,,
0.061111,-108.00576,-53.214264,-115.382973,-25.503719,-122.122696,9.875244,-118.991638,33.693142,-116.880501,71.554977,-105.963722,96.291031
0.063889,,,,,,,,,,,,
0.066667,,,,,,,,,,,,
0.069444,-108.011696,-53.206871,-115.386757,-25.50407,-122.125938,9.878331,-118.994537,33.692497,-116.88356,71.55513,-105.967239,96.292091
0.072222,,,,,,,,,,,,
0.075,,,,,,,,,,,,
0.077778,-108.026382,-53.186844,-115.38694,-25.503994,-122.129166,9.875769,-118.996986,33.696178,-116.886688,71.556183,-105.969833,96.290779
0.080556,-108.027481,-53.184509,-115.390839,-25.502789,-122.131058,9.877831,-118.996979,33.693069,-116.888451,71.557961,-105.969536,96.2911
0.083333,,,,,,,,,,,,
0.086111,-108.034225,-53.175449,-115.389191,-25.503672,-122.134521,9.876519,-118.998528,33.693188,-116.88974,71.557831,-105.97081,96.288528
0.088889,,,,,,,,,,,,
0.091667,,,,,,,,,,,,
0.094444,-108.040451,-53.171921,-115.390633,-25.504976,-122.135117,9.872902,-119.00116,33.692116,-116.893753,71.558853,-105.974937,96.286629
0.097222,-108.041214,-53.171253,-115.389549,-25.504255,-122.138191,9.874153,-119.002686,33.692654,-116.893234,71.556541,-105.97261,96.288383
0.1,,,,,,,,,,,,
0.102778,-108.040474,-53.176544,-115.392639,-25.505184,-122.138084,9.876097,-119.004204,33.690792,-116.893753,71.559685,-105.975487,96.287796
0.105556,,,,,,,,,,,,
0.108333,,,,,,,,,,,,
0.111111,-108.038834,-53.190231,-115.393951,-25.505913,-122.144577,9.876198,-119.007965,33.692726,-116.895615,71.558372,-105.974304,96.289551
0.113889,,,,,,,,,,,,
0.116667,,,,,,,,,,,,
0.119444,-108.038803,-53.198097,-115.3983,-25.507307,-122.143936,9.87423,-119.011009,33.693291,-116.895973,71.553963,-106.194092,96.135979
0.122222,,,,,,,,,,,,
0.125,,,,,,,,,,,,
0.127778,-108.039429,-53.20153,-115.400002,-25.507277,-122.150299,9.878004,-119.016182,33.696575,-116.900185,71.552162,-106.194328,96.13427
0.130556,-108.043884,-53.196621,-115.400902,-25.507181,-122.15152,9.879613,-119.015739,33.694798,-116.901001,71.553345,-106.194664,96.133392
0.133333,,,,,,,,,,,,
0.136111,-108.049034,-53.193138,-115.399841,-25.508427,-122.156105,9.880102,-119.019569,33.69622,-116.90303,71.552193,-106.194862,96.132408
0.138889,,,,,,,,,,,,
0.141667,,,,,,,,,,,,
0.144444,-108.059669,-53.177834,-115.40464,-25.508183,-122.159805,9.876508,-119.023811,33.696777,-116.908028,71.552994,-106.195953,96.131844
0.147222,,,,,,,,,,,,
0.15,,,,,,,,,,,,
0.152778,-108.062241,-53.176403,-115.405678,-25.508667,-122.167778,9.877241,-119.028137,33.694984,-116.913208,71.552467,-105.984787,96.275414
0.155556,-108.067062,-53.169777,-115.407654,-25.509525,-122.164856,9.872455,-119.03112,33.694187,-116.914658,71.551659,-106.195625,96.129089
0.158333,,,,,,,,,,,,
0.161111,-108.086731,-53.183556,-115.408775,-25.509357,-122.168114,9.871542,-119.034042,33.693523,-116.916039,71.550957,-105.987511,96.272743
0.163889,,,,,,,,,,,,
0.166667,,,,,,,,,,,,
0.169444,-108.085396,-53.192184,-115.408585,-25.508738,-122.171089,9.86917,-119.038322,33.691868,-116.918182,71.549744,-105.996231,96.272568
0.172222,,,,,,,,,,,,
0.175,,,,,,,,,,,,
0.177778,-108.079315,-53.205013,-115.412796,-25.50913,-122.172905,9.869135,-119.045639,33.69413,-116.92392,71.548424,-106.001389,96.272575
0.180556,-108.08165,-53.205727,-115.412888,-25.509172,-122.17363,9.868979,-119.04528,33.69175,-116.925453,71.549622,-105.999962,96.274223
0.183333,-108.081795,-53.20649,-115.413872,-25.509417,-122.176529,9.868389,-119.048546,33.694878,-116.927383,71.55172,-106.00016,96.273849
0.186111,-108.080078,-53.210163,-115.414932,-25.508976,-122.174454,9.865779,-119.046127,33.691383,-116.928825,71.550407,-106.003281,96.272102
0.188889,,,,,,,,,,,,
0.191667,-108.084106,-53.205826,-115.416573,-25.509554,-122.179985,9.867639,-119.049469,33.695751,-116.929451,71.550354,-106.015106,96.266083
0.194444,-108.08091,-53.210068,-115.418175,-25.509405,-122.182755,9.868664,-119.052719,33.696381,-116.930962,71.552124,-106.003929,96.273247
0.197222,,,,,,,,,,,,
0.2,-108.084274,-53.206635,-115.419876,-25.509918,-122.186348,9.87252,-119.056747,33.700089,-116.930458,71.549965,-106.007385,96.271935
0.202778,,,,,,,,,,,,
0.205556,,,,,,,,,,,,
0.208333,-108.089783,-53.196526,-115.42289,-25.509239,-122.192871,9.873671,-119.05912,33.702957,-116.93486,71.548904,-106.024681,96.263977
0.211111,,,,,,,,,,,,
0.213889,,,,,,,,,,,,
0.216667,-108.091354,-53.190758,-115.426636,-25.508678,-122.199989,9.876269,-119.065536,33.703865,-116.940117,71.547951,-106.032005,96.262993
0.219444,-108.095024,-53.186844,-115.428307,-25.508053,-122.206184,9.880942,-119.065437,33.701645,-116.942528,71.546448,-106.033447,96.263123
0.222222,,,,,,,,,,,,
0.225,-108.09066,-53.192474,-115.429733,-25.507473,-122.208427,9.877997,-119.085564,33.717041,-116.948067,71.547356,-106.04113,96.261803
0.227778,,,,,,,,,,,,
0.230556,,,,,,,,,,,,
0.233333,-108.091904,-53.192329,,,-122.218239,9.878469,-119.092628,33.71624,-116.955887,71.546982,-106.050728,96.2621
0.236111,-108.092545,-53.191994,,,-122.21701,9.875793,-119.076988,33.700325,-116.958908,71.546005,-106.056892,96.261475
0.238889,,,,,,,,,,,,
0.241667,-108.090042,-53.195858,,,-122.218384,9.87553,-119.099548,33.71777,-116.960403,71.546295,-106.060745,96.263741
0.244444,-108.088234,-53.199722,,,-122.220146,9.874737,-119.13279,33.837139,-116.963181,71.547318,-106.063126,96.26532
0.247222,,,,,,,,,,,,
0.25,-108.085724,-53.206158,-115.443672,-25.50736,-122.220901,9.87109,-119.137939,33.835991,-116.967178,71.54483,-106.066322,96.268066
0.252778,-108.084892,-53.208687,-115.447113,-25.507433,-122.221817,9.871763,-119.141426,33.835899,-116.968903,71.547821,-106.070618,96.26738
0.255556,,,,,,,,,,,,
0.258333,-108.084488,-53.210831,-115.448204,-25.509274,-122.235634,9.866935,-119.098434,33.703007,-116.970825,71.547005,-106.075836,96.268394
0.261111,-108.083748,-53.21188,-115.448868,-25.509197,-122.233093,9.866274,-119.148132,33.838062,-116.972443,71.547646,-106.078636,96.26696
0.263889,,,,,,,,,,,,
0.266667,-108.088371,-53.206444,-115.454506,-25.511444,-122.235832,9.868884,-119.154617,33.839138,-116.974808,71.549721,-106.079254,96.269356
0.269444,-108.091827,-53.205013,-115.45446,-25.511515,-122.235168,9.865767,-119.162277,33.818859,-116.976456,71.548256,-106.080757,96.267906
0.272222,,,,,,,,,,,,
0.275,-108.094284,-53.20158,-115.457031,-25.512737,-122.235893,9.866709,-119.166412,33.817482,-116.979454,71.550644,-106.080498,96.266029
0.277778,-108.096985,-53.195618,-115.45694,-25.513077,-122.237305,9.866131,-119.164566,33.839615,-116.981003,71.548828,-106.079575,96.265068
0.280556,,,,,,,,,,,,
0.283333,-108.101036,-53.191422,-115.461624,-25.512976,-122.24015,9.866678,-119.169174,33.839737,-116.984299,71.549713,-106.076225,96.260872
0.286111,,,,,,,,,,,,
0.288889,,,,,,,,,,,,
