Format Version,1.23,Take Name,Gloria_016,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-16 03.56.43.877 PM,Capture Start Frame,2370590,Total Frames in Take,8643,Total Exported Frames,8643,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Arcere:BackLeft,Arcere:BackLeft,Arcere:BackLeft,Arcere:BackRight,Arcere:BackRight,Arcere:BackRight,Arcere:BackTop,Arcere:BackTop,Arcere:BackTop,Arcere:Chest,Arcere:Chest,Arcere:Chest,Arcere:HeadFront,Arcere:HeadFront,Arcere:HeadFront,Arcere:HeadSide,Arcere:HeadSide,Arcere:HeadSide,Arcere:HeadTop,Arcere:HeadTop,Arcere:HeadTop,Arcere:LElbowOut,Arcere:LElbowOut,Arcere:LElbowOut,Arcere:LHandOut,Arcere:LHandOut,Arcere:LHandOut,Arcere:LShoulderBack,Arcere:LShoulderBack,Arcere:LShoulderBack,Arcere:LShoulderTop,Arcere:LShoulderTop,Arcere:LShoulderTop,Arcere:LUArmHigh,Arcere:LUArmHigh,Arcere:LUArmHigh,Arcere:LWristIn,Arcere:LWristIn,Arcere:LWristIn,Arcere:LWristOut,Arcere:LWristOut,Arcere:LWristOut,Arcere:RElbowOut,Arcere:RElbowOut,Arcere:RElbowOut,Arcere:RHandOut,Arcere:RHandOut,Arcere:RHandOut,Arcere:RShoulderBack,Arcere:RShoulderBack,Arcere:RShoulderBack,Arcere:RShoulderTop,Arcere:RShoulderTop,Arcere:RShoulderTop,Arcere:RUArmHigh,Arcere:RUArmHigh,Arcere:RUArmHigh,Arcere:RWristIn,Arcere:RWristIn,Arcere:RWristIn,Arcere:RWristOut,Arcere:RWristOut,Arcere:RWristOut,Arcere:WaistLBack,Arcere:WaistLBack,Arcere:WaistLBack,Arcere:WaistLFront,Arcere:WaistLFront,Arcere:WaistLFront,Arcere:WaistRBack,Arcere:WaistRBack,Arcere:WaistRBack,Arcere:WaistRFront,Arcere:WaistRFront,Arcere:WaistRFront
,ID,"224C80","224C80","224C80","224C50","224C50","224C50","226030","226030","226030","224B50","224B50","224B50","224B90","224B90","224B90","2267F0","2267F0","2267F0","224BE0","224BE0","224BE0","225980","225980","225980","224BF0","224BF0","224BF0","224C90","224C90","224C90","224C20","224C20","224C20","224AD0","224AD0","224AD0","224BB0","224BB0","224BB0","224C10","224C10","224C10","225370","225370","225370","226750","226750","226750","224C00","224C00","224C00","224BA0","224BA0","224BA0","224BD0","224BD0","224BD0","224B30","224B30","224B30","225F70","225F70","225F70","2256D0","2256D0","2256D0","225F40","225F40","225F40","224B70","224B70","224B70","224BC0","224BC0","224BC0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-123.242332,155.686432,-16.292849,-122.226906,155.878113,0.557041,-123.957611,170.664108,-4.585119,-98.688591,162.996368,-8.106424,-97.957054,192.751007,-16.127424,-99.025780,189.328583,-1.466209,-103.779495,199.695587,-7.248411,-113.710045,162.606354,-48.722141,-110.933563,164.094589,-79.808281,-124.939690,167.508789,-19.446003,-116.761673,175.442657,-17.311859,-117.198349,162.988419,-38.475616,-108.447311,170.781784,-71.625763,-112.027451,161.923355,-71.385483,-116.050461,154.913818,34.605080,-115.497223,149.507217,63.484882,-121.693192,166.699402,6.554559,-113.564445,173.583725,4.523518,-117.684761,160.070892,22.382109,-112.055954,159.636780,58.989479,-115.802155,151.507477,55.362480,-117.549324,136.949951,-1.131818,-118.299698,137.884308,-19.309826,-99.792603,133.598846,0.728986,-103.207542,133.934372,-24.317488
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-123.243294,155.682587,-16.294035,-122.229210,155.877548,0.560986,-123.959946,170.663086,-4.586372,-98.692001,162.997192,-8.109893,-97.935211,192.750122,-16.115265,-99.024353,189.322678,-1.456729,-103.762749,199.691803,-7.236558,-113.704391,162.590393,-48.704212,-110.938835,164.091904,-79.812386,-124.946526,167.504288,-19.443989,-116.770447,175.415192,-17.303497,-117.204605,162.984314,-38.475758,-108.453239,170.777390,-71.622734,-112.037277,161.924927,-71.387436,-116.051079,154.909119,34.597004,-115.466644,149.519592,63.396381,-121.696053,166.702347,6.552079,-113.564384,173.586548,4.521678,-117.684219,160.069000,22.378143,-112.069405,159.626068,58.984192,-115.808960,151.499802,55.356155,-117.548882,136.948425,-1.129528,-118.304649,137.885056,-19.311029,-99.795883,133.598679,0.728005,-103.215538,133.935013,-24.319229
3,0.008333,-123.243355,155.678635,-16.291138,-122.226906,155.875671,0.561940,-123.959824,170.663498,-4.586329,-98.692436,162.999939,-8.112966,-97.926758,192.750549,-16.108496,-99.021851,189.320297,-1.449656,-103.756561,199.690796,-7.233709,-113.705948,162.586243,-48.703632,-110.939812,164.091278,-79.816414,-124.946548,167.503525,-19.447826,-116.769424,175.438614,-17.313389,-117.209946,162.983322,-38.476303,-108.455063,170.774536,-71.622795,-112.038635,161.923035,-71.389778,-116.051483,154.907776,34.594799,-115.470741,149.514008,63.394630,-121.697212,166.703217,6.548819,-113.562927,173.588364,4.519446,-117.684296,160.070190,22.376402,-112.075790,159.620148,58.981468,-115.812973,151.493622,55.352211,-117.548058,136.951157,-1.129591,-118.305954,137.884750,-19.310436,-99.795609,133.597580,0.729007,-103.217300,133.935822,-24.317947
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-123.242554,155.675186,-16.290178,-122.227097,155.874100,0.563571,-123.962212,170.662552,-4.587692,-98.692902,162.999527,-8.117099,-97.908791,192.747635,-16.096510,,,,-103.744911,199.687103,-7.222852,-113.714157,162.582413,-48.699726,-110.944656,164.091141,-79.813072,-124.950539,167.498108,-19.443321,-116.772476,175.436752,-17.316502,-117.214775,162.976807,-38.475719,-108.462273,170.752243,-71.617020,-112.041542,161.917648,-71.390221,-116.050377,154.902298,34.588318,-115.508545,149.515091,63.330555,-122.042381,166.875015,7.274508,-113.564476,173.589569,4.515081,-117.685570,160.069901,22.370144,-112.084923,159.605881,58.978970,-115.904236,151.484909,55.375648,-117.545685,136.952621,-1.128023,-118.308655,137.885132,-19.310001,-99.797195,133.597321,0.723296,-103.225502,133.934280,-24.321852
