Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-110.933563,-79.808281,-113.710045,-48.722141,-116.761673,-17.311859,-113.564445,4.523518,-116.050461,34.60508,-115.497223,63.484882
0.002778,,,,,,,,,,,,
0.005556,-110.938835,-79.812386,-113.704391,-48.704212,-116.770447,-17.303497,-113.564384,4.521678,-116.051079,34.597004,-115.466644,63.396381
0.008333,-110.939812,-79.816414,-113.705948,-48.703632,-116.769424,-17.313389,-113.562927,4.519446,-116.051483,34.594799,-115.470741,63.39463
0.011111,,,,,,,,,,,,
0.013889,-110.944656,-79.813072,-113.714157,-48.699726,-116.772476,-17.316502,-113.564476,4.515081,-116.050377,34.588318,-115.508545,63.330555
0.016667,-110.947754,-79.817749,-113.717316,-48.701191,-116.775635,-17.318001,-113.565979,4.512348,-116.051086,34.581051,-115.513107,63.325977
0.019444,,,,,,,,,,,,
0.022222,-110.949417,-79.82547,-113.725456,-48.703098,-116.779305,-17.311874,-113.563553,4.51061,-116.049179,34.575073,-115.52224,63.357361
0.025,,,,,,,,,,,,
0.027778,,,,,,,,,,,,
0.030556,-110.948372,-79.845688,-113.735596,-48.709648,-116.651169,-17.07996,-113.561905,4.505608,-116.049026,34.570522,-115.536842,63.345943
0.033333,,,,,,,,,,,,
0.036111,,,,,,,,,,,,
0.038889,-110.599411,-79.800888,-113.742088,-48.718693,-116.66143,-17.081465,-113.563583,4.503549,-116.047287,34.574398,-115.098213,62.880253
0.041667,,,,,,,,,,,,
0.044444,,,,,,,,,,,,
0.047222,-110.608223,-79.812607,-113.745972,-48.728741,-116.648468,-17.095711,-113.566658,4.504165,-116.050316,34.58073,,
0.05,,,,,,,,,,,,
0.052778,,,,,,,,,,,,
0.055556,-110.618683,-79.826225,-113.74675,-48.742279,-116.639694,-17.105276,-113.570335,4.504941,-116.048882,34.580601,,
0.058333,,,,,,,,,,,,
