Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-96.60833,-106.461319,-95.36351,-75.927399,-97.859833,-41.045765,-94.659943,-18.650162,-97.005844,16.349705,-94.907806,45.910854
0.002778,,,,,,,,,,,,
0.005556,-96.606216,-106.465546,-95.366165,-75.935364,-97.862755,-41.05315,-94.661613,-18.652231,-97.00663,16.349703,-94.912453,45.911602
0.008333,,,,,,,,,,,,
0.011111,,,,,,,,,,,,
0.013889,-96.604332,-106.470703,-95.373108,-75.941742,-97.868523,-41.050999,-94.661827,-18.654911,-97.014008,16.350941,-94.922623,45.912006
0.016667,-96.603302,-106.473434,-95.372955,-75.941635,-97.866592,-41.057041,-94.663048,-18.654816,-97.016502,16.348297,-94.924095,45.911781
0.019444,,,,,,,,,,,,
0.022222,-96.592834,-106.487679,-95.378563,-75.947548,-97.872009,-41.055855,-94.668808,-18.654469,-97.027924,16.363516,-94.930382,45.910988
0.025,-96.602791,-106.482719,-95.380203,-75.948929,-97.870804,-41.061005,-94.668129,-18.656141,-97.022469,16.349102,-94.934639,45.911694
0.027778,,,,,,,,,,,,
0.030556,-96.600189,-106.483612,-95.386497,-75.951424,-97.878632,-41.061146,-94.671204,-18.655424,-97.036171,16.360832,-94.938751,45.911991
0.033333,-96.600029,-106.487442,-95.389359,-75.953201,-97.880165,-41.061966,-94.671371,-18.658667,-97.038177,16.360109,-94.940865,45.912075
0.036111,,,,,,,,,,,,
0.038889,-96.598755,-106.491974,-95.394203,-75.958321,-97.883781,-41.064678,-94.676781,-18.659342,-97.044868,16.361771,-94.947632,45.91238
0.041667,-96.599449,-106.491898,-95.396561,-75.961884,-97.885986,-41.066967,-94.677475,-18.663546,-97.045937,16.359341,-94.949272,45.911945
0.044444,,,,,,,,,,,,
0.047222,-96.598557,-106.494347,-95.403221,-75.964523,-97.887367,-41.070183,-94.681427,-18.662535,-97.051498,16.361097,-94.955353,45.911617
0.05,-96.599724,-106.496368,-95.406357,-75.96859,-97.88929,-41.070705,-94.682922,-18.664986,-97.055397,16.360512,-94.958397,45.911469
0.052778,,,,,,,,,,,,
0.055556,-96.600746,-106.496513,-95.411011,-75.972214,-97.892365,-41.07489,-94.686302,-18.66835,-97.058884,16.359663,-94.966675,45.909241
0.058333,-96.601318,-106.501686,-95.411842,-75.970459,-97.892921,-41.078316,-94.685165,-18.672348,-97.062996,16.355679,-94.967712,45.909279
0.061111,,,,,,,,,,,,
0.063889,-96.604324,-106.50412,-95.417732,-75.973442,-97.92141,-41.11594,-94.692352,-18.674637,-97.066864,16.355732,-94.976807,45.907272
0.066667,-96.605141,-106.50399,-95.418808,-75.974403,-97.921066,-41.115673,-94.692734,-18.678099,-97.06987,16.355192,-94.981728,45.905827
0.069444,-96.604561,-106.503929,-95.423569,-75.97467,-97.922775,-41.117443,-94.693199,-18.679234,-97.072861,16.353731,-94.992226,45.896072
0.072222,-96.606712,-106.505859,-95.424881,-75.977882,-97.923332,-41.118713,-94.696724,-18.682047,-97.07563,16.34992,-94.995285,45.894337
0.075,,,,,,,,,,,,
0.077778,-96.610359,-106.509872,-95.42984,-75.978569,-97.922539,-41.121315,-94.699631,-18.686497,-97.081978,16.351295,-95.005363,45.888714
0.080556,-96.613281,-106.510307,-95.431961,-75.977776,-97.927071,-41.123749,-94.718323,-18.68997,-97.083298,16.346634,-95.008698,45.887135
0.083333,,,,,,,,,,,,
0.086111,-96.615456,-106.509354,-95.436264,-75.979553,-97.928825,-41.128265,-94.707458,-18.691288,-97.085968,16.342405,-95.017036,45.884109
0.088889,-96.618088,-106.51355,-95.438423,-75.979195,-97.928574,-41.128765,-94.712791,-18.695091,-97.089958,16.341526,-95.020203,45.879192
0.091667,,,,,,,,,,,,
0.094444,-96.622345,-106.515182,-95.440796,-75.980652,-97.930443,-41.133327,-94.716957,-18.699627,-97.092026,16.338856,-95.029243,45.875519
0.097222,-96.62365,-106.517097,-95.44165,-75.979301,-97.932365,-41.132896,-94.733078,-18.704182,-97.094307,16.336098,-95.033272,45.873463
0.1,,,,,,,,,,,,
0.102778,-96.630974,-106.520256,-95.445671,-75.98201,-97.936417,-41.137772,-94.738373,-18.706482,-97.098587,16.333252,-95.037659,45.870926
0.105556,-96.631851,-106.518723,-95.446388,-75.983154,-97.938766,-41.138573,-94.739418,-18.708647,-97.102562,16.334557,-95.041817,45.86903
0.108333,,,,,,,,,,,,
0.111111,-96.636322,-106.524567,-95.44989,-75.985245,-97.945068,-41.143288,-94.741875,-18.712463,-97.105797,16.333303,-95.049255,45.867352
0.113889,-96.638908,-106.525612,-95.451347,-75.987747,-97.946198,-41.141422,-94.743881,-18.714125,-97.109833,16.331203,-95.053772,45.863899
0.116667,,,,,,,,,,,,
0.119444,-96.648911,-106.528831,-95.456024,-75.989426,-97.952911,-41.147255,-94.74617,-18.720623,-97.113289,16.328176,-95.063187,45.861088
0.122222,,,,,,,,,,,,
0.125,,,,,,,,,,,,
0.127778,-96.659431,-106.533409,-95.460472,-75.992928,-97.966583,-41.154133,-94.751251,-18.730719,-97.121964,16.324652,-95.075966,45.856819
0.130556,-96.661476,-106.536629,-95.461365,-75.993874,-97.970619,-41.153812,-94.750198,-18.733238,-97.12661,16.32234,-95.079773,45.85508
0.133333,,,,,,,,,,,,
0.136111,-96.668564,-106.537262,-95.464668,-75.996109,-97.975708,-41.154114,-94.758888,-18.732786,-97.130997,16.313225,-95.090523,45.852211
0.138889,,,,,,,,,,,,
0.141667,,,,,,,,,,,,
0.144444,-96.674225,-106.55854,-95.467293,-75.987206,-97.98378,-41.158913,-94.763191,-18.738852,-97.14238,16.308619,-95.105553,45.84716
0.147222,-96.67627,-106.558731,-95.466492,-75.985672,-98.127716,-40.971828,-94.782326,-18.739977,-97.146248,16.301609,-95.115952,45.835659
0.15,,,,,,,,,,,,
0.152778,-96.684151,-106.560898,-95.469856,-75.990005,-98.131805,-40.974426,-94.788666,-18.738398,-97.153152,16.29678,-95.119774,45.841389
0.155556,-96.688858,-106.562195,-95.470955,-75.988327,-98.135124,-40.975975,-94.789444,-18.742796,-97.153839,16.29105,-95.125,45.840534
0.158333,,,,,,,,,,,,
0.161111,-96.696045,-106.55899,-95.473801,-75.992233,-98.138039,-40.978718,-94.793167,-18.744698,-97.161499,16.285301,-95.132507,45.837547
0.163889,-96.699364,-106.559631,-95.475662,-75.992599,-98.140785,-40.979565,-94.795273,-18.746641,-97.165573,16.286295,-95.136772,45.836742
0.166667,,,,,,,,,,,,
