Format Version,1.23,Take Name,Letizia_009,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-14 05.11.38.802 PM,Capture Start Frame,4647585,Total Frames in Take,8581,Total Exported Frames,8581,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Arcere:BackLeft,Arcere:BackLeft,Arcere:BackLeft,Arcere:BackRight,Arcere:BackRight,Arcere:BackRight,Arcere:BackTop,Arcere:BackTop,Arcere:BackTop,Arcere:Chest,Arcere:Chest,Arcere:Chest,Arcere:HeadFront,Arcere:HeadFront,Arcere:HeadFront,Arcere:HeadSide,Arcere:HeadSide,Arcere:HeadSide,Arcere:HeadTop,Arcere:HeadTop,Arcere:HeadTop,Arcere:LElbowOut,Arcere:LElbowOut,Arcere:LElbowOut,Arcere:LHandOut,Arcere:LHandOut,Arcere:LHandOut,Arcere:LShoulderBack,Arcere:LShoulderBack,Arcere:LShoulderBack,Arcere:LShoulderTop,Arcere:LShoulderTop,Arcere:LShoulderTop,Arcere:LUArmHigh,Arcere:LUArmHigh,Arcere:LUArmHigh,Arcere:LWristIn,Arcere:LWristIn,Arcere:LWristIn,Arcere:LWristOut,Arcere:LWristOut,Arcere:LWristOut,Arcere:RElbowOut,Arcere:RElbowOut,Arcere:RElbowOut,Arcere:RHandOut,Arcere:RHandOut,Arcere:RHandOut,Arcere:RShoulderBack,Arcere:RShoulderBack,Arcere:RShoulderBack,Arcere:RShoulderTop,Arcere:RShoulderTop,Arcere:RShoulderTop,Arcere:RUArmHigh,Arcere:RUArmHigh,Arcere:RUArmHigh,Arcere:RWristIn,Arcere:RWristIn,Arcere:RWristIn,Arcere:RWristOut,Arcere:RWristOut,Arcere:RWristOut,Arcere:WaistLBack,Arcere:WaistLBack,Arcere:WaistLBack,Arcere:WaistLFront,Arcere:WaistLFront,Arcere:WaistLFront,Arcere:WaistRBack,Arcere:WaistRBack,Arcere:WaistRBack,Arcere:WaistRFront,Arcere:WaistRFront,Arcere:WaistRFront
,ID,"406D70","406D70","406D70","407070","407070","407070","406D50","406D50","406D50","407280","407280","407280","406E00","406E00","406E00","407F80","407F80","407F80","406CD0","406CD0","406CD0","407520","407520","407520","406D00","406D00","406D00","406D80","406D80","406D80","406D30","406D30","406D30","407410","407410","407410","406CC0","406CC0","406CC0","406CF0","406CF0","406CF0","407690","407690","407690","4073E0","4073E0","4073E0","407D20","407D20","407D20","406CB0","406CB0","406CB0","407D10","407D10","407D10","406DA0","406DA0","406DA0","406DE0","406DE0","406DE0","4079A0","4079A0","4079A0","406DF0","406DF0","406DF0","407960","407960","407960","4081B0","4081B0","4081B0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-115.550140,147.194641,-9.268953,-113.384453,147.447815,8.186399,-115.579315,161.507584,2.230744,-91.811661,151.288498,-2.036371,-98.641342,189.537109,-7.985909,-95.696777,180.882874,4.112052,-106.240715,188.859009,2.516640,-107.625374,158.061905,-42.208641,-106.731438,161.922318,-71.068810,-117.117584,159.236542,-13.091379,-108.259010,166.504852,-10.626081,-110.987770,157.816818,-32.205345,-100.812721,167.826965,-64.288483,-106.727264,160.893936,-63.327431,-101.776421,153.806641,41.597191,-102.397156,157.231766,70.565819,-113.241577,159.014847,14.390598,-106.151245,166.046234,10.476035,-107.704269,156.754684,30.557590,-96.405540,164.824860,64.661446,-102.972427,157.441162,62.907867,-112.784264,134.170471,-9.735991,-96.609520,122.046074,-16.572178,-110.761726,133.669037,6.559658,-94.692703,122.406860,7.959015
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-115.552795,147.193176,-9.268783,-113.387154,147.443253,8.184030,-115.583435,161.503479,2.232379,-91.818268,151.290482,-2.039023,-98.648697,189.534622,-7.987512,-95.705292,180.883392,4.108214,-106.246651,188.859726,2.519431,-107.633209,158.063004,-42.208145,-106.758621,161.928329,-71.035477,-117.124222,159.235260,-13.089437,-108.267715,166.503830,-10.624191,-110.996078,157.815765,-32.206390,-100.820709,167.827316,-64.287071,-106.736603,160.894073,-63.328880,-101.781441,153.811676,41.596413,-102.439186,157.265991,70.545601,-113.244995,159.011047,14.392408,-106.136742,166.004562,10.504101,-107.704941,156.751938,30.553167,-96.400879,164.831970,64.658424,-102.972015,157.448181,62.908127,-112.785248,134.166611,-9.739973,-96.587326,122.039963,-16.576946,-110.763489,133.667587,6.554189,-94.693336,122.408798,7.952822
3,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-115.558746,147.188828,-9.272090,-113.393845,147.433929,8.185979,-115.593590,161.496704,2.232403,-91.822052,151.293549,-2.044856,-98.661461,189.534546,-7.985797,-95.713600,180.881683,4.108405,-106.254768,188.857407,2.521710,-107.644913,158.062347,-42.204891,-106.775192,161.931137,-71.035576,-117.134140,159.233612,-13.089031,-108.275795,166.502869,-10.625317,-111.069962,157.849686,-32.203114,-100.834320,167.823944,-64.288437,-106.750252,160.894562,-63.329170,-101.787994,153.815125,41.599033,-102.441612,157.282669,70.548180,-113.248230,159.004242,14.392354,-106.144203,166.000824,10.501216,-107.703903,156.742920,30.561796,-96.392174,164.834808,64.655846,-102.973724,157.462585,62.909306,-112.784508,134.166763,-9.755656,-96.588936,122.041153,-16.584324,-110.762909,133.666107,6.544188,-94.690773,122.406174,7.942246
6,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-115.564323,147.186386,-9.273520,-113.396263,147.427292,8.183062,-115.600990,161.490051,2.232582,-91.828278,151.289017,-2.050027,-98.672310,189.529785,-7.988442,-95.725662,180.878494,4.108550,-106.263901,188.856552,2.521478,-107.658730,158.059616,-42.209232,-106.786514,161.933060,-71.043968,-117.136696,159.222336,-13.068808,-108.288315,166.500015,-10.623201,-111.081528,157.848358,-32.202805,-100.847183,167.821152,-64.287849,-106.761719,160.892075,-63.332558,-101.793602,153.815033,41.597794,-102.445328,157.301926,70.547882,-113.254211,158.995026,14.394132,-106.169853,166.035522,10.471744,-107.706429,156.739166,30.561197,-96.383781,164.837433,64.649895,-102.977692,157.479340,62.908531,-112.785637,134.161530,-9.761283,-96.592346,122.044098,-16.596867,-110.762337,133.664978,6.536645,-94.687447,122.402229,7.929813
9,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-115.570953,147.182541,-9.279010,-113.400993,147.420944,8.181439,-115.608704,161.484467,2.232757,-91.832909,151.284973,-2.054628,-98.682983,189.527924,-7.985884,-95.734230,180.871445,4.107643,-106.287979,188.887390,2.507739,-107.722130,158.019226,-42.152752,-106.801819,161.934586,-71.043106,-117.146179,159.218658,-13.065839,-108.297325,166.494888,-10.624655,-111.094574,157.824829,-32.205845,-100.868774,167.818893,-64.281372,-106.773010,160.892593,-63.339077,-101.796211,153.815689,41.598579,-102.423241,157.337555,70.553413,-113.258614,158.988052,14.393791,-106.164635,166.024704,10.479959,-107.708778,156.738358,30.557083,-96.376778,164.842514,64.644745,-102.978065,157.492065,62.908142,-112.799118,134.148697,-9.761016,-96.596619,122.043839,-16.606213,-110.765015,133.666336,6.529987,-94.685867,122.399651,7.919215
