Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-102.388168,-65.944481,-104.225204,-37.453213,-106.842247,-5.805764,-103.414642,15.308598,-94.379166,45.326553,-93.410286,74.020447
0.002778,,,,,,,,,,,,
0.005556,-102.396439,-65.946342,-104.234398,-37.467255,-106.845093,-5.806952,-103.418938,15.307847,-94.373772,45.323299,-93.393776,74.014648
0.008333,-102.402618,-65.943382,-104.233147,-37.454475,-106.846298,-5.807866,-103.418076,15.303668,-94.370598,45.320679,-93.384621,74.012146
0.011111,,,,,,,,,,,,
0.013889,-102.407745,-65.950485,-104.219864,-37.558876,-106.849686,-5.809052,-103.417015,15.300545,-94.365814,45.318283,-93.365631,74.007439
0.016667,,,,,,,,,,,,
0.019444,,,,,,,,,,,,
0.022222,-102.43354,-65.954926,-104.245949,-37.454575,-106.866837,-5.805391,-103.395859,15.306541,-94.334808,45.314999,-93.978104,74.585808
0.025,-102.438065,-65.957687,-104.23008,-37.56287,-106.868195,-5.804795,-103.394875,15.304989,-94.333107,45.312504,-93.975685,74.583389
0.027778,,,,,,,,,,,,
0.030556,-102.446938,-65.95459,-104.25824,-37.471531,-106.87207,-5.805708,-103.395668,15.305331,-94.331055,45.30946,-93.3433,73.994675
0.033333,-102.473282,-65.948395,-104.261528,-37.473343,-106.875023,-5.806168,-103.393921,15.301119,-94.330795,45.309055,-93.965996,74.575851
0.036111,,,,,,,,,,,,
0.038889,-102.485367,-65.946198,-104.245605,-37.569885,-107.251564,-5.864418,-103.392685,15.299511,-94.329163,45.306408,-93.975464,74.586655
0.041667,-102.490448,-65.945198,-104.376625,-37.417007,-107.248894,-5.865532,-103.392097,15.298044,-94.328705,45.304943,-93.338745,73.989761
0.044444,,,,,,,,,,,,
0.047222,-102.500298,-65.947388,-104.257454,-37.57383,-107.097504,-6.089234,-103.391563,15.295572,-94.326088,45.30151,-93.96418,74.571465
0.05,,,,,,,,,,,,
0.052778,,,,,,,,,,,,
0.055556,-102.514435,-65.951447,-104.395912,-37.423611,-107.094696,-6.094611,-103.388214,15.291559,-94.320549,45.297642,-93.961609,74.571373
0.058333,-102.519516,-65.954681,-104.403923,-37.424778,-107.094109,-6.097799,-103.385864,15.288684,-94.31794,45.293873,-93.332596,73.986595
0.061111,,,,,,,,,,,,
0.063889,-102.530739,-65.953918,-104.410004,-37.425949,-107.254341,-5.871076,-103.383545,15.287374,-94.31543,45.299599,-93.325737,73.986397
0.066667,-102.534012,-65.95697,-104.411385,-37.427235,-106.884529,-5.816571,-103.381264,15.286899,-94.312088,45.296757,-93.321869,73.984344
0.069444,,,,,,,,,,,,
0.072222,-102.54393,-65.961792,-104.288734,-37.587261,-106.883934,-5.817285,-103.379402,15.285694,-94.300316,45.289909,-93.312912,73.981949
0.075,-102.548668,-65.961075,-104.422104,-37.429394,-106.884834,-5.818409,-103.398148,15.278414,-94.297638,45.294033,-93.307365,73.979393
0.077778,,,,,,,,,,,,
0.080556,-102.561043,-65.960022,-104.428551,-37.430634,-106.886307,-5.818429,-103.398346,15.277007,-94.290993,45.292603,-93.294838,73.975288
0.083333,-102.565956,-65.958214,-104.300949,-37.586166,-106.888351,-5.819042,-103.398621,15.275231,-94.284508,45.291668,-93.288948,73.973206
0.086111,,,,,,,,,,,,
0.088889,-102.579239,-65.957169,-104.43438,-37.431492,-106.88726,-5.819832,-103.396965,15.273955,-94.297928,45.290752,-93.26075,73.948509
0.091667,,,,,,,,,,,,
0.094444,,,,,,,,,,,,
0.097222,-102.590012,-65.962128,-104.43811,-37.430618,-106.892357,-5.820587,-103.376099,15.285336,-94.266464,45.287155,-93.240417,73.939812
0.1,-102.599312,-65.954636,-104.442307,-37.429966,-106.893631,-5.821122,-103.376686,15.28516,-94.265327,45.28651,-93.234375,73.935722
0.102778,,,,,,,,,,,,
0.105556,-102.608368,-65.954399,-104.444229,-37.430752,-106.896004,-5.821356,-103.376808,15.282485,-94.258751,45.281837,-93.219513,73.931091
0.108333,,,,,,,,,,,,
0.111111,,,,,,,,,,,,
0.113889,-102.624657,-65.945816,-104.45285,-37.430786,-107.264267,-5.877214,-103.379204,15.281686,-94.240646,45.287979,-93.204247,73.924828
0.116667,-102.629471,-65.950203,-104.453362,-37.432087,-107.267288,-5.877912,-103.379593,15.282555,-94.237846,45.287315,-93.202606,73.922882
0.119444,,,,,,,,,,,,
0.122222,-102.636215,-65.949585,-104.458664,-37.431896,-107.2696,-5.878925,-103.377403,15.279015,-94.235458,45.28228,-93.194054,73.921249
0.125,,,,,,,,,,,,
0.127778,-102.64325,-65.952682,-104.336761,-37.58675,-107.117462,-6.099921,-103.378693,15.278692,-94.228363,45.2784,-93.188034,73.917816
0.130556,-102.645111,-65.959595,-104.338539,-37.588955,-107.115807,-6.101465,-103.378853,15.276672,-94.227013,45.275982,-93.184113,73.916985
0.133333,,,,,,,,,,,,
0.136111,-102.651909,-65.960358,-104.475716,-37.435425,-107.11377,-6.104022,-103.375961,15.273939,-94.218102,45.272995,-93.17865,73.915604
0.138889,,,,,,,,,,,,
0.141667,,,,,,,,,,,,
0.144444,-102.664139,-65.967468,-104.355309,-37.59222,-107.110046,-6.109095,-103.374825,15.269692,-94.20401,45.265362,-93.167061,73.911896
0.147222,-102.93261,-65.469963,-104.357948,-37.592258,-106.913101,-5.827359,-103.373886,15.271315,-94.201248,45.264278,-93.160805,73.91053
0.15,,,,,,,,,,,,
0.152778,-102.943649,-65.470505,-104.363739,-37.589874,-106.913887,-5.827997,-103.393639,15.260419,-94.187111,45.257114,-93.147278,73.907387
0.155556,-102.949211,-65.469139,-104.366554,-37.59034,-106.915352,-5.828664,-103.395844,15.260893,-94.179161,45.253353,-93.139786,73.906067
0.158333,,,,,,,,,,,,
0.161111,-102.959229,-65.471397,-104.375099,-37.593693,-106.91787,-5.829945,-103.395477,15.259168,-94.168228,45.252125,-93.120979,73.901772
0.163889,-102.964935,-65.469528,-104.403221,-37.517487,-106.91893,-5.830215,-103.393784,15.255997,-94.164421,45.249168,-93.112144,73.900757
0.166667,,,,,,,,,,,,
0.169444,-102.97538,-65.476288,-104.40934,-37.515865,-106.924965,-5.831614,-103.394363,15.256927,-94.153198,45.24527,-93.07312,73.899475
