Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-106.944504,-55.083645,-110.015198,-26.344849,-115.480804,9.0005,-111.80233,32.98613,-112.105873,70.56768,-104.271057,98.577263
0.002778,,,,,,,,,,,,
0.005556,-106.770432,-55.327858,-110.01358,-26.346525,-115.477791,8.998191,-111.800613,32.986141,-112.103668,70.562973,-104.268074,98.573051
0.008333,-106.770363,-55.328613,-110.01371,-26.346556,-115.47818,8.996953,-111.800957,32.986912,-112.103889,70.563271,-104.267105,98.56955
0.011111,,,,,,,,,,,,
0.013889,-106.772507,-55.333996,-110.01432,-26.343966,-115.476631,8.993263,-111.798355,32.984932,-112.097755,70.557175,-104.263367,98.557457
0.016667,-106.77285,-55.332684,-110.014381,-26.347393,-115.475586,8.99389,-111.798607,32.984341,-112.097275,70.554535,-104.263519,98.553932
0.019444,,,,,,,,,,,,
0.022222,-106.775627,-55.339588,-110.016502,-26.348349,-115.473427,8.989801,-111.797348,32.980671,-112.066422,70.512581,-104.260239,98.548676
0.025,-106.782928,-55.338596,-110.014931,-26.349636,-115.472855,8.991249,-111.794212,32.981499,-112.064835,70.512848,-104.258118,98.547295
0.027778,,,,,,,,,,,,
0.030556,-106.786499,-55.3396,-110.014763,-26.351606,-115.470673,8.986229,-111.793968,32.976261,-112.060867,70.508636,-104.255249,98.531258
0.033333,-106.788445,-55.34153,-110.012642,-26.351366,-115.469994,8.985268,-111.792389,32.975914,-112.060211,70.50663,-104.253639,98.52903
0.036111,,,,,,,,,,,,
0.038889,-106.791321,-55.34507,-110.011314,-26.351723,-115.467346,8.982317,-111.791672,32.972691,-112.057129,70.499702,-104.25602,98.521805
0.041667,-106.793304,-55.344318,-110.008911,-26.350626,-115.465271,8.981052,-111.790977,32.970695,-112.055275,70.498688,-104.254532,98.519325
0.044444,,,,,,,,,,,,
0.047222,-106.794586,-55.347908,-110.006668,-26.352846,-115.459763,8.976729,-111.792793,32.968784,-112.051544,70.492432,-104.256844,98.512993
0.05,,,,,,,,,,,,
0.052778,,,,,,,,,,,,
0.055556,-106.959938,-55.12767,-109.997643,-26.350492,-115.45575,8.971113,-111.79026,32.964428,-112.050568,70.491135,-104.260513,98.507965
0.058333,,,,,,,,,,,,
0.061111,,,,,,,,,,,,
0.063889,-106.973038,-55.116772,-109.991219,-26.355785,-115.449699,8.96331,-111.785652,32.960106,-112.046692,70.482323,-104.260788,98.503754
0.066667,-106.973824,-55.119194,-109.989693,-26.358286,-115.446266,8.959296,-111.783363,32.959049,-112.045441,70.480713,-104.260109,98.502472
0.069444,,,,,,,,,,,,
0.072222,-106.974281,-55.123665,-109.98558,-26.359367,-115.443352,8.955262,-111.780594,32.957466,-112.042709,70.479141,-104.259995,98.496887
0.075,,,,,,,,,,,,
0.077778,-106.767761,-55.324127,-109.982849,-26.359797,-115.439095,8.950061,-111.776886,32.954243,-112.042747,70.474777,-104.256203,98.494781
0.080556,-106.76947,-55.324287,-109.981934,-26.362097,-115.43734,8.94719,-111.777794,32.956089,-112.040886,70.473335,-104.254662,98.49305
0.083333,,,,,,,,,,,,
0.086111,-106.767609,-55.330688,-109.979439,-26.365801,-115.433624,8.937947,-111.773659,32.952297,-112.040009,70.467499,-104.246925,98.492195
0.088889,-106.767616,-55.333908,-109.978867,-26.370918,-115.432594,8.935868,-111.772171,32.948513,-112.036827,70.466469,-104.247498,98.488365
0.091667,,,,,,,,,,,,
0.094444,-106.767952,-55.338921,-109.979561,-26.380331,-115.429008,8.930269,-111.76635,32.943607,-112.034653,70.463264,-104.244362,98.484718
0.097222,-106.768242,-55.340099,-109.981026,-26.381367,-115.429352,8.929577,-111.768639,32.942738,-112.032631,70.459099,-104.239227,98.482918
0.1,,,,,,,,,,,,
0.102778,-106.767845,-55.345768,-109.981628,-26.386297,-115.428833,8.924133,-111.765549,32.938351,-112.029282,70.454193,-104.235313,98.477386
0.105556,-106.769302,-55.347527,-109.983955,-26.391388,-115.42662,8.919576,-111.765274,32.935078,-112.026428,70.450554,-104.231689,98.476883
0.108333,,,,,,,,,,,,
0.111111,-106.768784,-55.35165,-109.985802,-26.399172,-115.425217,8.91232,-111.762192,32.930332,-112.023651,70.44648,-104.229179,98.46225
0.113889,-106.769562,-55.355465,-109.986687,-26.403927,-115.424095,8.907393,-111.762741,32.927612,-112.02327,70.445648,-104.227425,98.461411
0.116667,,,,,,,,,,,,
0.119444,-106.767311,-55.363201,-109.986794,-26.411274,-115.424644,8.904067,-111.758064,32.924305,-112.018158,70.439636,-104.225883,98.456932
0.122222,-106.766258,-55.364765,-109.989342,-26.413935,-115.422806,8.901162,-111.758163,32.922607,-112.015091,70.436142,-104.224716,98.454628
0.125,,,,,,,,,,,,
0.127778,-106.765495,-55.372059,-109.989845,-26.419863,-115.421745,8.895819,-111.757072,32.918392,-112.0103,70.431244,-104.219414,98.440933
0.130556,,,,,,,,,,,,
0.133333,,,,,,,,,,,,
0.136111,-106.76123,-55.381783,-109.989761,-26.427729,-115.417191,8.87958,-111.756454,32.915939,-112.002495,70.422173,-104.216675,98.431564
0.138889,-106.759521,-55.384956,-109.988167,-26.429436,-115.062798,8.791665,-111.753616,32.911194,-112.000549,70.419701,-104.214455,98.428108
0.141667,,,,,,,,,,,,
0.144444,-106.754532,-55.400669,-109.98584,-26.434204,-115.415871,8.874554,-111.751266,32.906734,-111.995659,70.415031,-104.211006,98.423615
0.147222,-106.753372,-55.403011,-109.985474,-26.436701,-115.061653,8.784146,-111.749374,32.904629,-111.994743,70.413246,-104.209831,98.420128
0.15,,,,,,,,,,,,
0.152778,-106.748734,-55.409847,-109.980621,-26.441456,-115.060356,8.776868,-111.751022,32.90033,-111.98864,70.407822,-104.204391,98.414566
0.155556,-106.747559,-55.412994,-109.981575,-26.446903,-115.258881,9.121407,-111.749855,32.899006,-111.986053,70.404472,-104.203453,98.409607
0.158333,,,,,,,,,,,,
0.161111,-106.745102,-55.416107,-109.978912,-26.451048,-115.057358,8.76596,-111.748573,32.893394,-111.979233,70.3965,-104.198456,98.405769
0.163889,-106.743347,-55.421127,-109.978333,-26.456377,-115.056145,8.761742,-111.737732,32.882282,-111.976982,70.393501,-104.195953,98.403458
0.166667,,,,,,,,,,,,
0.169444,-106.740677,-55.425148,-109.976517,-26.460712,-115.054192,8.754523,-111.736595,32.876278,-111.974548,70.388321,-104.193619,98.39637
0.172222,-106.73996,-55.429382,-109.975388,-26.465193,-115.352287,8.755201,-111.736214,32.873116,-111.971619,70.385834,-104.192802,98.392555
0.175,,,,,,,,,,,,
0.177778,-106.737984,-55.433834,-109.975266,-26.471693,-115.042404,8.714451,-111.73159,32.86639,-111.966705,70.37603,-104.19059,98.385643
0.180556,-106.725601,-55.447613,-109.975494,-26.476395,-115.259949,9.095973,-111.713432,32.846478,-111.964157,70.376701,-104.19017,98.382355
0.183333,,,,,,,,,,,,
0.186111,-106.735397,-55.443138,-109.973816,-26.480431,-115.259193,9.092355,-111.711327,32.839962,-111.961128,70.370995,-104.187454,98.377541
0.188889,-106.724129,-55.454063,-109.972214,-26.479752,-115.259315,9.089857,-111.711349,32.838749,-111.959633,70.368271,-104.186401,98.37439
0.191667,,,,,,,,,,,,
