Format Version,1.23,Take Name,LorenzoP_006,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-22 11.44.27.298 AM,Capture Start Frame,2769184,Total Frames in Take,8059,Total Exported Frames,8059,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,aarso:BackLeft,aarso:BackLeft,aarso:BackLeft,aarso:BackRight,aarso:BackRight,aarso:BackRight,aarso:BackTop,aarso:BackTop,aarso:BackTop,aarso:Chest,aarso:Chest,aarso:Chest,aarso:HeadFront,aarso:HeadFront,aarso:HeadFront,aarso:HeadSide,aarso:HeadSide,aarso:HeadSide,aarso:HeadTop,aarso:HeadTop,aarso:HeadTop,aarso:LElbowOut,aarso:LElbowOut,aarso:LElbowOut,aarso:LHandOut,aarso:LHandOut,aarso:LHandOut,aarso:LShoulderBack,aarso:LShoulderBack,aarso:LShoulderBack,aarso:LShoulderTop,aarso:LShoulderTop,aarso:LShoulderTop,aarso:LUArmHigh,aarso:LUArmHigh,aarso:LUArmHigh,aarso:LWristIn,aarso:LWristIn,aarso:LWristIn,aarso:LWristOut,aarso:LWristOut,aarso:LWristOut,aarso:RElbowOut,aarso:RElbowOut,aarso:RElbowOut,aarso:RHandOut,aarso:RHandOut,aarso:RHandOut,aarso:RShoulderBack,aarso:RShoulderBack,aarso:RShoulderBack,aarso:RShoulderTop,aarso:RShoulderTop,aarso:RShoulderTop,aarso:RUArmHigh,aarso:RUArmHigh,aarso:RUArmHigh,aarso:RWristIn,aarso:RWristIn,aarso:RWristIn,aarso:RWristOut,aarso:RWristOut,aarso:RWristOut,aarso:WaistLBack,aarso:WaistLBack,aarso:WaistLBack,aarso:WaistLFront,aarso:WaistLFront,aarso:WaistLFront,aarso:WaistRBack,aarso:WaistRBack,aarso:WaistRBack,aarso:WaistRFront,aarso:WaistRFront,aarso:WaistRFront
,ID,"222CF0","222CF0","222CF0","222C90","222C90","222C90","222CA0","222CA0","222CA0","223BE0","223BE0","223BE0","227430","227430","227430","222C20","222C20","222C20","222B40","222B40","222B40","222CE0","222CE0","222CE0","222C80","222C80","222C80","222D10","222D10","222D10","224D60","224D60","224D60","222D00","222D00","222D00","222B70","222B70","222B70","222CB0","222CB0","222CB0","227620","227620","227620","226760","226760","226760","222C60","222C60","222C60","222C50","222C50","222C50","227770","227770","227770","224F70","224F70","224F70","2268D0","2268D0","2268D0","226F60","226F60","226F60","226650","226650","226650","226400","226400","226400","2266A0","2266A0","2266A0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-97.363609,163.389511,11.230038,-91.143814,161.602142,32.942917,-95.796196,177.572128,23.369585,-71.603050,169.368958,17.242113,-72.172203,198.644333,25.776798,-70.581604,200.680847,9.933838,-76.797379,209.551651,17.944742,-90.694016,172.452255,-24.911356,-89.245018,177.052856,-55.589939,-96.972198,175.030334,3.282344,-92.800514,183.922974,11.318522,-93.625282,174.771378,-12.566834,-83.769997,182.026367,-47.889164,-90.614807,175.190842,-47.092533,-76.334396,161.212219,68.781837,-68.273178,159.849930,96.398643,-90.927162,172.609085,39.356598,-85.474869,180.422058,33.743847,-83.258461,164.791855,54.709000,-65.469681,169.150635,88.318649,-69.492676,160.275040,89.715210,-94.622131,134.480759,8.420399,-77.567726,134.383209,0.329001,-88.171402,134.728470,30.236372,-68.855675,132.751099,25.349955
3,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-97.365288,163.381485,11.229840,-91.138443,161.599274,32.944851,-95.792511,177.570648,23.373962,-71.602287,169.367523,17.241219,-72.168365,198.648331,25.776302,-70.582169,200.680283,9.930736,-76.794746,209.551529,17.946983,-90.702667,172.446243,-24.912285,-89.236900,177.063614,-55.586147,-96.971687,175.029404,3.287867,-92.801353,183.922195,11.322695,-93.631866,174.769455,-12.563133,-83.765045,182.037003,-47.880783,-90.610893,175.198944,-47.090218,-76.318336,161.206223,68.777390,-68.249397,159.846451,96.394600,-90.918884,172.603302,39.360310,-85.475029,180.414780,33.746941,-83.242760,164.784546,54.710655,-65.439537,169.149155,88.310677,-69.456947,160.262909,89.709213,-94.622932,134.480423,8.419076,-77.569183,134.385101,0.326131,-88.166656,134.730499,30.233414,-68.853127,132.752411,25.342312
