Format Version,1.23,Take Name,LorenzoP_007,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-22 11.46.10.032 AM,Capture Start Frame,2806167,Total Frames in Take,8614,Total Exported Frames,8614,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,aarso:BackLeft,aarso:BackLeft,aarso:BackLeft,aarso:BackRight,aarso:BackRight,aarso:BackRight,aarso:BackTop,aarso:BackTop,aarso:BackTop,aarso:Chest,aarso:Chest,aarso:Chest,aarso:HeadFront,aarso:HeadFront,aarso:HeadFront,aarso:HeadTop,aarso:HeadTop,aarso:HeadTop,aarso:LElbowOut,aarso:LElbowOut,aarso:LElbowOut,aarso:LHandOut,aarso:LHandOut,aarso:LHandOut,aarso:LShoulderBack,aarso:LShoulderBack,aarso:LShoulderBack,aarso:LShoulderTop,aarso:LShoulderTop,aarso:LShoulderTop,aarso:LUArmHigh,aarso:LUArmHigh,aarso:LUArmHigh,aarso:LWristIn,aarso:LWristIn,aarso:LWristIn,aarso:LWristOut,aarso:LWristOut,aarso:LWristOut,aarso:RElbowOut,aarso:RElbowOut,aarso:RElbowOut,aarso:RHandOut,aarso:RHandOut,aarso:RHandOut,aarso:RShoulderBack,aarso:RShoulderBack,aarso:RShoulderBack,aarso:RShoulderTop,aarso:RShoulderTop,aarso:RShoulderTop,aarso:RUArmHigh,aarso:RUArmHigh,aarso:RUArmHigh,aarso:RWristIn,aarso:RWristIn,aarso:RWristIn,aarso:RWristOut,aarso:RWristOut,aarso:RWristOut,aarso:WaistLBack,aarso:WaistLBack,aarso:WaistLBack,aarso:WaistLFront,aarso:WaistLFront,aarso:WaistLFront,aarso:WaistRBack,aarso:WaistRBack,aarso:WaistRBack,aarso:WaistRFront,aarso:WaistRFront,aarso:WaistRFront
,ID,"22BF30","22BF30","22BF30","229A80","229A80","229A80","22BFF0","22BFF0","22BFF0","22CB50","22CB50","22CB50","22DC80","22DC80","22DC80","22B0E0","22B0E0","22B0E0","22BEC0","22BEC0","22BEC0","22BFE0","22BFE0","22BFE0","229B00","229B00","229B00","22F780","22F780","22F780","229AF0","229AF0","229AF0","22D120","22D120","22D120","22B8F0","22B8F0","22B8F0","22E360","22E360","22E360","22FCC0","22FCC0","22FCC0","22D270","22D270","22D270","2300C0","2300C0","2300C0","22D260","22D260","22D260","22D380","22D380","22D380","22EB60","22EB60","22EB60","22E650","22E650","22E650","22D700","22D700","22D700","22E900","22E900","22E900","22D9B0","22D9B0","22D9B0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-95.618118,163.298752,10.384089,-90.540367,162.097122,32.526234,-95.707718,178.363251,22.741961,-70.449310,169.984634,17.441565,-69.985901,200.218918,8.947286,-76.306000,209.564392,16.259571,-89.062492,173.102631,-25.463667,-88.428787,178.966507,-56.122768,-95.519775,174.608475,2.555615,-91.917221,183.642654,10.629881,-92.153374,174.881790,-13.167418,-82.764267,183.373199,-48.347942,-89.660110,176.788956,-47.466362,-77.495697,163.960571,69.602631,-70.222649,164.365280,97.470436,-91.362984,173.008224,39.211750,-85.404404,180.567093,33.083721,-84.253738,166.577057,55.463100,-67.400650,173.216278,88.779869,-71.293388,164.280441,90.660774,-93.402588,134.479889,7.531914,-75.598434,134.373398,0.719821,-88.009857,134.772293,29.731815,-68.469658,133.253174,25.578032
3,0.008333,-95.617256,163.299637,10.384673,-90.539848,162.096848,32.527256,-95.707031,178.364578,22.742113,-70.449615,169.986710,17.439074,-69.985878,200.218155,8.947824,-76.304665,209.564346,16.258848,-89.059967,173.100204,-25.462780,-88.426498,178.964355,-56.121998,-95.519882,174.608566,2.556691,-91.917519,183.644623,10.631087,-92.152313,174.881531,-13.165074,-82.771477,183.369904,-48.339783,-89.659798,176.787811,-47.465420,-77.494934,163.959259,69.601402,-70.222176,164.364304,97.470367,-91.363480,173.001663,39.213707,-85.402771,180.568817,33.080902,-84.252708,166.574768,55.462742,-67.371140,173.169830,88.792557,-71.292480,164.278839,90.660309,-93.404060,134.481552,7.532376,-75.598671,134.374603,0.718731,-88.007256,134.773941,29.731773,-68.467377,133.253769,25.574497
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-95.615372,163.299835,10.386229,-90.537613,162.097183,32.528824,-95.705650,178.366592,22.743153,-70.459152,169.954178,17.363203,-69.985901,200.219757,8.947907,-76.308151,209.566238,16.264620,-89.054230,173.097031,-25.462706,-88.425400,178.961578,-56.119232,-95.515884,174.608643,2.558938,-91.916214,183.645828,10.633159,-92.149437,174.880432,-13.163340,-82.764206,183.362213,-48.343517,-89.657928,176.785583,-47.462143,-77.493767,163.957504,69.602371,-70.219681,164.360199,97.470917,-91.361046,173.009247,39.216103,-85.405449,180.571014,33.081490,-84.252342,166.563339,55.472038,-67.369263,173.167496,88.791290,-71.291183,164.275574,90.660141,-93.401245,134.482880,7.532782,-75.597313,134.372986,0.717133,-88.004982,134.774979,29.731592,-68.463844,133.256531,25.574028
