Format Version,1.23,Take Name,LorenzoP_015,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-22 12.01.48.735 PM,Capture Start Frame,3144098,Total Frames in Take,7844,Total Exported Frames,7844,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,aarso:BackLeft,aarso:BackLeft,aarso:BackLeft,aarso:BackRight,aarso:BackRight,aarso:BackRight,aarso:BackTop,aarso:BackTop,aarso:BackTop,aarso:Chest,aarso:Chest,aarso:Chest,aarso:HeadFront,aarso:HeadFront,aarso:HeadFront,aarso:HeadSide,aarso:HeadSide,aarso:HeadSide,aarso:HeadTop,aarso:HeadTop,aarso:HeadTop,aarso:LElbowOut,aarso:LElbowOut,aarso:LElbowOut,aarso:LHandOut,aarso:LHandOut,aarso:LHandOut,aarso:LShoulderBack,aarso:LShoulderBack,aarso:LShoulderBack,aarso:LShoulderTop,aarso:LShoulderTop,aarso:LShoulderTop,aarso:LUArmHigh,aarso:LUArmHigh,aarso:LUArmHigh,aarso:LWristIn,aarso:LWristIn,aarso:LWristIn,aarso:LWristOut,aarso:LWristOut,aarso:LWristOut,aarso:RElbowOut,aarso:RElbowOut,aarso:RElbowOut,aarso:RHandOut,aarso:RHandOut,aarso:RHandOut,aarso:RShoulderBack,aarso:RShoulderBack,aarso:RShoulderBack,aarso:RShoulderTop,aarso:RShoulderTop,aarso:RShoulderTop,aarso:RUArmHigh,aarso:RUArmHigh,aarso:RUArmHigh,aarso:RWristIn,aarso:RWristIn,aarso:RWristIn,aarso:RWristOut,aarso:RWristOut,aarso:RWristOut,aarso:WaistLBack,aarso:WaistLBack,aarso:WaistLBack,aarso:WaistLFront,aarso:WaistLFront,aarso:WaistLFront,aarso:WaistRBack,aarso:WaistRBack,aarso:WaistRBack,aarso:WaistRFront,aarso:WaistRFront,aarso:WaistRFront
,ID,"270950","270950","270950","2709B0","2709B0","2709B0","270910","270910","270910","271C70","271C70","271C70","273810","273810","273810","270840","270840","270840","270870","270870","270870","270900","270900","270900","2708E0","2708E0","2708E0","270960","270960","270960","272890","272890","272890","270940","270940","270940","2708B0","2708B0","2708B0","2708F0","2708F0","2708F0","273070","273070","273070","273800","273800","273800","270880","270880","270880","2708A0","2708A0","2708A0","272F70","272F70","272F70","2721B0","2721B0","2721B0","271F00","271F00","271F00","270DD0","270DD0","270DD0","271340","271340","271340","271FA0","271FA0","271FA0","271360","271360","271360"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-96.265373,163.287964,11.977551,-91.436150,161.496445,33.964314,-96.234268,176.554199,24.153181,-71.105507,170.315460,19.299007,-72.773735,198.795609,27.527317,-71.462379,200.346451,11.776941,-77.855591,209.120468,19.361345,-90.551849,171.456116,-23.700094,-89.042831,176.734573,-54.468452,-96.442459,174.667816,4.367513,-92.682198,183.292160,12.345081,-93.397972,173.854904,-11.302990,-83.808098,182.053604,-46.854012,-90.520691,174.776321,-45.844303,-79.727295,161.136108,70.730087,-77.496979,161.053940,100.262283,-92.127525,171.869080,40.242512,-86.931953,180.039444,35.244335,-85.664574,164.642761,56.500114,-74.470825,170.774963,92.174629,-76.360489,161.099014,92.511795,-93.724152,134.828369,8.600360,-75.785278,134.765198,1.613593,-88.190445,134.537201,30.841681,-68.341492,133.185211,26.912218
3,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-96.258530,163.293625,11.977970,-91.425446,161.515289,33.963917,-96.213127,176.564148,24.131277,-71.101959,170.315369,19.301010,-72.754356,198.754471,27.538061,-71.446487,200.352264,11.768689,-77.845818,209.122253,19.354549,-90.580078,171.520142,-23.634720,-89.034637,176.731888,-54.468418,-96.432510,174.678268,4.367673,-92.855003,183.385727,12.577147,-93.391815,173.861008,-11.300337,-83.796135,182.052795,-46.852489,-90.517029,174.777557,-45.843567,-79.719620,161.144821,70.731567,-76.623650,160.671722,99.429771,-92.121033,171.873749,40.242924,-86.927505,180.046906,35.242435,-85.655037,164.647430,56.500877,-74.451988,170.784943,92.171440,-76.348175,161.109283,92.511406,-93.721321,134.830719,8.599204,-75.788185,134.766052,1.618433,-88.189354,134.542816,30.841091,-68.250809,133.202667,26.930624
6,0.016667,-96.257019,163.297134,11.977538,-91.424698,161.516495,33.963676,-96.210815,176.567841,24.130735,-71.098854,170.315491,19.300938,-72.750732,198.755310,27.535692,-71.442276,200.350693,11.766456,-77.841965,209.121872,19.350395,-90.234879,171.546677,-23.900434,-89.032486,176.731934,-54.468555,-96.430695,174.681168,4.369626,-92.672264,183.306351,12.346524,-93.390038,173.863510,-11.298776,-83.793236,182.050568,-46.849686,-90.514931,174.776749,-45.843197,-79.715675,161.148178,70.732590,-76.623863,160.680618,99.433228,-92.120430,171.880280,40.246124,-86.925140,180.049805,35.241909,-85.651947,164.649597,56.500507,-74.448280,170.786926,92.172424,-76.345322,161.111420,92.511948,-93.720924,134.832352,8.598682,-75.789307,134.766144,1.615787,-88.188980,134.543518,30.842062,-68.249756,133.201569,26.930670
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-96.252357,163.300415,11.977566,-91.418716,161.519302,33.963139,-96.205612,176.572952,24.129936,-71.096329,170.314468,19.299658,-72.758713,198.799973,27.512127,-71.441284,200.345352,11.768377,-77.834312,209.121460,19.344069,-90.567612,171.516449,-23.644686,-89.029503,176.734131,-54.465389,-96.423882,174.698929,4.371762,-92.665543,183.310913,12.347531,-93.387535,173.867889,-11.296314,-83.969795,182.116959,-46.601044,-90.513245,174.777817,-45.840813,-79.723816,161.144806,70.733871,-76.622536,160.686539,99.431847,-92.118675,171.885162,40.245075,-86.921913,180.053741,35.239429,-85.647255,164.653046,56.500061,-74.437958,170.791092,92.169594,-76.339714,161.116348,92.509552,-93.719955,134.835342,8.597938,-75.893555,134.622833,1.583342,-88.185974,134.544891,30.839968,-68.253227,133.200821,26.932903
9,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-96.245026,163.314209,11.980709,-91.412056,161.519577,33.962971,-96.200302,176.580307,24.127186,-71.094345,170.312958,19.303373,-72.733376,198.752197,27.524672,-71.437813,200.343231,11.766565,-77.824677,209.120560,19.334917,-90.601303,171.488373,-23.585176,-89.028801,176.736679,-54.460026,-96.418907,174.702591,4.376808,-92.653000,183.317108,12.348580,-93.384338,173.868958,-11.289138,-83.965446,182.112259,-46.597122,-90.507759,174.772690,-45.834743,-79.715210,161.151321,70.728477,-76.618164,160.693665,99.429947,-92.111771,171.889954,40.243958,-86.916145,180.060242,35.236481,-85.641823,164.657547,56.497776,-74.428925,170.794373,92.164459,-76.333771,161.120621,92.507805,-93.711967,134.834625,8.596972,-75.889221,134.624359,1.584367,-88.181892,134.543625,30.839867,-68.343452,133.181076,26.919100
12,0.033333,-96.242294,163.314194,11.981130,-91.411552,161.520691,33.963768,-96.198601,176.580688,24.127611,-71.091415,170.313766,19.304396,-72.730209,198.752075,27.521854,-71.436653,200.343399,11.767607,-77.824623,209.119934,19.332352,-90.597488,171.486877,-23.585939,-89.029488,176.737915,-54.458405,-96.417984,174.703796,4.379291,-92.652298,183.316772,12.348968,-93.382004,173.867584,-11.287827,-83.781593,182.034271,-46.844894,-90.503487,174.768707,-45.833611,-79.718178,161.150009,70.727394,-76.607788,160.691589,99.420525,-92.110558,171.892731,40.243618,-86.915115,180.061584,35.234520,-85.640297,164.658905,56.496609,-74.425636,170.792358,92.160294,-76.331001,161.120728,92.504135,-93.711052,134.834412,8.598122,-75.844963,134.716293,1.549246,-88.178925,134.542923,30.840635,-68.343719,133.179550,26.919416
13,0.036111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,-96.240784,163.314789,11.982688,-91.407944,161.521225,33.961525,-96.194542,176.582642,24.127016,-71.087051,170.313583,19.300276,-72.058807,198.744720,27.476421,-71.430626,200.345871,11.760763,-77.819237,209.118774,19.330416,-90.403885,171.350128,-23.901272,-89.030434,176.738281,-54.455612,-96.415993,174.702164,4.383331,-92.631294,183.327774,12.345147,-93.377708,173.866577,-11.284506,-83.781540,182.025833,-46.842556,-90.501320,174.763840,-45.829655,-79.726570,161.147446,70.723404,-76.604500,160.693512,99.418365,-92.108627,171.895416,40.241547,-86.910179,180.062515,35.232811,-85.640839,164.662033,56.495434,-74.417671,170.799088,92.154419,-76.330666,161.122330,92.503853,-93.705078,134.842926,8.601451,-75.844261,134.717117,1.551787,-88.179466,134.542236,30.841568,-68.341156,133.177109,26.921400
15,0.041667,-96.238907,163.313873,11.983397,-91.410599,161.522278,33.960770,-96.193657,176.582825,24.126976,-71.089592,170.314331,19.300659,-72.744247,198.795425,27.507580,-71.429672,200.344894,11.760234,-77.816734,209.118774,19.326588,-90.399483,171.351318,-23.899502,-89.030350,176.738251,-54.454277,-96.416618,174.688232,4.384679,-92.649719,183.315018,12.351549,-93.378304,173.866684,-11.282343,-83.780579,182.022507,-46.841064,-90.498985,174.761627,-45.828022,-79.724693,161.147705,70.722481,-76.602676,160.695328,99.417427,-92.105698,171.896332,40.240818,-86.907974,180.064148,35.231670,-85.638206,164.663254,56.494308,-74.413841,170.798569,92.153198,-76.329399,161.122086,92.501411,-93.705757,134.831879,8.598434,-75.844696,134.717957,1.555033,-88.178955,134.541962,30.841070,-68.340897,133.174103,26.922533
16,0.044444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
