Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-107.949852,-71.463928,-112.498665,-44.301975,-118.761742,-8.049462,-115.885841,14.29044,-111.778168,48.159351,-110.639107,77.509674
0.002778,-107.9505,-71.458824,-112.499763,-44.299984,-118.683182,-8.148777,-115.882721,14.294394,-111.778107,48.162136,-110.628654,77.507553
0.005556,-107.951591,-71.457466,-112.497734,-44.298626,-118.68293,-8.147592,-115.883682,14.296526,-111.776367,48.164349,-110.619446,77.507057
0.008333,,,,,,,,,,,,
0.011111,,,,,,,,,,,,
0.013889,-108.084854,-71.273895,-112.498428,-44.291664,-118.683174,-8.142262,-115.878365,14.304113,-111.76059,48.16552,-110.58284,77.504715
0.016667,-107.958054,-71.443214,-112.497856,-44.289337,-118.682587,-8.142013,-115.875038,14.306863,-111.748398,48.161564,-110.570145,77.503464
0.019444,-108.086983,-71.267197,-112.497391,-44.288792,-118.681145,-8.140582,-115.874229,14.311345,-111.736992,48.159233,-110.555565,77.502457
0.022222,-108.087578,-71.259979,-112.500748,-44.285057,-118.679359,-8.140314,-115.872643,14.310201,-111.724304,48.152847,-110.542122,77.500839
0.025,,,,,,,,,,,,
0.027778,-108.08902,-71.254326,-112.501701,-44.281555,-118.759392,-8.02888,-115.869652,14.312901,-111.685287,48.152004,-110.487534,77.490028
0.030556,,,,,,,,,,,,
0.033333,,,,,,,,,,,,
0.036111,-108.141777,-71.231506,-112.505432,-44.275452,-118.824783,-7.927847,-115.882156,14.281717,,,-110.409523,77.510475
0.038889,,,,,,,,,,,,
0.041667,,,,,,,,,,,,
0.044444,-108.143044,-71.222733,-112.509659,-44.269741,-118.824478,-7.919365,-115.881981,14.2878,,,-110.366692,77.501411
0.047222,-108.144119,-71.219704,-112.510254,-44.267593,-118.687645,-8.063829,-115.882317,14.290953,,,-110.354637,77.500198
0.05,,,,,,,,,,,,
0.052778,-108.143066,-71.214317,-112.512611,-44.264256,-118.687714,-8.058582,-115.881203,14.298901,,,-110.311745,77.516006
0.055556,,,,,,,,,,,,
0.058333,,,,,,,,,,,,
0.061111,-108.143791,-71.205643,-112.51503,-44.259918,-118.686546,-8.052811,-115.879013,14.30622,,,-110.270355,77.509262
0.063889,-108.141876,-71.20314,-112.512016,-44.257999,-118.687317,-8.050553,-115.878639,14.310158,,,-110.254219,77.507248
0.066667,,,,,,,,,,,,
