Format Version,1.23,Take Name,Mose_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-20 03.07.40.782 PM,Capture Start Frame,830379,Total Frames in Take,8331,Total Exported Frames,8331,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,aww:BackLeft,aww:BackLeft,aww:BackLeft,aww:BackRight,aww:BackRight,aww:BackRight,aww:BackTop,aww:BackTop,aww:BackTop,aww:Chest,aww:Chest,aww:Chest,aww:HeadFront,aww:HeadFront,aww:HeadFront,aww:HeadTop,aww:HeadTop,aww:HeadTop,aww:LElbowOut,aww:LElbowOut,aww:LElbowOut,aww:LHandOut,aww:LHandOut,aww:LHandOut,aww:LShoulderBack,aww:LShoulderBack,aww:LShoulderBack,aww:LShoulderTop,aww:LShoulderTop,aww:LShoulderTop,aww:LUArmHigh,aww:LUArmHigh,aww:LUArmHigh,aww:LWristIn,aww:LWristIn,aww:LWristIn,aww:LWristOut,aww:LWristOut,aww:LWristOut,aww:RElbowOut,aww:RElbowOut,aww:RElbowOut,aww:RHandOut,aww:RHandOut,aww:RHandOut,aww:RShoulderBack,aww:RShoulderBack,aww:RShoulderBack,aww:RShoulderTop,aww:RShoulderTop,aww:RShoulderTop,aww:RUArmHigh,aww:RUArmHigh,aww:RUArmHigh,aww:RWristIn,aww:RWristIn,aww:RWristIn,aww:RWristOut,aww:RWristOut,aww:RWristOut,aww:WaistLBack,aww:WaistLBack,aww:WaistLBack,aww:WaistLFront,aww:WaistLFront,aww:WaistLFront,aww:WaistRBack,aww:WaistRBack,aww:WaistRBack,aww:WaistRFront,aww:WaistRFront,aww:WaistRFront
,ID,"12B520","12B520","12B520","12B510","12B510","12B510","12B500","12B500","12B500","12B460","12B460","12B460","12B3B0","12B3B0","12B3B0","12B410","12B410","12B410","12B470","12B470","12B470","12B440","12B440","12B440","12B4F0","12B4F0","12B4F0","12B4A0","12B4A0","12B4A0","12B4B0","12B4B0","12B4B0","12B3E0","12B3E0","12B3E0","12B420","12B420","12B420","12B480","12B480","12B480","12B400","12B400","12B400","12B4E0","12B4E0","12B4E0","12B450","12B450","12B450","12B490","12B490","12B490","12B3F0","12B3F0","12B3F0","12B590","12B590","12B590","12B4D0","12B4D0","12B4D0","12B3C0","12B3C0","12B3C0","12B4C0","12B4C0","12B4C0","12B380","12B380","12B380"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-127.656937,163.585403,5.396387,-126.153801,162.667999,30.025658,-125.831894,179.763809,18.045881,-98.649826,169.466751,14.494867,-102.631088,201.945145,20.621063,-112.174438,209.177994,12.900017,-115.894402,171.366364,-34.404053,-112.592300,177.984482,-62.304008,-124.834885,174.654541,-3.192996,-120.256973,183.441559,4.496056,-120.300652,170.965820,-19.877577,-106.017776,184.602875,-55.925770,-112.219635,176.544601,-55.633999,-117.608047,161.125641,68.624863,-111.226234,155.538361,95.342522,-122.418404,175.278793,35.480583,-114.953972,181.440582,29.793745,-120.485855,166.516022,51.921051,-108.301392,166.176285,88.765320,-112.553070,156.833481,88.971336,-121.971260,134.953827,3.425545,-102.485321,133.790207,-1.612437,-120.428062,134.219788,28.072134,-99.410545,132.399078,26.133078
3,0.008333,-127.659622,163.589233,5.401168,-126.185226,162.673157,30.017551,-125.834045,179.763580,18.045813,-98.651245,169.468414,14.492970,-102.635254,201.946808,20.622257,-112.176361,209.176941,12.902282,-115.895332,171.365387,-34.403641,-112.594963,177.982452,-62.305378,-124.835274,174.655319,-3.190874,-120.287392,183.456161,4.542929,-120.299873,170.964432,-19.878017,-106.021606,184.601013,-55.928318,-112.224197,176.542740,-55.635174,-117.607925,161.124115,68.626335,-111.227203,155.534943,95.340668,-122.418549,175.278198,35.479279,-114.953720,181.438690,29.791769,-120.485054,166.515549,51.921169,-108.301971,166.172318,88.765297,-112.551811,156.831009,88.971313,-121.972954,134.954391,3.426149,-102.488602,133.790619,-1.611332,-120.427956,134.219421,28.070080,-99.415085,132.402878,26.134787
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-127.660538,163.584915,5.395430,-126.184822,162.671585,30.018356,-125.845886,179.787399,18.041216,-98.651627,169.471359,14.491063,-102.639496,201.946838,20.620411,-112.181496,209.177521,12.903635,-115.900024,171.362320,-34.402241,-112.600769,177.978256,-62.306561,-124.837730,174.653915,-3.193137,-120.289589,183.456055,4.541164,-120.306587,170.965225,-19.878065,-105.918930,184.507431,-55.780365,-112.230324,176.538376,-55.636944,-117.607895,161.118942,68.623810,-111.227371,155.527313,95.338356,-122.423409,175.278290,35.481358,-114.958916,181.436768,29.792213,-120.486572,166.512680,51.920341,-108.301460,166.162750,88.763359,-112.548622,156.823196,88.966331,-121.974327,134.952682,3.427672,-102.492126,133.792877,-1.613508,-120.427620,134.218140,28.073072,-99.413467,132.397430,26.128002
6,0.016667,-127.660286,163.583984,5.396665,-126.185570,162.671127,30.018627,-125.839127,179.763031,18.045279,-98.653069,169.472092,14.490233,-102.640060,201.947021,20.619993,-112.182793,209.177429,12.904421,-116.073372,171.230286,-34.186218,-112.605118,177.977463,-62.311638,-124.839523,174.654083,-3.194555,-120.288109,183.454056,4.536915,-120.308006,170.965790,-19.878214,-105.915901,184.449966,-55.764008,-112.232735,176.537888,-55.635143,-117.606316,161.116241,68.623482,-111.227737,155.523239,95.336975,-122.422722,175.276657,35.478981,-114.960541,181.437073,29.793198,-120.485664,166.510696,51.920189,-108.301636,166.159454,88.762466,-112.545418,156.818283,88.959679,-121.975670,134.951752,3.427577,-102.695099,133.848831,-1.639692,-120.428398,134.218781,28.074419,-99.412880,132.398254,26.127443
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-127.662788,163.583801,5.397526,-126.187729,162.671356,30.018208,-125.849281,179.786575,18.041693,-98.653641,169.472351,14.484562,-102.653610,201.948837,20.613773,-112.187454,209.176636,12.901738,-115.906860,171.357758,-34.404053,-112.611031,177.971436,-62.309402,-124.843254,174.653946,-3.193244,-120.265945,183.442474,4.490251,-120.312714,170.964355,-19.878202,-105.930389,184.502060,-55.781025,-112.239586,176.535202,-55.636669,-117.607048,161.111160,68.622841,-111.188805,155.493347,95.362274,-122.425613,175.276306,35.480835,-114.962425,181.435150,29.793367,-120.488037,166.508728,51.920509,-108.298073,166.143570,88.759567,-112.542877,156.807037,88.957657,-121.979416,134.953827,3.428829,-102.495552,133.794540,-1.614496,-120.427994,134.218948,28.074196,-99.412758,132.396271,26.124489
9,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-127.665756,163.583420,5.398112,-126.188789,162.669174,30.019211,-125.852798,179.786041,18.041565,-98.653091,169.469772,14.480368,-102.661896,201.946976,20.612162,-112.196686,209.177261,12.899761,-116.082832,171.224304,-34.188187,-112.618614,177.966553,-62.311375,-124.847076,174.655167,-3.194653,-120.291565,183.451538,4.533786,-120.318924,170.963806,-19.877308,-105.942360,184.496613,-55.779236,-112.246727,176.529877,-55.637787,-117.608772,161.077209,68.627998,-111.192230,155.478043,95.359123,-122.426567,175.275406,35.479969,-114.968552,181.433762,29.792702,-120.490028,166.505615,51.920158,-108.296600,166.124969,88.757050,-112.530495,156.785370,88.942566,-121.980354,134.952301,3.430325,-102.495995,133.792084,-1.616888,-120.428017,134.217484,28.076141,-99.411957,132.393341,26.118496
12,0.033333,-127.666710,163.583344,5.397348,-126.192734,162.669540,30.018517,-125.854851,179.785736,18.041716,-98.655113,169.470001,14.480122,-102.665543,201.946350,20.610641,-112.196938,209.176117,12.898757,-116.081810,171.222092,-34.188972,-112.621735,177.935867,-62.288677,-124.850067,174.656448,-3.193769,-120.295464,183.449905,4.536343,-120.321884,170.962433,-19.878048,-105.945122,184.494171,-55.779995,-112.248001,176.528244,-55.639320,-117.552399,161.121674,68.604698,-111.193291,155.473602,95.358032,-122.428223,175.275391,35.478756,-114.968346,181.434189,29.790943,-120.490120,166.502914,51.918434,-108.295357,166.121262,88.756111,-112.526993,156.778641,88.937881,-121.982124,134.952271,3.431711,-102.496849,133.790771,-1.615576,-120.427872,134.216553,28.077227,-99.411011,132.393127,26.118851
13,0.036111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,-127.667915,163.584381,5.398431,-126.193710,162.669067,30.018747,-125.856232,179.785019,18.041521,-98.658714,169.466537,14.482135,-102.667282,201.944305,20.607077,-112.203934,209.176056,12.897585,-116.084656,171.220398,-34.189342,-112.627350,177.930634,-62.290962,-124.853706,174.656067,-3.194939,-120.295975,183.447311,4.535246,-120.324684,170.961563,-19.877237,-105.950760,184.490585,-55.785759,-112.253807,176.523804,-55.639015,-117.608154,161.070908,68.627098,-111.194275,155.464737,95.355988,-122.429893,175.274323,35.478859,-114.973465,181.435776,29.792738,-120.491493,166.502014,51.920010,-108.293747,166.107651,88.754044,-113.007736,157.094849,89.490128,-121.981491,134.948822,3.431866,-102.498833,133.788727,-1.614129,-120.427788,134.216095,28.077660,-99.409912,132.391724,26.119583
15,0.041667,-127.669075,163.582809,5.397246,-126.194969,162.668747,30.018667,-125.858322,179.785507,18.040916,-98.657516,169.462936,14.482344,-102.672935,201.944992,20.606222,-112.206360,209.175110,12.893756,-116.087914,171.217255,-34.189857,-112.631561,177.927750,-62.292583,-124.855576,174.655746,-3.192147,-120.294701,183.445831,4.533010,-120.327118,170.959808,-19.877874,-105.952545,184.490067,-55.796844,-112.256981,176.522827,-55.641068,-117.608521,161.067932,68.625549,-111.193611,155.459854,95.355133,-122.430229,175.272964,35.481396,-114.973022,181.436401,29.790413,-120.490219,166.499298,51.918888,-108.292076,166.102844,88.751556,-113.011551,157.091232,89.490440,-121.983505,134.951431,3.431851,-102.498627,133.788132,-1.614700,-120.428673,134.214264,28.079363,-99.409897,132.389893,26.118830
16,0.044444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.047222,-127.670456,163.582962,5.399569,-126.196655,162.666901,30.018717,-125.859856,179.784851,18.041924,-98.660820,169.458313,14.483644,-102.674545,201.945541,20.603729,-112.213112,209.176056,12.895036,-116.094757,171.216904,-34.189583,-112.633934,177.918213,-62.305580,-124.859535,174.655457,-3.190066,-120.297836,183.445435,4.535198,-120.330849,170.959518,-19.877487,-105.951439,184.486618,-55.852615,-112.263573,176.518509,-55.638981,-117.608032,161.064331,68.623940,-110.975304,155.274338,95.500526,-122.433533,175.273392,35.482174,-114.976204,181.436325,29.792845,-120.491287,166.497025,51.920361,-108.291832,166.093231,88.753441,-113.009796,157.080154,89.483429,-121.984825,134.950256,3.433067,-102.501717,133.785797,-1.612481,-120.428482,134.216782,28.076012,-99.410255,132.388901,26.118767
18,0.050000,-127.671776,163.581390,5.398589,-126.197174,162.665756,30.018538,-125.860748,179.784775,18.042118,-98.662926,169.459015,14.484547,-102.678589,201.944733,20.603432,-112.215744,209.175537,12.895295,-116.095520,171.214478,-34.189247,-112.637665,177.917831,-62.306858,-124.860893,174.654968,-3.191443,-120.299171,183.442932,4.534233,-120.332733,170.958466,-19.877487,-105.953728,184.482605,-55.853622,-112.267067,176.515335,-55.638187,-117.607704,161.060913,68.624222,-110.976494,155.268692,95.497894,-122.434303,175.273972,35.481865,-114.976120,181.436615,29.790556,-120.492210,166.495544,51.919235,-108.292786,166.088516,88.754486,-113.011505,157.075958,89.483727,-121.985039,134.949524,3.433013,-102.499916,133.784286,-1.612093,-120.429520,134.216431,28.081352,-99.409302,132.390579,26.118999
19,0.052778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.055556,-127.674721,163.581390,5.397776,-126.198051,162.664474,30.019245,-125.863564,179.784180,18.042120,-98.664345,169.455673,14.486350,-102.683174,201.946808,20.601809,-112.220833,209.174591,12.890865,-116.100334,171.212631,-34.189796,-112.643265,177.913086,-62.311100,-124.863159,174.654419,-3.190968,-120.304214,183.443237,4.538417,-120.334030,170.958466,-19.877625,-105.917099,184.437149,-55.873959,-112.273682,176.513138,-55.639885,-117.607834,161.056610,68.620827,-110.977264,155.255997,95.494255,-122.435532,175.271088,35.482254,-114.980873,181.437225,29.794008,-120.493507,166.494843,51.919388,-108.344093,166.185715,88.809380,-113.010849,157.067947,89.477730,-121.988441,134.950836,3.433934,-102.503311,133.784134,-1.612367,-120.429192,134.215637,28.080902,-99.411163,132.389832,26.120148
21,0.058333,-127.673851,163.581238,5.398863,-126.198647,162.664642,30.019197,-125.865730,179.784058,18.041628,-98.667267,169.458954,14.487155,-102.686455,201.947281,20.601849,-112.224373,209.174377,12.888922,-116.102478,171.211655,-34.190880,-112.645683,177.909714,-62.313034,-124.865974,174.654175,-3.194894,-120.345016,183.580154,4.626502,-120.337746,170.958069,-19.877178,-105.919586,184.434616,-55.875225,-112.475548,176.481216,-55.462692,-117.608047,161.054688,68.621758,-111.194801,155.431549,95.344147,-122.436546,175.268906,35.483891,-114.980995,181.437988,29.792828,-120.493851,166.493744,51.918922,-108.292534,166.072235,88.756439,-113.010742,157.063156,89.475838,-121.988144,134.949585,3.433585,-102.503792,133.783646,-1.609936,-120.430229,134.215469,28.077110,-99.412979,132.390060,26.120171
22,0.061111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
