Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-114.628853,-60.491013,-118.100166,-32.407959,-121.707794,6.863647,-114.092598,32.210766,-111.977089,69.948631,-101.580742,95.218819
0.002778,,,,,,,,,,,,
0.005556,-114.625229,-60.492844,-118.097473,-32.408237,-121.708893,6.861067,-114.094749,32.210838,-111.975693,69.945824,-101.566353,95.214256
0.008333,,,,,,,,,,,,
0.011111,,,,,,,,,,,,
0.013889,-114.624832,-60.489548,-117.918358,-32.411118,-121.710716,6.860995,-114.093903,32.208832,-111.967491,69.94088,-101.544823,95.200439
0.016667,-114.624191,-60.489388,-118.092133,-32.406914,-121.709785,6.857991,-114.09478,32.208271,-111.966896,69.939056,-101.536545,95.196259
0.019444,,,,,,,,,,,,
0.022222,-114.622986,-60.486267,-118.09404,-32.406281,-121.711586,6.857347,-114.09726,32.208256,-111.962975,69.937775,-101.520302,95.18895
0.025,-114.623985,-60.491127,-118.093529,-32.406521,-121.71035,6.855464,-114.095078,32.208618,-111.960449,69.936165,-101.509003,95.176918
0.027778,,,,,,,,,,,,
0.030556,-114.623344,-60.489609,-118.095634,-32.406677,-121.714851,6.858712,-114.100204,32.209103,-111.956917,69.93502,-101.495697,95.172081
0.033333,,,,,,,,,,,,
0.036111,,,,,,,,,,,,
0.038889,-114.622536,-60.49617,-118.104195,-32.408775,-121.717003,6.856155,-114.102806,32.210136,-111.95005,69.931839,-101.478065,95.162735
0.041667,-114.623383,-60.496964,-118.108047,-32.409996,-121.716179,6.856239,-114.103951,32.208965,-111.949158,69.929794,-101.471855,95.159027
0.044444,,,,,,,,,,,,
0.047222,-114.778961,-60.285152,-118.113968,-32.411404,-121.719742,6.856585,-114.104126,32.211708,-111.940254,69.936562,-101.458382,95.153877
0.05,-114.779327,-60.288109,-118.117538,-32.41309,-121.719238,6.855905,-114.106873,32.212132,-111.939667,69.935707,-101.45253,95.15168
0.052778,,,,,,,,,,,,
0.055556,-114.780548,-60.293842,-118.126091,-32.414711,-121.719444,6.8533,-114.109215,32.212402,-111.933472,69.931946,-101.417709,95.157822
0.058333,-114.624474,-60.517128,-118.129181,-32.416748,-121.724228,6.856871,-114.110931,32.213196,-111.930992,69.931999,-101.40921,95.154312
0.061111,,,,,,,,,,,,
0.063889,-114.782242,-60.303139,-118.012199,-32.525871,-121.728027,6.858182,-114.112938,32.215275,-111.92601,69.926765,-101.396049,95.14502
0.066667,,,,,,,,,,,,
0.069444,,,,,,,,,,,,
0.072222,-114.62973,-60.528416,-118.017975,-32.521542,-121.729126,6.856137,-114.117172,32.217896,-111.918983,69.913155,-101.375343,95.129501
0.075,,,,,,,,,,,,
0.077778,,,,,,,,,,,,
0.080556,-114.792099,-60.312126,-117.960846,-32.432659,-121.737167,6.855244,-114.123032,32.216064,-111.906303,69.899956,-101.361572,95.112404
