Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-107.254959,-55.290932,-111.482254,-25.075323,-118.47731,6.429942,-113.811752,34.372242,-109.371117,63.061531,-103.79528,95.348114
0.002778,,,,,,,,,,,,
0.005556,-107.253288,-55.291401,-111.477028,-25.073761,-118.438049,6.383461,-113.812431,34.374233,-109.374046,63.061653,-103.848526,95.358261
0.008333,-107.254616,-55.291439,-111.479034,-25.074465,-118.438843,6.38321,-113.81636,34.37709,-109.376823,63.061977,-103.854164,95.358574
0.011111,,,,,,,,,,,,
0.013889,-107.254684,-55.291115,-111.47847,-25.073212,-118.443146,6.384671,-113.820969,34.376263,-109.382881,63.060398,-103.859459,95.359215
0.016667,-107.253822,-55.290073,-111.481544,-25.073719,-118.444717,6.386507,-113.823822,34.378304,-109.385452,63.059841,-103.862068,95.35984
0.019444,,,,,,,,,,,,
0.022222,-107.25573,-55.288124,-111.481712,-25.072289,-118.450378,6.388366,-113.825821,34.376907,-109.389404,63.060143,-103.880287,95.354271
0.025,,,,,,,,,,,,
0.027778,,,,,,,,,,,,
0.030556,-107.254982,-55.287598,-111.481323,-25.068676,-118.454933,6.386274,-113.834213,34.38422,-109.396935,63.05809,-103.885399,95.350159
0.033333,,,,,,,,,,,,
0.036111,,,,,,,,,,,,
0.038889,-107.254265,-55.285732,-111.48822,-25.068605,-118.463181,6.390989,-113.843704,34.386044,-109.40554,63.055599,-103.893555,95.350021
0.041667,,,,,,,,,,,,
0.044444,,,,,,,,,,,,
0.047222,-107.250954,-55.285656,-111.490204,-25.064754,-118.468437,6.389248,-113.847435,34.38662,-109.416595,63.052834,-103.904816,95.349808
0.05,-107.251099,-55.285053,-111.490997,-25.064039,-118.469223,6.390959,-113.851868,34.386951,-109.418777,63.053036,-103.909492,95.349792
0.052778,,,,,,,,,,,,
0.055556,-107.251701,-55.285381,,,-118.575409,6.392426,-113.857903,34.387634,-109.42569,63.051434,-103.924667,95.356064
0.058333,-107.252144,-55.284142,,,-118.579208,6.391912,-113.858772,34.389954,-109.428726,63.051891,-103.928009,95.356003
0.061111,,,,,,,,,,,,
0.063889,-107.252251,-55.283592,,,-118.582893,6.392372,-113.864197,34.387451,-109.435295,63.050419,-103.93808,95.35524
0.066667,-107.252457,-55.283821,,,-118.583679,6.393939,-113.865509,34.389366,-109.443687,63.046635,-103.942505,95.354469
