Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0.0,-113.178947,-75.887726,-113.273788,-48.434521,-115.016304,-17.292809,-113.517288,2.938323,-119.714165,33.108311,-119.654915,60.882294
0.002778,,,,,,,,,,,,
0.005556,-113.122795,-75.900063,-113.276985,-48.436069,-115.006851,-17.291746,-113.508537,2.938478,-119.747864,33.123596,-119.684921,60.88575
0.008333,-113.129005,-75.900757,-113.277222,-48.433899,-115.002403,-17.290697,-113.50267,2.938246,-119.757996,33.123062,-119.698486,60.879719
0.011111,,,,,,,,,,,,
0.013889,-113.139854,-75.894722,-113.276413,-48.438026,-114.988365,-17.288427,-113.480713,2.938508,-119.775795,33.124126,-119.730446,60.870987
0.016667,,,,,,,,,,,,
0.019444,,,,,,,,,,,,
0.022222,-113.191017,-75.887115,-113.273666,-48.439194,-114.976189,-17.284969,-113.468803,2.942637,-119.825745,33.100937,-119.961632,60.952217
0.025,,,,,,,,,,,,
0.027778,-113.200317,-75.885147,-113.274475,-48.437355,-114.966728,-17.283487,-113.460579,2.942652,-119.844643,33.094639,-119.998253,60.945354
0.030556,,,,,,,,,,,,
0.033333,,,,,,,,,,,,
0.036111,-113.216698,-75.882721,-113.277031,-48.432495,-114.946259,-17.276896,-113.451134,2.944345,-119.869598,33.078526,-120.042458,60.938488
0.038889,,,,,,,,,,,,
0.041667,,,,,,,,,,,,
0.044444,-113.232063,-75.880753,-113.270187,-48.442245,-114.935066,-17.27631,-113.440086,2.945788,-119.888138,33.068405,-120.081039,60.936855
0.047222,-113.23513,-75.880424,-113.27243,-48.440838,-114.930763,-17.275774,-113.436996,2.946616,-119.893967,33.062428,-120.092598,60.93642
0.05,,,,,,,,,,,,
0.052778,-113.244011,-75.880074,-113.268875,-48.444675,-114.924133,-17.27503,-113.430992,2.946779,-119.906738,33.059208,-120.121399,60.932232
0.055556,-113.248459,-75.879143,-113.272736,-48.439362,-114.92057,-17.274332,-113.428772,2.947182,-119.909012,33.055199,-120.136383,60.93037
0.058333,,,,,,,,,,,,
0.061111,-113.254318,-75.878265,-113.264511,-48.449612,-114.913162,-17.273216,-113.424042,2.946736,-119.921173,33.049976,-120.213142,60.902859
0.063889,-113.252724,-75.8806,-113.267067,-48.442554,-114.9104,-17.272867,-113.420395,2.94571,-119.927231,33.049541,-120.231857,60.897858
0.066667,,,,,,,,,,,,
0.069444,-113.262596,-75.877113,-113.266037,-48.444248,-114.902672,-17.271147,-113.414574,2.946245,-119.933678,33.041626,-120.283295,60.911518
0.072222,-113.265373,-75.877632,-113.261604,-48.445393,-114.899956,-17.271259,-113.413712,2.945873,-119.939507,33.040779,-120.297577,60.910599
0.075,,,,,,,,,,,,
0.077778,-113.235222,-75.881989,-113.27655,-48.429394,-114.89283,-17.270248,-113.408043,2.948026,-119.949104,33.036228,-120.329926,60.907982
0.080556,-113.266441,-75.877419,-113.265419,-48.43874,-114.891396,-17.270668,-113.402298,2.944202,-119.95182,33.034821,-120.341682,60.90638
0.083333,,,,,,,,,,,,
0.086111,-113.272842,-75.87442,-113.273933,-48.427605,-114.88504,-17.268679,-113.39991,2.947598,-119.961342,33.032936,-120.218765,60.747658
0.088889,,,,,,,,,,,,
0.091667,,,,,,,,,,,,
0.094444,-113.269516,-75.877151,-113.257385,-48.441433,-114.876877,-17.26828,-113.391129,2.945482,-119.97303,33.031185,-120.25174,60.747021
0.097222,,,,,,,,,,,,
0.1,,,,,,,,,,,,
0.102778,-113.268341,-75.874786,-113.249039,-48.44899,-114.870438,-17.268721,-113.386276,2.948574,-119.981743,33.024235,-120.289566,60.740997
0.105556,,,,,,,,,,,,
0.108333,,,,,,,,,,,,
0.111111,-113.266037,-75.874969,-113.240479,-48.451851,-114.864944,-17.270052,-113.380341,2.948609,-119.98819,33.020359,-120.347382,60.691597
0.113889,-113.266113,-75.874817,-113.246628,-48.442268,-114.864365,-17.269724,-113.37973,2.950519,-119.992241,33.018173,-120.380493,60.719036
0.116667,,,,,,,,,,,,
0.119444,-113.262787,-75.873863,-113.23745,-48.449135,-114.861214,-17.270718,-113.377319,2.952469,-119.995605,33.01696,-120.451401,60.823597
0.122222,,,,,,,,,,,,
0.125,,,,,,,,,,,,
0.127778,-113.258408,-75.872726,-113.235138,-48.439526,-114.855888,-17.271215,-113.372871,2.952533,-120.001236,33.012955,-120.482315,60.824371
0.130556,,,,,,,,,,,,
0.133333,,,,,,,,,,,,
0.136111,-113.252975,-75.87339,-113.227036,-48.443295,-114.851761,-17.272316,-113.369194,2.952814,-120.00618,33.009182,-120.501175,60.823368
0.138889,,,,,,,,,,,,
0.141667,,,,,,,,,,,,
