,Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0,0.0,-103.44191,-78.673676,-106.957985,-51.571655,-112.333298,-16.752853,-110.884644,6.76367,-114.898804,39.310009,-106.164536,62.760742
1,0.002778,-103.4422835,-78.6752055,-106.9588355,-51.5728225,-112.335701,-16.7536505,-110.885468,6.762664,-114.89917,39.3102435,-106.162159,62.7591435
2,0.005556,-103.442657,-78.676735,-106.959686,-51.57399,-112.338104,-16.754448,-110.886292,6.761658,-114.899536,39.310478,-106.159782,62.757545
3,0.008333,-103.44375040417617,-78.67755113740549,-106.9605684548182,-51.5742289426377,-112.34093898607944,-16.754327362294493,-110.88794460326413,6.760985828033121,-114.89918275147006,39.31046400336014,-106.1584779797192,62.75624464550582
4,0.011111,-103.44484420208808,-78.67836756870275,-106.9614512274091,-51.57446797131885,-112.34377499303972,-16.754206681147245,-110.88959780163206,6.760313414016561,-114.89882937573503,39.31045000168007,-106.15717348985959,62.75494382275291
5,0.013889,-103.445938,-78.679184,-106.962334,-51.574707,-112.346611,-16.754086,-110.891251,6.759641,-114.898476,39.310436,-106.155869,62.753643
6,0.016667,-103.4462280348014,-78.67860926437058,-106.96378617424696,-51.573474852154085,-112.34812684855393,-16.753851971918877,-110.89143668894755,6.758701887315492,-114.89835898595943,39.31163914436578,-106.15301765786631,62.751651427697105
7,0.019444,-103.44651796519861,-78.67803473562942,-106.96523782575304,-51.57224314784591,-112.34964215144606,-16.753618028081124,-110.89162231105244,6.757763112684508,-114.89824201404056,39.312841855634225,-106.15016734213368,62.74966057230289
8,0.022222,-103.446808,-78.67746,-106.96669,-51.571011,-112.351158,-16.753384,-110.891808,6.756824,-114.898125,39.314045,-106.147316,62.747669
9,0.025,-103.44700900000002,-78.67723366666667,-106.96850566666667,-51.570876,-112.38933566666667,-16.773627333333334,-110.89402533333333,6.758436333333333,-114.91056066666667,39.34591566666667,-106.14601133333333,62.74812166666667
10,0.027778,-103.44721,-78.67700733333332,-106.97032133333333,-51.570741,-112.42751333333334,-16.793870666666667,-110.89624266666667,6.760048666666667,-114.92299633333333,39.37778633333333,-106.14470666666668,62.74857433333333
11,0.030556,-103.447411,-78.676781,-106.972137,-51.570606,-112.465691,-16.814114,-110.89846,6.761661,-114.935432,39.409657,-106.143402,62.749027
12,0.033333,-103.44789155130205,-78.67720056594264,-106.97398822224889,-51.569867510620426,-112.49819952910117,-16.89172170226809,-110.89382244665788,6.765669371054842,-114.93449889067563,39.41025185719429,-106.1419400176407,62.747800294491775
13,0.036111,-103.44837227565102,-78.67762028297132,-106.97584011112444,-51.56912875531021,-112.53071976455058,-16.969357351134047,-110.88918322332894,6.769679185527421,-114.93356544533782,39.410846928597145,-106.14047750882035,62.74657314724589
14,0.038889,-103.448853,-78.67804,-106.977692,-51.56839,-112.56324,-17.046993,-110.884544,6.773689,-114.932632,39.411442,-106.139015,62.745346
15,0.041667,-103.44865197587903,-78.678177349814,-106.97835841329653,-51.5683136575063,-112.56566129053162,-17.047000667586705,-110.88692228537141,6.773521646585864,-114.93252532053282,39.41230543693748,-106.13655037093484,62.74375014184567
16,0.044444,-103.44845102412097,-78.678314650186,-106.97902458670347,-51.5682373424937,-112.56808170946837,-17.047008332413295,-110.88929971462859,6.773354353414136,-114.93241867946719,39.41316856306252,-106.13408662906515,62.74215485815432
17,0.047222,-103.44825,-78.678452,-106.979691,-51.568161,-112.570503,-17.047016,-110.891678,6.773187,-114.932312,39.414032,-106.131622,62.740559
18,0.05,-103.450623,-78.679314,-106.980423,-51.568043,-112.570679,-17.044786,-110.890709,6.765702,-114.93,39.415272,-106.112877,62.757057
19,0.052778,-103.450417,-78.677589,-106.981125,-51.565712,-112.573013,-17.0441,-110.892441,6.765137,-114.931015,39.416878,-106.112221,62.751865
20,0.055556,-103.448547,-78.674553,-106.980446,-51.56601,-112.573746,-17.044506,-110.906967,6.759304,-114.929428,39.416866,-106.111099,62.750687
21,0.058333,-103.44852800342035,-78.67531186336633,-106.98109438325832,-51.56463674725473,-112.57469932835284,-17.044059580378036,-110.90724944914491,6.757866258865887,-114.92838318811881,39.41732941656166,-106.10755213861385,62.749908640144014
22,0.061111,-103.448509,-78.676071,-106.981743,-51.563263,-112.575653,-17.043613,-110.907532,6.756428,-114.927338,39.417793,-106.104004,62.74913
23,0.063889,-103.447403,-78.674995,-106.981804,-51.563847,-112.57814,-17.043911,-110.909164,6.754703,-114.927208,39.420109,-106.099678,62.750584
24,0.066667,-103.44694891827183,-78.67211448154815,-106.98273116687669,-51.563665467326736,-112.4752924889289,-16.892665277947795,-110.90962208244824,6.755136077947795,-114.92567822466246,39.420523074527445,-106.09665995679568,62.74938028334834
25,0.069444,-103.446495,-78.669235,-106.983658,-51.563484,-112.372482,-16.741474,-110.91008,6.755569,-114.924149,39.420937,-106.093643,62.748177
26,0.072222,-103.446129,-78.666595,-106.984726,-51.565235,-112.375008,-16.741844,-110.910561,6.752041,-114.924446,39.421192,-106.089279,62.749893
27,0.075,-103.4448625,-78.6648365,-106.9847525,-51.5656145,-112.3764805,-16.741924,-110.9117165,6.75367,-114.922817,39.4220675,-106.0861435,62.7515775
28,0.077778,-103.443596,-78.663078,-106.984779,-51.565994,-112.377953,-16.742004,-110.912872,6.755299,-114.921188,39.422943,-106.083008,62.753262
