,Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0,0.0,-112.160553,-82.886139,-115.114418,-54.975014,-119.194618,-18.711788,-112.08625,3.662982,-109.213707,37.55397,-108.854797,65.000916
1,0.002778,-112.157429,-82.8825035,-115.116001,-54.9715655,-119.20200700000001,-18.709711,-112.0859525,3.661847,-109.21528649999999,37.5508935,-108.8601415,64.9973605
2,0.005556,-112.154305,-82.878868,-115.117584,-54.968117,-119.209396,-18.707634,-112.085655,3.660712,-109.216866,37.547817,-108.865486,64.993805
3,0.008333,-112.150635,-82.875084,-115.119934,-54.984402,-119.214699,-18.701397,-112.083076,3.655654,-109.217941,37.545097,-108.871475,64.989265
4,0.011111,-112.1463245,-82.871937,-115.1244585,-54.988596,-119.22070699999999,-18.699259,-112.083572,3.6519585,-109.2170065,37.5421715,-108.876743,64.984859
5,0.013889,-112.142014,-82.86879,-115.128983,-54.99279,-119.226715,-18.697121,-112.084068,3.648263,-109.216072,37.539246,-108.882011,64.980453
6,0.016667,-112.136375,-82.866409,-115.130249,-54.995949,-119.232895,-18.69478,-112.079788,3.645381,-109.216133,37.528416,-108.88755,64.976814
7,0.019444,-112.12978468658868,-82.86466981314132,-115.13038997461747,-54.995239627722775,-119.2385089891989,-18.69253740378038,-112.08058135715571,3.645378000540054,-109.21520266750676,37.52683478469847,-108.89336645274528,64.97244728622863
8,0.022222,-112.123192,-82.86293,-115.130531,-54.99453,-119.244125,-18.690294,-112.081375,3.645375,-109.214272,37.525253,-108.899185,64.968079
9,0.025,-112.11632949999998,-82.863712,-115.1280515,-54.988783,-119.248283,-18.688523,-112.0825425,3.6440325,-109.21304749999999,37.522848,-108.904503,64.967308
10,0.027778,-112.109467,-82.864494,-115.125572,-54.983036,-119.252441,-18.686752,-112.08371,3.64269,-109.211823,37.520443,-108.909821,64.966537
11,0.030556,-112.10031056798272,-82.85835926389055,-115.12805696483859,-54.98586800648025,-119.25591041629666,-18.685641866794672,-112.08423139589583,3.641870568342734,-109.21114125153005,37.52155813380536,-108.92200146153846,64.95063309168367
12,0.033333,-112.09115743201728,-82.85222673610944,-115.13054103516141,-54.98869899351974,-119.25937858370337,-18.684532133205327,-112.08475260410415,3.641051431657266,-109.21045974846993,37.52267286619465,-108.93417753846154,64.93473490831633
13,0.036111,-112.082001,-82.846092,-115.133026,-54.991531,-119.262848,-18.683422,-112.085274,3.640232,-109.209778,37.523788,-108.946358,64.918831
14,0.038889,-112.078133,-82.845566,-115.135101,-54.992641,-119.263962,-18.68236,-112.086739,3.639236,-109.206688,37.518326,-108.947716,64.916451
15,0.041667,-112.07223443834383,-82.84267748010802,-115.13573811467147,-54.99241445922592,-119.26553378289829,-18.682629048424843,-112.08824227056705,3.636714046084608,-109.19969424122412,37.51111270171017,-108.94932578973898,64.91275383456346
16,0.044444,-112.066338,-82.83979,-115.136375,-54.992188,-119.267105,-18.682898,-112.089745,3.634193,-109.192703,37.503902,-108.950935,64.909058
17,0.047222,-112.062162,-82.84136933333333,-115.13743566666666,-54.992732,-119.26869433333333,-18.683481,-112.091642,3.633601,-109.191289,37.503614666666664,-108.95020533333333,64.90681733333334
18,0.05,-112.057986,-82.84294866666666,-115.13849633333332,-54.993276,-119.27028366666667,-18.684064,-112.093539,3.633009,-109.189875,37.50332733333333,-108.94947566666667,64.90457666666667
19,0.052778,-112.05381,-82.844528,-115.139557,-54.99382,-119.271873,-18.684647,-112.095436,3.632417,-109.188461,37.50304,-108.948746,64.902336
20,0.055556,-112.046982,-82.841026,-115.142296,-54.991005,-119.272903,-18.68664,-112.097763,3.635261,-109.187462,37.500393,-108.947693,64.90052
21,0.058333,-112.0328470450045,-82.82335218217821,-115.14382172529253,-54.992709693069315,-119.27468417929794,-18.68716040630063,-112.10185926246626,3.634442647344734,-109.29190469504948,37.699228699549955,-108.94517195391539,64.89907476021602
22,0.061111,-112.018707,-82.805672,-115.145348,-54.994415,-119.276466,-18.687681,-112.105957,3.633624,-109.396385,37.898136,-108.94265,64.897629
23,0.063889,-112.01457650438017,-82.80305201896076,-115.14777162414497,-54.99545912528501,-119.27744278387135,-18.688994824312974,-112.10899903168126,3.632967254530181,-109.3254511552862,37.772963313812554,-108.93812512372494,64.89684057206289
24,0.066667,-112.01044600876035,-82.80043203792152,-115.15019524828993,-54.99650325057002,-119.27841956774272,-18.690308648625944,-112.11204106336254,3.632310509060362,-109.25451731057244,37.647790627625106,-108.9336002474499,64.89605214412576
25,0.069444,-112.006317,-82.797813,-115.152618,-54.997547,-119.279396,-18.691622,-112.115082,3.631654,-109.183609,37.522663,-108.929077,64.895264
26,0.072222,-112.00334933333333,-82.796694,-115.15415666666667,-54.998303666666665,-119.281784,-18.691875,-112.11957833333335,3.63245,-109.182223,37.522903333333325,-108.92354066666667,64.89614366666666
27,0.075,-112.00038166666667,-82.795575,-115.15569533333334,-54.99906033333333,-119.284172,-18.692128,-112.12407466666666,3.633246,-109.180837,37.52314366666667,-108.91800433333334,64.89702333333334
28,0.077778,-111.997414,-82.794456,-115.157234,-54.999817,-119.28656,-18.692381,-112.128571,3.634042,-109.179451,37.523384,-108.912468,64.897903
29,0.080556,-111.99473567862715,-82.79156165270611,-115.15789041209649,-55.000218714868595,-119.28931466386655,-18.692310324852993,-112.13185706096243,3.633674289211568,-109.24561093855755,37.645645670226806,-108.89906672530901,64.90195481951278
30,0.083333,-111.99205832137285,-82.78866834729389,-115.15854658790352,-55.00062028513141,-119.29206833613344,-18.692239675147007,-112.13514193903757,3.633306710788432,-109.31174706144246,37.76786332977319,-108.885670274691,64.90600518048721
31,0.086111,-111.98938,-82.785774,-115.159203,-55.001022,-119.294823,-18.692169,-112.138428,3.632939,-109.377907,37.890125,-108.872269,64.910057
32,0.088889,-111.99317584159841,-82.79311791089911,-115.15905398658987,-55.001542796867966,-119.29833081567816,-18.69165645387454,-112.1429791595716,3.632418203132031,-109.32953039645396,37.799399585365855,-108.86502409801098,64.91215518882188
33,0.091667,-111.99697168319683,-82.80046182179822,-115.15890497317973,-55.00206359373593,-119.3018386313563,-18.691143907749076,-112.1475303191432,3.631897406264063,-109.28115379290793,37.708674170731705,-108.85777919602197,64.91425337764377
34,0.094444,-112.00076615840159,-82.80780308910089,-115.15875601341014,-55.00258420313203,-119.30534518432184,-18.69063154612546,-112.15207984042841,3.631376796867969,-109.23279460354603,37.617981414634144,-108.85053690198903,64.9163508111781
