,Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0,0.0,-97.529182,-105.84726,-100.617935,-78.178024,-105.339119,-43.376232,-103.741142,-21.501429,-105.186607,11.705062,-101.894997,38.832657
1,0.002778,-97.52872450000001,-105.8482135,-100.6170995,-78.1790465,-105.33619300000002,-43.3823415,-103.7414475,-21.502160500000002,-105.185169,11.705345000000001,-101.89413850000001,38.83276
2,0.005556,-97.528267,-105.849167,-100.616264,-78.180069,-105.333267,-43.388451,-103.741753,-21.502892,-105.183731,11.705628,-101.89328,38.832863
3,0.008333,-97.529083,-105.849686,-100.616631,-78.180855,-105.333778,-43.38863,-103.743347,-21.503328,-105.181908,11.703142,-101.892044,38.833229
4,0.011111,-97.528225,-105.84993,-100.650921,-78.240528,-105.335861,-43.3892385,-103.742687,-21.50463,-105.18018,11.702737,-101.8898545,38.833496
5,0.013889,-97.527367,-105.850174,-100.685211,-78.300201,-105.337944,-43.389847,-103.742027,-21.505932,-105.178452,11.702332,-101.887665,38.833763
6,0.016667,-97.526176,-105.850342,-100.608887,-78.192543,-105.339264,-43.389893,-103.740356,-21.506792,-105.177628,11.703194,-101.885735,38.834942
7,0.019444,-97.52529515859585,-105.85136031665166,-100.60635795535553,-78.19215756939694,-105.33962243546354,-43.39032742178218,-103.73929219153916,-21.506799498649865,-105.17524392925293,11.703695909630962,-101.88288201368135,38.83522394923492
8,0.022222,-97.524414,-105.852379,-100.603828,-78.191772,-105.339981,-43.390762,-103.738228,-21.506807,-105.172859,11.704198,-101.880028,38.835506
9,0.025,-97.52318299999999,-105.85331733333335,-100.603022,-78.19342766666668,-105.340276,-43.39123133333334,-103.74357866666668,-21.515583333333332,-105.172081,11.703157,-101.87740099999998,38.83628933333333
10,0.027778,-97.521952,-105.85425566666666,-100.602216,-78.19508333333333,-105.340571,-43.391700666666665,-103.74892933333335,-21.524359666666665,-105.171303,11.702116,-101.874774,38.83707266666667
11,0.030556,-97.520721,-105.855194,-100.60141,-78.196739,-105.340866,-43.39217,-103.75428,-21.533136,-105.170525,11.701075,-101.872147,38.837856
12,0.033333,-97.520561,-105.855095,-100.598785,-78.19278,-105.340912,-43.392967,-103.754486,-21.534225,-105.166542,11.701454,-101.872131,38.836716
13,0.036111,-97.518311,-105.85791,-100.598648,-78.192451,-105.341812,-43.393303,-103.754112,-21.53422,-105.164993,11.704018,-101.866867,38.836922
14,0.038889,-97.518967,-105.858315,-100.596474,-78.195801,-105.338394,-43.395138,-103.754517,-21.53705,-105.165268,11.701852,-101.865005,38.837658
15,0.041667,-97.51826487362736,-105.8597647609361,-100.59559234131413,-78.19604504392439,-105.33885208244824,-43.39544105454546,-103.75424595121513,-21.53691547578758,-105.16283356183618,11.702316583618362,-101.86284561134113,38.838201597839785
16,0.044444,-97.517563,-105.861214,-100.594711,-78.196289,-105.33931,-43.395744,-103.753975,-21.536781,-105.1604,11.702781,-101.860687,38.838745
17,0.047222,-97.516701,-105.860733,-100.593689,-78.194328,-105.338814,-43.395199,-103.754196,-21.534983,-105.159309,11.704099,-101.859352,38.840038
18,0.05,-97.51570149999998,-105.861984,-100.593025,-78.195259,-105.3382455,-43.396086,-103.7542915,-21.5357775,-105.1553915,11.702382499999999,-101.857643,38.840475000000005
19,0.052778,-97.514702,-105.863235,-100.592361,-78.19619,-105.337677,-43.396973,-103.754387,-21.536572,-105.151474,11.700666,-101.855934,38.840912
20,0.055556,-97.51388556870275,-105.86412277319093,-100.59160590939638,-78.19625100732028,-105.3379593672147,-43.39743438869555,-103.74910936673467,-21.5296064975399,-105.15046421216849,11.707342134405376,-101.85168649033962,38.84032692979719
21,0.058333,-97.51306943129725,-105.86501022680908,-100.59085109060362,-78.19631199267971,-105.33824163278531,-43.39789561130445,-103.74383363326533,-21.5226435024601,-105.1494547878315,11.714015865594623,-101.84744050966039,38.83974207020281
22,0.061111,-97.512253,-105.865898,-100.590096,-78.196373,-105.338524,-43.398357,-103.738556,-21.515678,-105.148445,11.720692,-101.843193,38.839157
23,0.063889,-97.51117720424817,-105.86699413152526,-100.58905054122165,-78.19807187051481,-105.33837398199928,-43.39912775915037,-103.7385636675867,-21.516368749549983,-105.1463264124565,11.721849472218889,-101.84004162186487,38.83960338689547
24,0.066667,-97.51010140849634,-105.86809026305052,-100.5880050824433,-78.19977074102964,-105.33822396399857,-43.39989851830073,-103.7385713351734,-21.517059499099965,-105.144207824913,11.723006944437778,-101.83689024372975,38.84004977379095
25,0.069444,-97.509026,-105.869186,-100.58696,-78.201469,-105.338074,-43.400669,-103.738579,-21.51775,-105.14209,11.724164,-101.83374,38.840496
26,0.072222,-97.50699633333333,-105.87047033333333,-100.585752,-78.20250433333334,-105.337962,-43.40175,-103.73832466666667,-21.518542666666665,-105.13998166666667,11.726171333333333,-101.830841,38.84116366666667
