,Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0,0.0,-92.722252,-103.644203,-89.72303,-72.357986,-98.454514,-39.815067,-93.31958,-18.861406,-94.354805,13.366996,-96.346954,41.770054
1,0.002778,-92.726597,-103.645008,-89.72834,-72.3594015,-98.45518150000001,-39.815878,-93.319748,-18.865098,-94.354862,13.365624,-96.342655,41.7587455
2,0.005556,-92.730942,-103.645813,-89.73365,-72.360817,-98.455849,-39.816689,-93.319916,-18.86879,-94.354919,13.364252,-96.338356,41.747437
3,0.008333,-92.737755,-103.644821,-89.736687,-72.363541,-98.632965,-40.072254,-93.320374,-18.866806,-94.354355,13.363692,-96.347168,41.766167
4,0.011111,-92.7425995,-103.64751799999999,-89.7399065,-72.3650935,-98.545994,-39.9456155,-93.320435,-18.8699475,-94.35504549999999,13.3619185,-96.341297,41.755375
5,0.013889,-92.747444,-103.650215,-89.743126,-72.366646,-98.459023,-39.818977,-93.320496,-18.873089,-94.355736,13.360145,-96.335426,41.744583
6,0.016667,-92.752769,-103.652344,-89.745934,-72.368912,-98.459732,-39.819027,-93.320732,-18.872728,-94.356575,13.358077,-96.335472,41.74287
7,0.019444,-92.76001219585959,-103.6549375330333,-89.74987729000901,-72.36977384482448,-98.5506616280828,-39.94565420072007,-93.32063651719173,-18.87296745688569,-94.35683445328533,13.357418618541853,-96.33580394023402,41.74173920360036
8,0.022222,-92.767258,-103.657532,-89.753822,-72.370636,-98.641624,-40.072327,-93.320541,-18.873207,-94.357094,13.35676,-96.336136,41.740608
9,0.025,-92.772255,-103.664375,-89.754997,-72.372696,-98.463898,-39.816357,-93.320045,-18.876793,-94.357346,13.353264,-95.821198,41.58691
10,0.027778,-92.783573,-103.655048,-89.756832,-72.377659,-98.5562935,-39.946672500000005,-93.296543,-18.906503,-94.358284,13.3523375,-95.8266225,41.5863415
11,0.030556,-92.794891,-103.645721,-89.758667,-72.382622,-98.648689,-40.076988,-93.273041,-18.936213,-94.359222,13.351411,-95.832047,41.585773
12,0.033333,-92.80087622980919,-103.64835003552142,-89.7609551173647,-72.38617881279251,-98.64980539865596,-40.078237699988,-93.27256278147127,-18.93849278603144,-94.35855349381976,13.350254610944438,-95.83308941641666,41.582678742829714
13,0.036111,-92.80686361490461,-103.6509800177607,-89.76324405868235,-72.38973690639625,-98.65092219932798,-40.079487849993995,-93.27208439073563,-18.94077339301572,-94.35788474690987,13.34909780547222,-95.83413220820833,41.579583371414856
14,0.038889,-92.812851,-103.65361,-89.765533,-72.393295,-98.652039,-40.080738,-93.271606,-18.943054,-94.357216,13.347941,-95.835175,41.576488
15,0.041667,-92.818657,-103.655533,-89.770782,-72.393471,-98.654327,-40.080349,-93.31263,-18.897213,-94.357941,13.347862,-95.840477,41.578293
16,0.044444,-92.82990047560756,-103.64970105004501,-89.77428336957696,-72.39839461350137,-98.65515885022502,-40.08239163222322,-93.29251462178217,-18.921845564896486,-94.35674721494149,13.34581086930693,-95.84060297731773,41.575346530513045
17,0.047222,-92.841148,-103.643867,-89.777786,-72.40332,-98.655991,-40.084435,-93.272392,-18.946487,-94.355553,13.343759,-95.840729,41.572399
18,0.05,-92.846382,-103.646973,-89.781174,-72.405273,-98.657951,-40.087963,-93.27478,-18.946413,-94.355858,13.346251,-95.842079,41.570847
19,0.052778,-92.852997,-103.6502305,-89.78421399999998,-72.406353,-98.659317,-40.0885675,-93.2744255,-18.948531,-94.3540915,13.344907500000001,-95.840408,41.569080500000005
20,0.055556,-92.859612,-103.653488,-89.787254,-72.407433,-98.660683,-40.089172,-93.274071,-18.950649,-94.352325,13.343564,-95.838737,41.567314
21,0.058333,-92.863838,-103.65374,-89.790604,-72.407654,-98.662186,-40.091614,-93.274689,-18.950811,-94.352242,13.341397,-95.847404,41.566772
22,0.061111,-92.86818699999998,-103.6545565,-89.793686,-72.4090385,-98.57162500000001,-39.959999,-93.275505,-18.9521205,-94.3513985,13.3409135,-95.84124750000002,41.5665415
23,0.063889,-92.872536,-103.655373,-89.796768,-72.410423,-98.481064,-39.828384,-93.276321,-18.95343,-94.350555,13.34043,-95.835091,41.566311
24,0.066667,-92.876663,-103.657272,-89.79911,-72.413643,-98.481972,-39.830982,-93.317757,-18.912001,-94.348053,13.339403,-95.835777,41.559376
25,0.069444,-92.88064478307831,-103.65832481044104,-89.80191349522951,-72.41397494023401,-98.48232293681367,-39.832114796039605,-93.31909175967597,-18.914816493069306,-94.347164160036,13.339246528172819,-95.8337708612061,41.55866662772278
26,0.072222,-92.884628,-103.659378,-89.804718,-72.414307,-98.482674,-39.833248,-93.320427,-18.917633,-94.346275,13.33909,-95.831764,41.557957
27,0.075,-92.88759833333334,-103.66113033333333,-89.806193,-72.416321,-98.483442,-39.833856,-93.320872,-18.918715666666667,-94.34495266666667,13.338600333333334,-95.82635466666667,41.559264
28,0.077778,-92.89056866666667,-103.66288266666668,-89.807668,-72.418335,-98.48421,-39.834464,-93.321317,-18.919798333333333,-94.34363033333334,13.338110666666667,-95.82094533333333,41.560571
29,0.080556,-92.893539,-103.664635,-89.809143,-72.420349,-98.484978,-39.835072,-93.321762,-18.920881,-94.342308,13.337621,-95.815536,41.561878
30,0.083333,-92.896896,-103.667221,-89.811012,-72.421051,-98.486542,-39.833248,-93.323036,-18.921528,-94.340149,13.337408,-95.815941,41.559475
31,0.086111,-92.9953535,-103.7537725,-89.812767,-72.422062,-98.48759849999999,-39.8332425,-93.323719,-18.921709,-94.3387565,13.3378505,-95.8135565,41.561159
32,0.088889,-93.093811,-103.840324,-89.814522,-72.423073,-98.488655,-39.833237,-93.324402,-18.92189,-94.337364,13.338293,-95.811172,41.562843
33,0.091667,-93.093697,-103.840889,-89.816154,-72.423477,-98.488228,-39.831638,-93.3256,-18.920433,-94.335045,13.337302,-95.817856,41.559093
34,0.094444,-93.098015,-103.843811,-89.818184,-72.424194,-98.489647,-39.836166,-93.323631,-18.922071,-94.334259,13.335996,-95.799347,41.560833
35,0.097222,-92.906807,-103.672371,-89.81823,-72.427734,-98.489967,-39.838173,-93.322983,-18.923096,-94.334038,13.336664,-95.802765,41.558891
36,0.1,-92.909256,-103.675026,-89.8184395,-72.4304005,-98.491451,-39.8385715,-93.3228455,-18.9244655,-94.3333705,13.333808,-95.800331,41.55929750000001
37,0.102778,-92.911705,-103.677681,-89.818649,-72.433067,-98.492935,-39.83897,-93.322708,-18.925835,-94.332703,13.330952,-95.797897,41.559704
