,Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0,0.0,-96.60833,-106.461319,-95.36351,-75.927399,-97.859833,-41.045765,-94.659943,-18.650162,-97.005844,16.349705,-94.907806,45.910854
1,0.002778,-96.607273,-106.46343250000001,-95.3648375,-75.9313815,-97.861294,-41.0494575,-94.660778,-18.6511965,-97.006237,16.349704000000003,-94.9101295,45.911228
2,0.005556,-96.606216,-106.465546,-95.366165,-75.935364,-97.862755,-41.05315,-94.661613,-18.652231,-97.00663,16.349703,-94.912453,45.911602
3,0.008333,-96.60558815072604,-106.4672645874235,-95.36847877787112,-75.93748948973959,-97.86467720520821,-41.052433172086886,-94.66168431621266,-18.65312411892476,-97.00908874306973,16.350115567622705,-94.91584218636746,45.911736634345374
4,0.011111,-96.60496007536301,-106.46898379371174,-95.37079338893555,-75.9396157448698,-97.86660010260411,-41.05171608604344,-94.66175565810633,-18.65401755946238,-97.01154837153486,16.350528283811354,-94.91923259318372,45.91187131717269
5,0.013889,-96.604332,-106.470703,-95.373108,-75.941742,-97.868523,-41.050999,-94.661827,-18.654911,-97.014008,16.350941,-94.922623,45.912006
6,0.016667,-96.603302,-106.473434,-95.372955,-75.941635,-97.866592,-41.057041,-94.663048,-18.654816,-97.016502,16.348297,-94.924095,45.911781
7,0.019444,-96.59806894221423,-106.48055521782177,-95.37575849522952,-75.94459096777676,-97.86930001242125,-41.05644810675067,-94.66592748154817,-18.654642531233122,-97.02221197191719,16.355905130153015,-94.9272379341134,45.91138457137714
8,0.022222,-96.592834,-106.487679,-95.378563,-75.947548,-97.872009,-41.055855,-94.668808,-18.654469,-97.027924,16.363516,-94.930382,45.910988
9,0.025,-96.602791,-106.482719,-95.380203,-75.948929,-97.870804,-41.061005,-94.668129,-18.656141,-97.022469,16.349102,-94.934639,45.911694
10,0.027778,-96.60149,-106.4831655,-95.38335,-75.9501765,-97.874718,-41.0610755,-94.66966649999999,-18.6557825,-97.02932,16.354967,-94.936695,45.9118425
11,0.030556,-96.600189,-106.483612,-95.386497,-75.951424,-97.878632,-41.061146,-94.671204,-18.655424,-97.036171,16.360832,-94.938751,45.911991
12,0.033333,-96.600029,-106.487442,-95.389359,-75.953201,-97.880165,-41.061966,-94.671371,-18.658667,-97.038177,16.360109,-94.940865,45.912075
13,0.036111,-96.59939200000002,-106.489708,-95.391781,-75.955761,-97.881973,-41.063322,-94.674076,-18.6590045,-97.0415225,16.36094,-94.9442485,45.9122275
14,0.038889,-96.598755,-106.491974,-95.394203,-75.958321,-97.883781,-41.064678,-94.676781,-18.659342,-97.044868,16.361771,-94.947632,45.91238
15,0.041667,-96.599449,-106.491898,-95.396561,-75.961884,-97.885986,-41.066967,-94.677475,-18.663546,-97.045937,16.359341,-94.949272,45.911945
