,Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0,0.0,-110.904274,-53.750656,-114.580559,-24.775467,-117.595146,11.320972,-111.827087,35.370068,-105.064117,71.432411,-91.507957,96.934662
1,0.002778,-110.90230199999998,-53.750574,-114.5787775,-24.77499,-117.59169,11.321639999999999,-111.825996,35.371645,-105.0592345,71.43176650000001,-91.5010335,96.935253
2,0.005556,-110.90033,-53.750492,-114.576996,-24.774513,-117.588234,11.322308,-111.824905,35.373222,-105.054352,71.431122,-91.49411,96.935844
3,0.008333,-110.94091,-53.928764,-114.57412,-24.775017,-117.586121,11.325174,-111.820732,35.373238,-105.04953,71.431778,-91.489471,96.93618
4,0.011111,-110.9390065,-53.929050499999995,-114.573399,-24.773323,-117.58345050000001,11.326456,-111.818218,35.373215,-105.044937,71.431774,-91.485115,96.9358865
5,0.013889,-110.937103,-53.929337,-114.572678,-24.771629,-117.58078,11.327738,-111.815704,35.373192,-105.040344,71.43177,-91.480759,96.935593
6,0.016667,-110.935272,-53.927334,-114.571335,-24.775066,-117.575966,11.324519,-111.812698,35.374111,-105.03875,71.431442,-91.471611,96.925262
7,0.019444,-110.93298741134113,-53.928293327272726,-114.56991625544555,-24.773147845364537,-117.57428030351035,11.324301039243924,-111.81184015445544,35.37330814455445,-105.03345995247525,71.43249481044104,-91.46904796147612,96.92370977947795
8,0.022222,-110.930702,-53.929253,-114.568497,-24.771229,-117.572594,11.324083,-111.810982,35.372505,-105.028168,71.433548,-91.466484,96.922157
9,0.025,-110.928513,-53.928394,-114.566025,-24.77301,-117.567505,11.323953,-111.806717,35.3722,-105.025307,71.433624,-91.464027,96.920952
10,0.027778,-110.92694499999999,-53.929266,-114.564133,-24.77299,-117.5654185,11.32375,-111.804428,35.371297999999996,-105.0221595,71.4343605,-91.5408055,96.87035399999998
11,0.030556,-110.925377,-53.930138,-114.562241,-24.77297,-117.563332,11.323547,-111.802139,35.370396,-105.019012,71.435097,-91.617584,96.819756
12,0.033333,-110.924355,-53.927982,-114.558777,-24.770388,-117.563271,11.324233,-111.798546,35.371979,-105.016884,71.434853,-91.612083,96.819191
13,0.036111,-110.9227185,-53.9280145,-114.55505400000001,-24.771206,-117.560444,11.32409,-111.7971535,35.372061,-105.0143585,71.4355125,-91.6064605,96.8184355
14,0.038889,-110.921082,-53.928047,-114.551331,-24.772024,-117.557617,11.323947,-111.795761,35.372143,-105.011833,71.436172,-91.600838,96.81768
15,0.041667,-110.917534,-53.924297,-114.549484,-24.771967,-117.554054,11.322599,-111.791206,35.375507,-105.005943,71.436699,-91.595032,96.816208
16,0.044444,-110.91550886462646,-53.92442297731774,-114.54621558847886,-24.77052625940594,-117.55260076165617,11.324321689828983,-111.78895990441045,35.374349708370836,-105.00314750333033,71.43718691215122,-91.58836120108012,96.81493772871288
17,0.047222,-110.913483,-53.924549,-114.542946,-24.769085,-117.551147,11.326045,-111.786713,35.373192,-105.000351,71.437675,-91.581688,96.813667
