,Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0,0.0,-111.22584800000001,-76.585706,-112.015853,-49.784637000000004,-114.06427299999997,-18.754971999999995,-111.766624,2.437447000000001,-110.510527,33.01799599999999,-105.35343899999998,52.45912600000001
1,0.002778,-111.22581600000001,-76.584502,-112.017959,-49.786163,-114.06584299999999,-18.752305999999997,-111.79911,2.440385,-110.541427,33.049963999999996,-105.35406499999999,52.455166000000006
2,0.005556,-111.2258,-76.5839,-112.019012,-49.786926,-114.066628,-18.750973,-111.815353,2.441854,-110.556877,33.065948,-105.354378,52.453186
3,0.008333,-111.225784,-76.583298,-112.020065,-49.787689,-114.067413,-18.74964,-111.831596,2.443323,-110.572327,33.081932,-105.354691,52.451206
4,0.011111,-111.226326,-76.58474,-112.0236395,-49.786068,-114.067989,-18.749319500000006,-111.829914,2.440368,-110.5634995,33.073209500000004,-105.3531535,52.4506205
5,0.013889,-111.226868,-76.586182,-112.027214,-49.784447,-114.068565,-18.748999,-111.828232,2.437413,-110.554672,33.064487,-105.351616,52.450035
6,0.016667,-111.228195,-76.589157,-112.025543,-49.784016,-114.069603,-18.751915,-111.827042,2.433947,-110.555504,33.062721,-105.364227,52.438568
7,0.019444,-111.23123845202521,-76.5939781319532,-112.02737017101711,-49.78538675319532,-114.07085027542755,-18.752241941134113,-111.80934868568858,2.423842319351935,-110.55484811809181,33.062191095409545,-105.36317818883887,52.437030776777675
8,0.022222,-111.234283,-76.598801,-112.029198,-49.786758,-114.072098,-18.752569,-111.791649,2.413734,-110.554192,33.061661,-105.362129,52.435493
9,0.025,-111.21406033333332,-76.541133,-112.00995666666667,-49.802073,-114.07261666666666,-18.753055333333336,-111.790464,2.411419333333334,-110.55563633333334,33.067138666666665,-105.36027,52.433943
10,0.027778,-111.19383766666667,-76.483465,-111.99071533333333,-49.817388,-114.07313533333334,-18.753541666666667,-111.789279,2.409104666666666,-110.55708066666668,33.072616333333336,-105.35841099999999,52.432393000000005
11,0.030556,-111.173615,-76.425797,-111.971474,-49.832703,-114.073654,-18.754028,-111.788094,2.40679,-110.558525,33.078094,-105.356552,52.430843
12,0.033333,-111.176025,-76.42617,-112.026428,-49.795959,-114.073769,-18.75194,-111.787239,2.405151,-110.559097,33.078129,-105.336975,52.460457
13,0.036111,-111.175911,-76.4263,-112.002052,-49.813543,-114.07538249999999,-18.7520095,-111.78743349999998,2.4035595,-110.554138,33.0780755,-105.339287,52.44693750000001
14,0.038889,-111.175797,-76.42643,-111.977676,-49.831127,-114.076996,-18.752079,-111.787628,2.401968,-110.549179,33.078022,-105.341599,52.433418
15,0.041667,-111.17590868006721,-76.42654701404057,-111.99707732797312,-49.81685195379816,-114.07718168894755,-18.752245019920796,-111.7871269398776,2.400061437897516,-110.54808020148806,33.077449597983914,-105.33666440789632,52.435071198367936
16,0.044444,-111.17602031993279,-76.42666398595944,-112.01647167202688,-49.80258204620185,-114.07736731105244,-18.7524109800792,-111.7866260601224,2.398155562102484,-110.54698179851194,33.07687740201608,-105.33173159210368,52.43672380163207
17,0.047222,-111.176132,-76.426781,-112.035873,-49.788307,-114.077553,-18.752577,-111.786125,2.396249,-110.545883,33.076305,-105.326797,52.438377
18,0.05,-111.17615733333332,-76.42757166666667,-112.01842733333332,-49.80145266666667,-114.07798766666666,-18.752737666666665,-111.78640466666667,2.394624666666666,-110.54505666666667,33.07554333333333,-105.32486433333334,52.438059333333335
19,0.052778,-111.17618266666666,-76.42836233333334,-112.00098166666666,-49.814598333333336,-114.07842233333332,-18.752898333333334,-111.78668433333333,2.393000333333334,-110.54423033333333,33.07478166666667,-105.32293166666666,52.43774166666666
20,0.055556,-111.176208,-76.429153,-111.983536,-49.827744,-114.078857,-18.753059,-111.786964,2.391376,-110.543404,33.07402,-105.320999,52.437424
21,0.058333,-111.176384,-76.429489,-111.985687,-49.827362,-114.079239,-18.751806,-111.785248,2.387825,-110.524193,33.055443,-105.319717,52.436234
22,0.061111,-111.176514,-76.430496,-111.986397,-49.825432,-114.079262,-18.754927,-111.767708,2.388088,-110.52462,33.053543,-105.31678,52.436138
23,0.063889,-111.17704,-76.431046,-111.986855,-49.823235,-114.080383,-18.755171,-111.785423,2.387018,-110.523048,33.054428,-105.317261,52.43187
24,0.066667,-111.17713551719173,-76.43197666750675,-111.9863054010801,-49.82719521278128,-114.08056253231324,-18.755229010441045,-111.78499942376237,2.383303331413141,-110.5232655391539,33.05359635031503,-105.31791711809181,52.430046171737175
25,0.069444,-111.177231,-76.432907,-111.985756,-49.831154,-114.080742,-18.755287,-111.784576,2.37959,-110.523483,33.052765,-105.318573,52.428223
26,0.072222,-111.17721066666667,-76.43368766666667,-111.98603333333332,-49.830739333333334,-114.08066566666666,-18.75651733333333,-111.784683,2.376882,-110.52369933333333,33.052484,-105.313731,52.43648800000001
27,0.075,-111.17719033333334,-76.43446833333333,-111.98631066666667,-49.83032466666666,-114.08058933333332,-18.757747666666667,-111.78479,2.374174,-110.52391566666667,33.052203,-105.308889,52.444753
28,0.077778,-111.17717,-76.435249,-111.986588,-49.82991,-114.080513,-18.758978,-111.784897,2.371466,-110.524132,33.051922,-105.304047,52.453018
29,0.080556,-111.177788,-76.436317,-111.988258,-49.828003,-114.080894,-18.762094,-111.784874,2.370432,-110.524414,33.050297,-105.301285,52.452732
30,0.083333,-111.17770001584158,-76.43690839351936,-111.98659130009001,-49.83266366084609,-114.01203989720972,-18.621050394959497,-111.78360022934294,2.368860282988299,-110.53177517461747,33.05907841890189,-105.29396581782177,52.46344757065707
31,0.086111,-111.177612,-76.4375,-111.984924,-49.837326,-113.943161,-18.479956,-111.782326,2.367288,-110.539139,33.067863,-105.286644,52.474167
32,0.088889,-111.17691,-76.437607,-111.985733,-49.838303,-113.943947,-18.481354,-111.783264,2.365664,-110.539101,33.066826,-105.285812,52.474476
33,0.091667,-111.17770764356437,-76.43878221152116,-111.98445476993699,-49.84072343564357,-113.94357693339333,-18.482240159495948,-111.77496200576057,2.363497109990999,-110.53641501656166,33.06750712259226,-105.29404948262827,52.46873946750675
34,0.094444,-111.178505,-76.439957,-111.983177,-49.843143,-113.943207,-18.483126,-111.766663,2.361331,-110.53373,33.068188,-105.302284,52.463005
35,0.097222,-111.178635,-76.440857,-111.98275,-49.846504,-113.94342,-18.484785,-111.767555,2.357702,-110.549606,33.061996,-105.301903,52.461887
36,0.1,-111.1788445,-76.4415895,-111.984192,-49.8461225,-113.943077,-18.4857855,-111.76746349999999,2.354611,-110.5493965,33.060392,-105.302227,52.459253
37,0.102778,-111.179054,-76.442322,-111.985634,-49.845741,-113.942734,-18.486786,-111.767372,2.35152,-110.549187,33.058788,-105.302551,52.456619
38,0.105556,-111.179459,-76.444908,-111.979462,-49.853897,-113.943275,-18.488997,-111.767868,2.350924,-110.551704,33.05986,-105.299522,52.457451
39,0.108333,-111.17927953231323,-76.44572785238525,-111.97959147668767,-49.85386100648065,-113.94342397317732,-18.49051172727273,-111.76839840450046,2.34715617839784,-110.55292078091809,33.05797383960396,-105.30011739279928,52.45609324446445
40,0.111111,-111.1791,-76.446548,-111.979721,-49.853825,-113.943573,-18.492027,-111.768929,2.343387,-110.554138,33.056087,-105.300713,52.454735
41,0.113889,-111.180771,-76.447762,-111.979935,-49.85585,-113.943146,-18.492617,-111.769867,2.340549,-110.553185,33.056427,-105.289864,52.474808
42,0.116667,-111.18140411395139,-76.44945580486049,-111.9800075130513,-49.8552778970297,-113.94280643888388,-18.494430826462647,-111.7697904862286,2.337172392259226,-110.55269241134113,33.05586239837984,-105.28673893753376,52.4677742340234
43,0.119444,-111.182037,-76.451149,-111.98008,-49.854706,-113.942467,-18.496244,-111.769714,2.333797,-110.5522,33.055298,-105.283615,52.460743
44,0.122222,-111.18293,-76.452789,-111.981728,-49.856472,-113.942993,-18.498211,-111.771011,2.330541,-110.554337,33.054207,-105.284737,52.458691
45,0.125,-111.183285,-76.4540325,-111.9799995,-49.8606795,-113.94302350000001,-18.500245,-111.77138500000001,2.326741,-110.5543025,33.054655,-105.30312,52.451872
46,0.127778,-111.18364,-76.455276,-111.978271,-49.864887,-113.943054,-18.502279,-111.771759,2.322941,-110.554268,33.055103,-105.321503,52.445053
47,0.130556,-111.185143,-76.456184,-111.977295,-49.867153,-113.942291,-18.504927,-111.793587,2.314206,-110.551056,33.05444,-105.319885,52.444862
48,0.133333,-111.18601984212421,-76.45835810855085,-111.97727950279028,-49.86867872529253,-113.94333231251125,-18.50718259387939,-111.79398742790278,2.310962084068407,-110.55245174869488,33.05494890837084,-105.32394726858686,52.44332527668767
49,0.136111,-111.186897,-76.460533,-111.977264,-49.870205,-113.944374,-18.509439,-111.794388,2.307717,-110.553848,33.055458,-105.328011,52.441788
